()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
TestPilot(0)<Speaker>■■■</Speaker>;88typePilot(0)||:不愧是小爱！然后，这边——我也不会偷懒的！吃我一枪！
TestPilot(0);88typePilot(0)<Speaker>江城爱</Speaker>||<黑点1><SE1>AVG_rifle_finalshot_h</SE1>:【检测到敌对目标生命活动停止。】+【检测持有者——心率稳定。计算……持有者状态预计将在三小时内持续下降。】+【执行 开始对下一敌对目标作战。】
()<Speaker></Speaker>||<黑点2><Night>:……
TestPilot(0)<Speaker>■■■</Speaker>||<SE1>Explode</SE1>:已经、打倒五架了……这种东西……+只要坚持到其他人来支援……
TestPilot(0)<Speaker>冷静的男声</Speaker>||:<color=#00CCFF>保持状态不要松懈，■■■！</color>+<color=#00CCFF>向你那边去的敌人变多了！</color>
TestPilot(0)<Speaker>■■■</Speaker>||:我……明白……
TestPilot(0)<Speaker>冷静的男声</Speaker>||<黑点1>:<color=#00CCFF>坚持住，其他区域结束战斗就会来支援你。</color>+<color=#00CCFF>在那之前，别死了！</color>
()<Speaker></Speaker>||<黑点2><SE1>AVG_rifle_finalshot_h</SE1>:……
TestPilot(0)<Speaker>■■■</Speaker>||:六架。+稍微……有点头晕，大概是太晃了……+怎么感觉鼻子底下湿湿的……
TestPilot(0)<Speaker>冷静的男声</Speaker>||:<color=#00CCFF>暂且休息一下，让你的人形先挡住。</color>
TestPilot(0)<Speaker>■■■</Speaker>||:嗯，拜托了，小爱。+哈哈……头一次这样作战，果然还是有点勉强。我就先负责侦查工作吧。
88typePilot(0)<Speaker>江城爱</Speaker>||:【判断 持有者身体强度不足以完全驾驭强铳兵，实行保护方案。】+【发现新的敌对目标。执行 远距离打击。】
()<Speaker>■■■</Speaker>||<SE1>Runstep</SE1>:……小爱！危险！！！
88typePilot(0)<Speaker>江城爱</Speaker>||<关闭火花><BGM>BGM_Empty</BGM><SE1>AVG_bigglassbreak</SE1><拉伸><黑屏1>:<color=#FF0000>【警告 检测到陌生信号飞速接近】</color>+<color=#FF0000>【警告 机体失衡】</color>+<color=#FF0000>【警告 受到严重冲击——】</color>
格琳()<Speaker>格琳</Speaker>||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏2>:咦，怎么突然没有画面了？+数据丢失了吗？……啊，有了。
()<Speaker></Speaker>||<黑屏1>:<color=#00CCFF>【编号 2051-05-09】</color>+<color=#00CCFF>【继续播放】</color>
()<Speaker></Speaker>||<BIN>41</BIN><黑屏2><SE1>AVG_Rain2</SE1>:……
()<Speaker></Speaker>||:<color=#FF0000>【警告 天气变化 晴天→暴雨  持续时间 无法测算】</color>+【检测不到持有者的生命体征】+【检测不到持有者的生命体征】+<color=#FF0000>【警告 请勿持续无效操作】</color>+<color=#FF0000>【警告 电量不足】</color>
88typePilot(0)<Speaker>江城爱</Speaker>||<SE1>AVG_Rain2</SE1>:……
NPC-Bodyguard1(0)<Speaker>沙哑的声音</Speaker>||:啊，这里还有两具机甲！+快过来！
NPC-PasserbyM(0)<Speaker>年轻的声音</Speaker>||:来了来了。两边的人受伤都不少，别催啊。+喔，这就是C区域坚持到最后的硬骨头吧？
NPC-Bodyguard1(0)<Speaker>沙哑的声音</Speaker>||<SE1>AVG_Rain2</SE1>:弄塌了那边七架新型号，结果居然只是测试人形吗？+怎么扶着机甲愣在这里，bug了？……喔，快没电了，难怪呢。
NPC-PasserbyM(0)<Speaker>年轻的声音</Speaker>||:按情报里看应该是那个中国女人和她的人形。
NPC-Bodyguard1(0)<Speaker>沙哑的声音</Speaker>||:这只有人形啊，那女人呢？给钱的那边说找到尸体要盖国旗送回家乡呢。
NPC-PasserbyM(0)<Speaker>年轻的声音</Speaker>||<SE1>AVG_Rain2</SE1>:驾驶舱都给炸没了，哪儿来的女人。+说来也真是奇怪，听说这女人最后替她人形驾驶的机甲挡枪。
NPC-Bodyguard1(0)<Speaker>沙哑的声音</Speaker>||:哈……？？你开玩笑呢吧。+哪儿来的这种傻子啊，怕不是误以为这里头是她战友吧！
NPC-PasserbyM(0)<Speaker>年轻的声音</Speaker>||<黑屏1>:谁知道呢。+总之，赶快都处理掉吧。现在倒是省事了，只要搬走人形就可以……哟，还挺重。拖车还没到吗？喂——？
88typePilot(0)<Speaker>江城爱</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:【执行 救助】+<color=#FF0000>【警告 检索不到执行对象】</color>+【执行 拥抱】+<color=#FF0000>【警告 检索不到执行对象】</color>+【执行 呼喊】+<color=#FF0000>【警告 没有相关模块】</color>+<color=#FF0000>【系统错误】</color>+<color=#FF0000>【系统错误】</color>+<color=#FF0000>【系统错误】</color>+【执行……】+【检测到机体被移动，操作中断】+<color=#FF0000>【警告 电量不足，即将在三十秒后关机】</color>
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><黑屏1><BGM>BGM_Empty</BGM>:……+<color=#00CCFF>【编号2051-05-09 记录播放完毕】</color>+<color=#00CCFF>【是否跳转？】</color>+<color=#00CCFF>【确认跳转至 模拟运算记录。】</color>+<color=#00CCFF>【20510106 beta 读取中】</color>
TestPilot(0)<Speaker>■■■</Speaker>||<BIN>18</BIN><黑屏2><回忆><BGM>BGM_Moon</BGM>:早安哦，59898！
TestPilot(0);88typePilot(0)<Speaker>江城爱</Speaker>||:早安。
TestPilot(0)<Speaker>■■■</Speaker>;88typePilot(0)||<黑屏1>:诶——？你的声音……好好听啊！
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><黑屏1><关闭蒙版>:<color=#00CCFF>【20510415 beta 读取中】</color>
TestPilot(0)<Speaker>■■■</Speaker>||<回忆><黑屏2><BIN>46</BIN>:我想去喝咖啡，但是一个人去根本没有意思！+小爱，和我一起去吧？
TestPilot(0);88typePilot(0)<Speaker>江城爱</Speaker>||<黑屏1>:好啊，如果是■■■的想法，我很高兴一起去哦！
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><黑屏1><关闭蒙版>:……+<color=#00CCFF>【20510509 beta 读取中】</color>
TestPilot(0)<Speaker>■■■</Speaker>||<黑屏2><BIN>73</BIN><回忆>:小爱，我喜欢你。
TestPilot(0);88typePilot(0)<Speaker>江城爱</Speaker>||<黑屏1>:我知    以+■■■+去 展       ■■■  一起
()<Speaker></Speaker>||<BIN>9</BIN><关闭蒙版><黑屏2><黑屏1><BGM>BGM_Empty</BGM>:<color=#00CCFF>【档案出现未知损坏，结束运算】</color>
