()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>9</BIN><黑屏1>:大脑在瞬间空白一片，整个世界天旋地转着，各种画面在眼前飞舞。+不知道过了多久，世界重归平静。
()<Speaker>□□</Speaker>||<黑屏2><BIN>70</BIN>:现在感觉怎么样？
NPC-Machlian(5)<Speaker>玛赫莲</Speaker><Position>0,-50</Position>||:不太好……
()||<黑屏1>:面容模糊扭曲的男人发出了诡异的笑声，玛赫莲的视野模糊了起来……
()<Speaker>指挥官</Speaker>||<黑屏2><关闭蒙版><BIN>357</BIN><BGM>BGM_Empty</BGM>:……+有看得清脸的记忆碎片吗？
NytoIsomer(7)<Speaker>丹德莱</Speaker><通讯框>||:<color=#00CCFF>目前不建议这么做，玛赫莲的虚识本来就很脆弱，强行还原被特殊处理的人物形象，容易引起虚识崩溃。</color>
NytoIsomer(7)<通讯框>;M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:这个人的脸扭曲得好恐怖……
NytoIsomer(7)<通讯框>;RO635Mod(0)<Speaker>RO635</Speaker>||:不知道是因为玛赫莲自己对这个人感到恐惧，还是帕拉蒂斯对她的记忆做出的处理。+如果是后者的话，帕拉蒂斯对于虚识的掌控力已经达到了非常恐怖的地步了。
NytoIsomer(7)<Speaker>指挥官</Speaker><通讯框>||:……继续搜索。
()||:丹德莱展示了玛赫莲的内心，大小不一、色泽不同的碎片胡乱地撒了一地，有些看上去格格不入，有些看上去有些甚至已经破损。
()<Speaker>指挥官</Speaker>||:顺着这些记忆碎片去找找看颜色接近的部分，模糊也没关系。
NytoIsomer(7)<Speaker>丹德莱</Speaker><通讯框>||<黑屏1>:<color=#00CCFF>好。</color>
()||<黑屏2><BIN>322</BIN><回忆><BGM>10227</BGM>:……某处地下基地。+电子屏幕上清晰地显示着整个柏林的地图，上面遍布了密密麻麻的点位。+一个面容模糊扭曲的少女正在分配点位。
Narciss(4)<Speaker>？？？</Speaker>||:自己负责的点位都记清楚了吧？
NytoWhite(0)<Speaker>白涅托</Speaker>||:我们已经牢记于心。
Nyto(1)<Speaker>黑涅托</Speaker>||:我们会立刻前往自己的点位完成任务。
Narciss(4)<Speaker>？？？</Speaker>||:很好，很好。
()||:面容同样模糊扭曲的少女将控制器递向涅托们。+涅托们双手伸出，毕恭毕敬地准备接过。
Narciss(4)<Speaker>？？？</Speaker>||:知道这是什么吗？就敢伸手接过？
Nyto(1)<Speaker>黑涅托</Speaker>||:……这是？
Narciss(4)<Speaker>？？？</Speaker>||:哈？！
()||<SE1>AVG_lifttable</SE1>:少女突然暴跳如雷，拎起黑涅托就往墙上扔去。+墙上瞬间绽开一片血色。
Narciss(4)<Speaker>？？？</Speaker>||:这可是关系到父亲大人最重视的茧计划，你们竟然这么不上心？！+我换个人问，你来说，这是什么？！
NytoWhite(0)<Speaker>白涅托</Speaker>||:是伊阿索之匣的控制器。
Narciss(4)<Speaker>？？？</Speaker>||:没错！这可是充满了爱与希望，能让世界变得更美好的武器！+只要按下这个小小的按钮，美好的希望就会从匣子里飞出去。+只要大家都按下这个按钮，整个柏林都将充满美妙的希望！
()||<黑点1>:涅托们纷纷虔诚地跪下，同时双臂伸向少女……
()||<黑点2><BIN>167</BIN>:白涅托的手指轻轻叩击着控制器的按键。
NytoWhite(0)<Speaker>白涅托</Speaker>||:任务都完成了吗？
Nyto(1)<Speaker>黑涅托</Speaker>||:全部准备好了。
NytoWhite(0)<Speaker>白涅托</Speaker>||:很好，一切都是为了父亲大人的荣耀。
Nyto(1)<Speaker>黑涅托</Speaker>||:为了父亲大人的荣耀。
()||:涅托们开始虔诚地祈祷……
()||<闪屏><duration>10</duration><rate>20</rate><delay>30</delay><CG>318,169,327,316</CG></闪屏>:无数个白色涅托按下手中的控制器……
()||<SE1>Explode</SE1><common_effect>%%code=changjing_huafen%%</common_effect>:轰——+传来接二连三的爆炸声，淡黄色的花粉在城市的各个角落迸发开来。+整座城市污染浓度已经飙升到红区级别，人们涌上街头，拼命地想要逃出花粉的包围。+但最终，一个接一个，他们倒在了街上。+有的再也没有站起来，有的却以另一种形式重回人间。
()<Speaker>ELID患者</Speaker>||:啊啊啊啊——
NytoWhite(0)<Speaker>白涅托</Speaker>||:记住父亲大人的要求，搜寻所有的部分免疫体和完全免疫体，活着带回基地。
Nyto(1)<Speaker>黑涅托</Speaker>||:是。
()||<黑屏1>:难以计数的涅托走进淡黄色的花粉中，兽类的吼叫混杂着人类绝望的哭喊……+炼狱，降落至人间。
VP1915(0)<Speaker>帕罗莎</Speaker>||<黑屏2><关闭蒙版><BIN>357</BIN><BGM>BGM_Empty</BGM>:……这是柏林？
RO635Mod(0)<Speaker>RO635</Speaker>||:刚刚的画面……我看见了隔离墙……
()<Speaker>指挥官</Speaker>||:……+把这一段完整录下来，我们要查清楚。
()||<黑屏1>:握住茶杯的手微微颤抖，末世一样的场景在脑中挥之不去，那些痛苦和呼喊，令人喘不过气来。
