sangvis-10001001,스케어크로우
sangvis-40001007,단거리 돌파 또는 수비 작전에 특화되어//c 지능과 전투 능력 모두 높은//c 나비 사건 이후 제작된 인형. 하지만 실험작이기 때문에 AI가 불안정하고 통제하기 어렵다. 겉으로는 진중해 보여도 속으론 매우 거만하다. 비록 강한 무력과 지능을 가졌지만//c 실전 경험이 적고 행동 스타일도 불안정하므로//c 적과 아군 모두 그녀에 대해 방심할 수가 없다.
sangvis-30001007,미정
sangvis-10001008,알케미스트
sangvis-40001008,다양한 상황에 대응할 수 있고//c 심문에도 능한 엘리트 인형//c 가끔 디스트로이어와 조를 짤 때가 있다. 오만하고 잔인한 성격으로//c 목적을 위해서라면 수단을 가리지 않는다. 그리폰을 자신의 욕구를 채우기 위한 장난감 취급하는 등 사디즘 성향이 있지만//c 그래도 심리적으로 성숙하여//c 철혈 동료를 위해 나서 싸운다.
sangvis-30001008,미정
sangvis-10002001,브루트
sangvis-40002001,철혈의 신형 근거리 작전 유닛//c 적에게 빠르게 접근해 무시무시한 피해를 입힌다. 하지만 장갑이 부실해 파괴되기 쉽다.
sangvis-30002001,미정
sangvis-10002002,드라군
sangvis-40002002,철혈의 고급 작전 유닛//c 소형 보행기와 돌격 무기를 장착했다. 화력과 사거리//c 그리고 기동력 모두 상당한 수준으로//c 전장에서 강행돌파를 위해 투입된다.
sangvis-30002002,미정
sangvis-10002003,이지스
sangvis-40002003,군용 표준 규격 기갑 유닛이지만//c 출고되기 전에 철혈에게 탈취당했다. 제식무기인 전기충격기와 방패를 장착했다. 근접전 능력이 뛰어나며//c 두꺼운 장갑을 지녔다.
sangvis-30002003,미정
sangvis-10002004,네메움
sangvis-40002004,군용 표준 규격 기갑 유닛이지만//c 출고되기 전에 철혈에게 탈취당했다. 현대 군용화기 시스템을 탑재하여//c 에너지를 충전하여 강력한 사격을 한다. 하지만 공격 속도가 느리고 방어력이 부실하다.
sangvis-30002004,미정
sangvis-10002005,타란툴라
sangvis-40002005,디너게이트의 장갑 강화 버전. 생존력이 크게 상승했으며//c 무리를 지어 적에게 큰 피해를 입힐 수 있습니다.
sangvis-30002005,미정
sangvis-10002006,맨티코어
sangvis-40002006,군용 표준 규격 기갑 유닛이지만//c 출고되기 전에 철혈에게 탈취당했다. 현대 군용 돌격 무기와 장갑을 탑재하여//c 화력과 방어력 모두 뛰어나다.
sangvis-30002006,미정
sangvis-10002008,가드SWAP
sangvis-40002008,강화된 가드. 방패와 근거리 화기 모두 강화되어//c 수비가 더욱 견고해졌다.
sangvis-30002008,미정
sangvis-10002009,리퍼 SWAP
sangvis-40002009,성능을 대폭 강화한 리퍼. 화력과 기동력 모두 크게 상승했다. 과거의 자신과 이별하기 위해 머리색과 제복을 교체했다.
sangvis-30002009,미정
sangvis-10002010,베스피드 SWAP
sangvis-40002010,성능을 대폭 강화한 베스피드//c 아군 유닛을 약화하는 능력을 습득했습니다. 새로운 헬멧과 보호구를 분출받아 사기가 높습니다.
sangvis-30002010,미정
sangvis-10002011,프롤러 SWAP
sangvis-40002011,강화된 프롤러//c 부족했던 화력과 기동력을 보완하여 드디어 최전선에서 싸울 정도의 능력을 얻었다.
sangvis-30002011,미정
sangvis-10003001,리퍼
sangvis-40003001,철혈의 표준 규격 작전 유닛. 근거리 돌격 무기를 장착했다. 기동력이 비교적 높아 전장에서 선봉 또는 정찰을 맡는다.
sangvis-30003001,미정
sangvis-10003002,베스피드
sangvis-40003002,철혈의 표준 규격 작전 유닛. 원거리 돌격 무기를 장착했다. 하급 군용인형과 비슷한 화력을 지녀//c 소규모 전투에서 주력을 맡는다.
sangvis-30003002,미정
sangvis-10003003,가드
sangvis-40003003,철혈의 고급 작전 유닛//c 방패와 근거리 화기를 장착했다. 보이는 것처럼 수비를 담당하여//c 중요한 유닛을 호위하거나//c 전선을 추진할 때 강력한 선봉으로 등장한다.
sangvis-30003003,미정
sangvis-10003004,예거
sangvis-40003004,철혈의 표준 규격 작전 유닛//c 원거리 저격 무기를 장착했다. 맷집이 부실하지만 화력과 명중률이 높다//c 평소 작전에서 반드시 주의해야 할 상대.
sangvis-30003004,미정
sangvis-10003005,스트라이커
sangvis-40003005,철혈의 표준 규격 작전 유닛//c 기관총을 장착하여 화력과 사속 모두 높다. 전장에서 주로 화력 행사와 제압 사격을 담당한다.
sangvis-30003005,미정
sangvis-10003006,디너게이트
sangvis-40003006,철혈의 하급 기갑 유닛. 약하지만 양산에 적합하여//c 순찰 및 수색 임무에 투입된다. 단순한 몸통 박치기로 공격하지만//c 숫자가 불어나면 결코 무시할 수가 없다.
sangvis-30003006,미정
sangvis-10003007,스카웃
sangvis-40003007,철혈의 하급 기갑 유닛. 화력은 비교적 약하지만 기동력과 은폐성이 매우 뛰어나다. 주로 전선 정찰과 정보 수집에 투입된다.
sangvis-30003007,미정
sangvis-10003008,프롤러
sangvis-40003008,철혈의 하급 기갑 유닛. 화력과 기동력 모두 낮아//c 후방에서 순찰과 정찰 임무를 담당한다.
sangvis-30003008,미정
sangvis-10003009,재규어
sangvis-40003009,철혈의 표준 규격 기갑 유닛. 일종의 자주 박격포로//c 기동성이 떨어지지만//c 위력만큼은 정규군 무기와 맞먹는다.
sangvis-30003009,미정
sangvis-10009001,우로보로스
sangvis-40009001,단거리 돌파 또는 수비 작전에 특화되어//c 지능과 전투 능력 모두 높은//c 나비 사건 이후 제작된 인형. 하지만 실험작이기 때문에 AI가 불안정하고 통제하기 어렵다. 겉으로는 진중해 보여도 속으론 매우 거만하다. 비록 강한 무력과 지능을 가졌지만//c 실전 경험이 적고 행동 스타일도 불안정하므로//c 적과 아군 모두 그녀에 대해 방심할 수가 없다.
sangvis-30009001,미정
