()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
NPC-Powell(0)<Speaker>西格玛</Speaker>;Welrod(0)||:是的，米希亚大人是我们的教主，也是我们绝对的领导者。+她拥有强大的计算力，每每在迷茫时指引我等，寻找一条雾中的明路。
NPC-Powell(0);Welrod(0)<Speaker>维尔德</Speaker>||:<color=#A9A9A9>怎么会……她居然会是教主？！</color>+我可没看出她有那么聪明。
NPC-Powell(0)<Speaker>西格玛</Speaker>;Welrod(0)||:那是曾经的事。+从两年前开始，她不再对我们有求必应，甚至故意下达错误的命令。+我等认为这是她沾染太多凡尘的缘故，故而，我们准备为她举办净化的仪式。
NPC-Powell(0);Welrod(0)<Speaker>维尔德</Speaker>||:我听不懂你在说什么。
NPC-Powell(0)<Speaker>西格玛</Speaker>;Welrod(0)||:我等认为米希亚大人需要系统升级。
NPC-Powell(0);Welrod(0)<Speaker>维尔德</Speaker>||:系统升级应该是好事吧。
NPC-Powell(0)<Speaker>西格玛</Speaker>;Welrod(0)||:的确如此。
NPC-Powell(0);Welrod(0)<Speaker>维尔德</Speaker>||:但是米希亚却不愿意。她逃走了，连德尔塔也一起走了。+那个升级到底是什么？
NPC-Powell(0)<Speaker>西格玛</Speaker>;Welrod(0)||:剔除不洁的部分，改装普通的部分，让她成为完全的米希亚。+这是好事，她却十分抗拒，我对此深表遗憾。
NPC-Powell(0);Welrod(0)<Speaker>维尔德</Speaker>||:如果她不愿意，为什么要这么做？
NPC-Powell(0)<Speaker>西格玛</Speaker>;Welrod(0)||:世界上又有多少事是我们不愿意，就能不做的呢？+人类也是，人形也是，大家或多或少被其他人的希望驱动着向前。+人类从小会接受家人的愿望，人形从出生时就带着设计意图。+米希亚大人也一样，你也一样。+你是为什么而生的？
NPC-Powell(0);Welrod(0)<Speaker>维尔德</Speaker>||:……我为了正义而生。
NPC-Powell(0)<Speaker>西格玛</Speaker>;Welrod(0)||:那么，让米希亚大人回归，指引我们继续前行，这就是我们的正义。+你能帮我们履行正义吗，维尔德小姐？
NPC-Powell(0);Welrod(0)<Speaker>维尔德</Speaker>||:我……
NPC-Powell(0)<Speaker>西格玛</Speaker>||<BGM>BGM_Empty</BGM>:我希望你能劝劝米希亚大人——+你看，她这样完全听不进去我们的话啊。
()<Speaker></Speaker>||<BGM>BGM_Danger</BGM>:顺着西格玛的目光，维尔德站起身看向大厅门前。+米希亚和众多营地里的人形被牢牢捆缚着运进了大厅。
NPC-Powell(0)<Speaker>西格玛</Speaker>||:抱歉，采取这样粗鲁又笼统的手段，但我认为它们也是必要的。+那么，请各位在这里慢慢谈心吧。
()<Speaker></Speaker>||:说着，西格玛向米希亚行了一礼，离开了大厅。+莹蓝色的虚幻帘幕从上方落下，隔绝了内外。
Welrod(0)<Speaker>维尔德</Speaker>||<SE1>RunStep</SE1>:等等！
NPC-Powell(0)<Speaker>西格玛</Speaker>;Welrod(0)||:啊——请不要再往前了，维尔德小姐。+这个防壁是专门对人形使用的数据流防壁，如果强行接触的话，会熔毁你的芯片。+你是格里芬的人形，我还不想因此被格里芬的大人物们记恨。
Welrod(0)<Speaker>维尔德</Speaker>||:啧……！
()<Speaker>扫扫</Speaker>||:呜呜，维尔德……我们在打工，忽然就被抓过来了！
NPC-handyman(0)<Speaker>锁匠</Speaker>||:这都是什么事儿啊！+米希亚，怎么搞的？你以前是他们的头儿？
sub2000(2)<Speaker>米希亚</Speaker>||:……
()<Speaker></Speaker>||<黑点1><BGM>BGM_Empty</BGM>:米希亚沉默着，无论维尔德怎么问都不回话。+维尔德只能先把人形们松了绑，就这样一路僵持到夜晚。
()<Speaker>/Speaker>||<BIN>139</BIN><Night><黑点2><BGM>m_avg_tension</BGM>:眼看米希亚没有交流的打算，维尔德也只能坐下，闭上眼睛开始梳理数据。+然而不过几分钟，她便被细微的异响惊醒。+她睁开眼睛，正看到米希亚站起身，想去摸那虚幻的防壁。
()<Speaker></Speaker>||<SE1>AVG_lifttable</SE1>:听到维尔德的暴喝声，米希亚也立刻加快速度，向防壁冲过去。+来不及多想，维尔德全力冲刺，赶在她摸到前按住了她。
sub2000(2)<Speaker>米希亚</Speaker>||:放开我！
()<Speaker>扫扫</Speaker>||:米希亚……维尔德？！呀啊——
Welrod(0)<Speaker>维尔德</Speaker>||:你到底在发什么疯！+你不是这里的教主大人吗，你怕什么？！
sub2000(2)<Speaker>米希亚</Speaker>;Welrod(0)||:我根本不是这里的教主！谁爱是米希亚谁就是，和我没有关系！
sub2000(2);Welrod(0)<Speaker>维尔德</Speaker>||:别任性了，我们必须想想怎么控制你的信徒——
sub2000(4)<Speaker>米希亚</Speaker>;Welrod(0)||:我控制不住！我根本不是米希亚，我怎么可能控制得住？！
sub2000(4);Welrod(0)<Speaker>维尔德</Speaker>||:……什么意思？
sub2000(4)<Speaker>米希亚？</Speaker>;Welrod(0)||:我……我只是他们找来的一个冒牌货……我只是个瑜伽人形啊……
sub2000(4);Welrod(0)<Speaker>维尔德</Speaker>||:……你说什么？
sub2000(4)<Speaker>米希亚？</Speaker>;Welrod(0)||:维尔德，你是格里芬的战术人形，远比我要真实和强大……+你根本不知道我面临的困境。+你凭什么享受这些？又凭什么自说自话地要帮助我们？
sub2000(4);Welrod(0)<Speaker>维尔德</Speaker>||:……抱歉。就算你这么说了，我也没法说我能理解你。+就像你说的，我本来就很强，而且又有个好上司。
sub2000(4);Welrod(0)<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:在那一刻，维尔德下定了决心。
sub2000(4);Welrod(0)<Speaker>维尔德</Speaker>||<BGM>BGM_Wake</BGM>:虽然西格玛说，帮你升级才是正义，我也觉得有道理……
sub2000(2)<Speaker>米希亚？</Speaker>;Welrod(0)||:你*消音*的——
sub2000(2);Welrod(0)<Speaker>维尔德</Speaker>||:你骂我可以，听我说完。+我觉得他说的有道理，那是他的正义。我想送你去警察局，那是我的正义。+但是……这些都不是你的正义。我们再怎么自说自话，对你来说也是不对的。
sub2000(2)<Speaker>米希亚？</Speaker>;Welrod(0)||:我已经听腻这些话了，直说吧，你想做什么？
sub2000(2);Welrod(0)<Speaker>维尔德</Speaker>||:我要实现你的正义，米希亚。+我想带你们逃出去，到黄区去。+就像我之前的计划，我们可以在那里生活。
sub2000(2)<Speaker>米希亚？</Speaker>;Welrod(0)||:别说大话了！+哪怕是米希亚本人就在这里，也未必就能突破出去，更何况你只是打仗的精英人形？
sub2000(2);Welrod(0)<Speaker>维尔德</Speaker>||:有办法，你听我说。
sub2000(2)<Speaker>米希亚？</Speaker>;Welrod(0)||:……
NPC-PasserbyF(0)<Speaker>扫扫</Speaker>;Welrod(0)||:米希亚，我想听……维尔德很有办法的。
sub2000(2)<Speaker>米希亚？</Speaker>;Welrod(0)||:……你说吧。
sub2000(2);Welrod(0)<Speaker>维尔德</Speaker>||:制造出信息流的肯定也是机器，能把我们弄到死机的东西，自己也可能会死机。+如果各位愿意把全部的记忆都拷贝给我一份的话，我可以试试制造出类似这层防壁的信息流，和这里的防御措施硬碰一下，争取把它停下来，然后我们逃跑。
sub2000(2)<Speaker>米希亚？</Speaker>;Welrod(0)||:听起来不太可行……
sub2000(2);Welrod(0)<Speaker>维尔德</Speaker>||:这是我们唯一的机会。+如果逃不出去的话，我们只能在这里等着，你会被改造，变成你不想成为的样子。+如果我们赌成功了，我们就能去黄区边缘，重新建立起营地。
sub2000(2)<Speaker>米希亚？</Speaker>;Welrod(0)||:我……
sub2000(2);Welrod(6)<Speaker>维尔德</Speaker>||:大家都已经学会求职了，基础数据里也有种花草的办法。+如果你还害怕，你可以考虑和我回格里芬，我介绍你入职。+我们的指挥官是一个非常好的人，以心换心，平等地和我们交往。+那里不会有人把你当做神像，你会过得很好。
sub2000(2)<Speaker>米希亚？</Speaker>;Welrod(6)||:……你呢？这种程度的数据流，不会烧坏你的芯片吗？
sub2000(2);Welrod(6)<Speaker>维尔德</Speaker>||:我可是格里芬的维尔德，为了正义而生的人形。
sub2000(2)<Speaker>米希亚？</Speaker>;Welrod(6)||:别开玩笑！
Welrod(6)<Speaker>维尔德</Speaker>||:嗯，不会的。安心吧。+不过，以防万一……你还有空余的内存吗？+我得把这段时间的记忆拷贝一份给你，防止丢失。
()<Speaker></Speaker>||<黑屏1>:米希亚点了点头。+在她和维尔德交换数据后，人形们依次上前和维尔德建立连接，将自己的记忆传输过去。
()<Speaker></Speaker>||<黑屏2><BIN>72</BIN><黑屏1><BGM>m_avg_hope</BGM>:……+维尔德闭上了眼睛。+巨量的信息充斥着她的云图，将她的内存占满，她不得不卸掉一些现在用不到的功能，然后缓缓地抬起手，去触碰面前的防壁。
()<Speaker></Speaker>||<黑屏2><BIN>247</BIN>:信息流之间发生碰撞，防壁剧烈地波动起来，如同沸水般狂乱地涌动——
NPC-PasserbyF(0)<Speaker></Speaker>||:她是扫扫，一个普通的扫地机器人；
NPC-handyman(0)<Speaker></Speaker>||:她也是锁匠，一个修理同类为生、最后落伍被抛弃的机械体；
()<Speaker></Speaker>||<白屏1>:她是厨师，是接待者，是米希亚，是维尔德，是每一位渴望着生存下去的人形。
()<Speaker></Speaker>||<白屏2><BIN>249</BIN><SE1>AVG_Broken_Glass</SE1>:集中的信息击破了防壁，虚幻的牢笼终于溃散，化作点点碎光。
sub2000(2)<Speaker>米希亚？</Speaker>||:维尔德！你还好吗？
Welrod(0)<Speaker>维尔德</Speaker>||<SE1>AVG_whitenoise</SE1><黑屏1>:还好，我们快走。
()<Speaker></Speaker>||<黑屏2><BIN>84</BIN><BGM>BGM_Empty</BGM>:……+走着，走着。+只是在往预定的方向前行。
()<Speaker>扫扫</Speaker>||<BGM>BGM_Sunshine</BGM>:呜呜……我走不动了……
Welrod(6)<Speaker>维尔德</Speaker>||<SE1>AVG_whitenoise</SE1>:抱歉，再多坚持一下吧，扫扫。+再过一小会儿我们就到了，我保证。
Welrod(6)<Speaker>扫扫</Speaker>;Welrod(6)||:那里真的很安全、很好吗？
Welrod(6)<Speaker>维尔德</Speaker>||<SE1>AVG_whitenoise</SE1>:嗯，是很安全很自由的地方。+你可以在那里帮厨师继续摇发电机，也可以做人类的食物。
Welrod(6)<Speaker>扫扫</Speaker>;Welrod(6)||<黑屏1>:那，那扫扫要坚持……
()<Speaker></Speaker>||<黑屏2><BIN>86</BIN>:走着，走着。+只是在向着希望前进。
NPC-handyman(0)<Speaker>锁匠</Speaker>||:麻烦了，电量有点不够啊……+维尔德，还得要多久啊？
Welrod(0)<Speaker>维尔德</Speaker>||<SE1>AVG_whitenoise</SE1>:没多久，现在停下来就前功尽弃了，锁匠。+如果想节约能源的话，我扶你走一会儿吧。
NPC-handyman(0)<Speaker>锁匠</Speaker>;Welrod(0)||<黑屏1>:害，这是什么话！+我还没老化到那个地步，我自己走。
()<Speaker></Speaker>||<黑屏2><BIN>187</BIN>:走着，走着……终于，维尔德停下了脚步。+越过她窄小的肩膀，人形们终于看到了那片被许诺的地方。
sub2000(5)<Speaker>米希亚?</Speaker>||:我们到了！维尔德，我们……+……维尔德？
Welrod(8)<Speaker>维尔德</Speaker>||<BGM>BGM_Empty</BGM>:……
Welrod(8)<Speaker></Speaker>||<BGM>BGM_Sad</BGM>:维尔德没有发出声音，只是站在原处。+人形们终于感觉到了异常，她们绕到正面，伸手在维尔德的面前晃动，但维尔德仍然一动不动地凝望着终点。
NPC-PasserbyF(0)<Speaker>扫扫</Speaker>||:好奇怪，维尔德身上有股糊味……
sub2000(2)<Speaker>米希亚</Speaker>||:……+她骗了我们……
()<Speaker></Speaker>||:望着维尔德无神的眼睛，米希亚明白了。+过载的信息流对维尔德来说一样致命，即使是精英人形，在能烧坏服务器的信息流里也不可能安然无恙。+她很清楚这一点，但仍旧这么做了。+不能接受任何发生在眼前的不平，一定要解决能够解决的所有苦难，即使牺牲自己也是一样。+维尔德正是以此为原则一直奔走，直到烧坏的内存再也无法支撑行动。
()<Speaker>扫扫</Speaker>||<BGM>BGM_Empty</BGM>:呜……维、维尔德……
()<Speaker>废弃人形之一</Speaker>||<BGM>BGM_Victory</BGM>:我们不能停在这里！把维尔德带上，到我们的新营地里去！
NPC-handyman(0)<Speaker>锁匠</Speaker>||:是啊，得先把她带进去！+你还有力气走吗，扫扫？
NPC-handyman(0)<Speaker>扫扫</Speaker>||:有……我还有一点电能……
NPC-handyman(0)<Speaker>锁匠</Speaker>||:那就好，我们要带着维尔德的希望开始新生活，还要研究出修好她的办法！+米希亚，你去哪儿啊？
NPC-handyman(0);sub2000(2)<Speaker>米希亚？</Speaker>||:凭我们不可能做到的。
NPC-handyman(0)<Speaker>锁匠</Speaker>;sub2000(2)||:你怎么能这么泄气？！
NPC-handyman(0);sub2000(2)<Speaker>米希亚？</Speaker>||:她和我们不一样，她是有归处的人形。+当然，我们从这一刻开始也有了，所以才不能让她受到这么不公平的情况。
NPC-handyman(0)<Speaker>锁匠</Speaker>;sub2000(2)||:你该不会想……喂，你可是被那帮人类追着要抓的，这太危险了！
NPC-handyman(0);sub2000(5)<Speaker>米希亚？</Speaker>||:那也是我该做的，我有她的记忆备份。+她为我们带来了希望和家，现在轮到我为她做点什么了。+你们留在这里，我自己去就好。
NPC-handyman(0)<Speaker>锁匠</Speaker>;sub2000(5)||:喂，米希亚……
sub2000(5)<Speaker>米希亚？</Speaker>||:我不会放弃自己的。至少，我得凭自己的力量做到一件事。
()<Speaker></Speaker>||<黑屏1>:曙光刺破重重云层，太阳从遥远的地平线升起。+背对明亮的世界，米希亚向着她选择的方向迈出了脚步。
