furniture_establish-10010001,救護室壁紙
furniture_establish-20010201,ちゃんと猫用ケージを用意したのに、ねこたちは弾薬をしまうダンボール箱の中で眠るほうが好みらしいことに、指揮官は気づく。「今すぐ箱をどかせ！」
furniture_establish-10010202,素朴な猫用ケージ
furniture_establish-20010202,きちんと猫用ケージを用意したのに、指揮官は気づいてしまった。猫たちは弾薬の入っていた箱の中で眠るほうが好きらしい。「今すぐ箱を片付けろ！」
furniture_establish-10010203,素朴な猫用ケージ
furniture_establish-20010203,きちんと猫用ケージを用意したのに、指揮官は気づいてしまった。猫たちは弾薬の入っていた箱の中で眠るほうが好きらしい。「今すぐ箱を片付けろ！」
furniture_establish-10010204,素朴な猫用ケージ
furniture_establish-20010204,きちんと猫用ケージを用意したのに、指揮官は気づいてしまった。猫たちは弾薬の入っていた箱の中で眠るほうが好きらしい。「今すぐ箱を片付けろ！」
furniture_establish-10010205,素朴な猫用ケージ
furniture_establish-20010205,きちんと猫用ケージを用意したのに、指揮官は気づいてしまった。猫たちは弾薬の入っていた箱の中で眠るほうが好きらしい。「今すぐ箱を片付けろ！」
furniture_establish-10010206,仕切り付きキャットタワー
furniture_establish-20010206,指揮官がせっかく工面してバッテリーを集め、ガラスの仕切り板つきのキャットタワーを完成させたのに、ネコちゃんたちは軽々と仕切りを飛び越えると、もう中に戻ることはなかった。
furniture_establish-10010207,仕切り付きキャットタワー
furniture_establish-20010207,指揮官も歯ぎしり。長いこと集めていたバッテリーで立体キャットタワーを作り、ガラスの仕切り板も取り付けたのに、猫は軽々と仕切りを飛び越え、その後はタワーに見向きもしない。
furniture_establish-10010208,仕切り付きキャットタワー
furniture_establish-20010208,指揮官も歯ぎしり。長いこと集めていたバッテリーで立体キャットタワーを作り、ガラスの仕切り板も取り付けたのに、猫は軽々と仕切りを飛び越え、その後はタワーに見向きもしない。
furniture_establish-10010209,仕切り付きキャットタワー
furniture_establish-20010209,指揮官も歯ぎしり。長いこと集めていたバッテリーで立体キャットタワーを作り、ガラスの仕切り板も取り付けたのに、猫は軽々と仕切りを飛び越え、その後はタワーに見向きもしない。
furniture_establish-10010210,大型猫ハウス
furniture_establish-20010210,大きな猫のお城も空き家へとなり果て、指揮官はねこたちが中にいる僅かな間を狙って写真を撮り、シェアすることを覚えた「どうせ誰も知らないし。ヘッヘッヘ……」
furniture_establish-10010300,埃を被った犬用ケージ
furniture_establish-20010300,誰かが置いていった犬用ケージ。軽く洗えば拾ってきたイヌの一時的な寝床にはなる。
furniture_establish-10010301,質素な犬用ケージ
furniture_establish-20010301,誰が置いていったか分からない犬用ケージ。綺麗にすれば、一時的に保護した子犬が夜を過ごせる。
furniture_establish-10010302,質素な犬用ケージ
furniture_establish-20010302,誰が置いていったか分からない犬用ケージ。綺麗にすれば、一時的に保護した子犬が夜を過ごせる。
furniture_establish-10010303,質素な犬用ケージ
furniture_establish-20010303,誰が置いていったか分からない犬用ケージ。綺麗にすれば、一時的に保護した子犬が夜を過ごせる。
furniture_establish-10010304,質素な犬用ケージ
furniture_establish-20010304,誰が置いていったか分からない犬用ケージ。綺麗にすれば、一時的に保護した子犬が夜を過ごせる。
furniture_establish-10010305,質素な犬用ケージ
furniture_establish-20010305,誰が置いていったか分からない犬用ケージ。綺麗にすれば、一時的に保護した子犬が夜を過ごせる。
furniture_establish-10010306,自動ドア付き犬用ケージ
furniture_establish-20010306,レベルアップした犬用ケージ。毎日決まった時間に自動でドアが開き、子犬を外遊びに出す。ただ、遊びに夢中の子を連れ戻すのは、やはり指揮官がやるしかない。
furniture_establish-10010307,自動ドア付き犬用ケージ
furniture_establish-20010307,レベルアップした犬用ケージ。毎日決まった時間に自動でドアを開けて子犬を外遊びに出す。ただし、遊びに興じている子犬を連れ戻すのは、やはり指揮官の仕事。
furniture_establish-10010308,自動ドア付き犬用ケージ
furniture_establish-20010308,レベルアップした犬用ケージ。毎日決まった時間に自動でドアを開けて子犬を外遊びに出す。ただし、遊びに興じている子犬を連れ戻すのは、やはり指揮官の仕事。
furniture_establish-10010309,自動ドア付き犬用ケージ
furniture_establish-20010309,レベルアップした犬用ケージ。毎日決まった時間に自動でドアを開けて子犬を外遊びに出す。ただし、遊びに興じている子犬を連れ戻すのは、やはり指揮官の仕事。
furniture_establish-10010310,犬用保護ステーション
furniture_establish-20010310,最高級の犬用ケージ。イヌの健康管理システム付きで、虫歯からチョコの誤食に至るまでをすぐに発見するため、イヌたちはプライバシーがないと嘆いている。
furniture_establish-10010400,埃を被った止まり木
furniture_establish-20010400,誰かが置いていった止まり木。錆を落とせば鳥が止まりに来てくれるかも。
furniture_establish-10010401,質素な止まり木
furniture_establish-20010401,止まり木を設置して鳥を飼い始めてからというものの、指揮官が頻繁に鳩に独り言を言いに来るようになった。人形たちの間では、指揮官が定年で退役した将官みたいになってしまったとまことしやかに囁かれている。
furniture_establish-10010402,質素な止まり木
furniture_establish-20010402,止まり木を設置して鳥を飼い始めてからというものの、指揮官が頻繁に鳩に独り言を言いに来るようになった。人形たちの間では、指揮官が定年で退役した将官みたいになってしまったとまことしやかに囁かれている。
furniture_establish-10010403,質素な止まり木
furniture_establish-20010403,止まり木を設置して鳥を飼い始めてからというものの、指揮官が頻繁に鳩に独り言を言いに来るようになった。人形たちの間では、指揮官が定年で退役した将官みたいになってしまったとまことしやかに囁かれている。
furniture_establish-10010404,質素な止まり木
furniture_establish-20010404,止まり木を設置して鳥を飼い始めてからというものの、指揮官が頻繁に鳩に独り言を言いに来るようになった。人形たちの間では、指揮官が定年で退役した将官みたいになってしまったとまことしやかに囁かれている。
furniture_establish-10010405,質素な止まり木
furniture_establish-20010405,止まり木を設置して鳥を飼い始めてからというものの、指揮官が頻繁に鳩に独り言を言いに来るようになった。人形たちの間では、指揮官が定年で退役した将官みたいになってしまったとまことしやかに囁かれている。
furniture_establish-10010406,二連鳥かご
furniture_establish-20010406,レベルアップを経て、同時に多数の鳥を飼育できるようになり、新たな可能性がもたらされた。鳥たちの交配を待ち望む指揮官の切実さと興奮の入り混じった表情は、盗撮されグリフィン匿名掲示板にアップロードされている。
furniture_establish-10010407,二連鳥かご
furniture_establish-20010407,レベルアップを経て、同時に多数の鳥を飼育できるようになり、新たな可能性がもたらされた。鳥たちの交配を待ち望む指揮官の切実さと興奮の入り混じった表情は、盗撮されグリフィン匿名掲示板にアップロードされている。
furniture_establish-10010408,二連鳥かご
furniture_establish-20010408,レベルアップを経て、同時に多数の鳥を飼育できるようになり、新たな可能性がもたらされた。鳥たちの交配を待ち望む指揮官の切実さと興奮の入り混じった表情は、盗撮されグリフィン匿名掲示板にアップロードされている。
furniture_establish-10010409,二連鳥かご
furniture_establish-20010409,レベルアップを経て、同時に多数の鳥を飼育できるようになり、新たな可能性がもたらされた。鳥たちの交配を待ち望む指揮官の切実さと興奮の入り混じった表情は、盗撮されグリフィン匿名掲示板にアップロードされている。
furniture_establish-10010410,最新型三連鳥かご
furniture_establish-20010410,最先端のオートメーション化された三連鳥かご。湾曲したディスプレイは鳥たちのバイタルデータを表示してくれる以外にも、大自然の風景を映し出し、鳥たちの自然回帰願望をより掻き立てる役割も果たしている。
furniture_establish-10010500,埃を被った多機能恒温ボックス
furniture_establish-20010500,誰かが置いていった水槽。軽く洗えば不思議な小動物が飼えるかも。
furniture_establish-10010501,簡素な多機能恒温ボックス
furniture_establish-20010501,内部に加熱、保温機能が備わっており、底にはやわらかい干し草が敷き詰めてある。小さな動物が中に潜り込んだり出たりするのに最適。
furniture_establish-10010502,簡素な多機能恒温ボックス
furniture_establish-20010502,内部に加熱、保温機能が備わっており、底にはやわらかい干し草が敷き詰めてある。小さな動物が中に潜り込んだり出たりするのに最適。
furniture_establish-10010503,簡素な多機能恒温ボックス
furniture_establish-20010503,内部に加熱、保温機能が備わっており、底にはやわらかい干し草が敷き詰めてある。小さな動物が中に潜り込んだり出たりするのに最適。
furniture_establish-10010504,簡素な多機能恒温ボックス
furniture_establish-20010504,内部に加熱、保温機能が備わっており、底にはやわらかい干し草が敷き詰めてある。小さな動物が中に潜り込んだり出たりするのに最適。
furniture_establish-10010505,簡素な多機能恒温ボックス
furniture_establish-20010505,内部に加熱、保温機能が備わっており、底にはやわらかい干し草が敷き詰めてある。小さな動物が中に潜り込んだり出たりするのに最適。
furniture_establish-10010506,多機能恒温遊び場
furniture_establish-20010506,基本的な物欲が満たされた指揮官は、精神修養における小動物の重要性を意識し始めた。そして彼は楽しみながら学ぶため、各種ミニチュアの遊具を作り出したのであった。
furniture_establish-10010507,多機能恒温遊び場
furniture_establish-20010507,基本的な物欲が満たされた指揮官は、精神修養における小動物の重要性を意識し始めた。そして彼は楽しみながら学ぶため、各種ミニチュアの遊具を作り出したのであった。
furniture_establish-10010508,多機能恒温遊び場
furniture_establish-20010508,基本的な物欲が満たされた指揮官は、精神修養における小動物の重要性を意識し始めた。そして彼は楽しみながら学ぶため、各種ミニチュアの遊具を作り出したのであった。
furniture_establish-10010509,多機能恒温遊び場
furniture_establish-20010509,基本的な物欲が満たされた指揮官は、精神修養における小動物の重要性を意識し始めた。そして彼は楽しみながら学ぶため、各種ミニチュアの遊具を作り出したのであった。
furniture_establish-10010510,全自動二層恒温楽園
furniture_establish-20010510,デカさこそ美しさの哲学を持つ指揮官が大枚をはたいて購入した二層式恒温ボックス。彼には小動物がパイプの中を行ったり来たりするのを見ることより、愉快なことなどないのである。
furniture_establish-10020001,データルーム壁紙
furniture_establish-20020001,データルームデフォルト壁紙
furniture_establish-10020002,データルームフロア
furniture_establish-20020002,データルームデフォルトフロア
furniture_establish-10020003,データルーム電線1
furniture_establish-20020003,
furniture_establish-10020004,データルーム電線2
furniture_establish-20020004,
furniture_establish-10020005,データルーム照明1
furniture_establish-20020005,
furniture_establish-10020006,データルーム照明2
furniture_establish-20020006,
furniture_establish-10020007,データルーム照明3
furniture_establish-20020007,
furniture_establish-10020008,データルーム照明4
furniture_establish-20020008,
furniture_establish-10020009,データルーム照明5
furniture_establish-20020009,
furniture_establish-10020010,データルーム照明6
furniture_establish-20020010,
furniture_establish-10020100,埃だらけのデスク
furniture_establish-20020100,長いこと使われていなかったらしい作業台。うっすら被っている埃を拭き取れば、ここで資料を広げて仕事ができる。
furniture_establish-10020101,素朴なデスク
furniture_establish-20020101,羽根ペンを使おうが製図ペンを使おうが、良質な作戦報告書には整った手書きの文字が不可欠だ。頑張って、カリーナ！
furniture_establish-10020102,素朴なデスク
furniture_establish-20020102,羽根ペンだろうが製図ペンだろうが、良い作戦報告書は綺麗に書かないと。カリーナ、頑張れ！
furniture_establish-10020103,素朴なデスク
furniture_establish-20020103,羽根ペンだろうが製図ペンだろうが、良い作戦報告書は綺麗に書かないと。カリーナ、頑張れ！
furniture_establish-10020104,素朴なデスク
furniture_establish-20020104,羽根ペンだろうが製図ペンだろうが、良い作戦報告書は綺麗に書かないと。カリーナ、頑張れ！
furniture_establish-10020105,素朴なデスク
furniture_establish-20020105,羽根ペンだろうが製図ペンだろうが、良い作戦報告書は綺麗に書かないと。カリーナ、頑張れ！
furniture_establish-10020106,現代風のデスク
furniture_establish-20020106,不思議なことに、モダンというと皆現代ではなく、前世紀初頭の黄金時代、すなわちカタカタ鳴るタイプライターや、マンハッタンの摩天楼を思い浮かべる。
furniture_establish-10020107,現代風のデスク
furniture_establish-20020107,モダンと言うと、みな現代ではなく、前世紀初頭の黄金時代のカタカタ鳴るタイプライターと、マンハッタンの摩天楼を思い浮かべるのは不思議だ。
furniture_establish-10020108,現代風のデスク
furniture_establish-20020108,モダンと言うと、みな現代ではなく、前世紀初頭の黄金時代のカタカタ鳴るタイプライターと、マンハッタンの摩天楼を思い浮かべるのは不思議だ。
furniture_establish-10020109,現代風のデスク
furniture_establish-20020109,モダンと言うと、みな現代ではなく、前世紀初頭の黄金時代のカタカタ鳴るタイプライターと、マンハッタンの摩天楼を思い浮かべるのは不思議だ。
furniture_establish-10020110,未来的なデスク
furniture_establish-20020110,コンピューターの導入により、カリーナの作業効率が大幅に上がった。え？上がってない？LANケーブルを抜いてやれ！
furniture_establish-10020200,埃を被ったコンソール
furniture_establish-20020200,少し整理すれば、ドローンのコンソールとして使えそう。ドローンを使って戦闘の様子を記録すれば、貴重な経験値が手に入るはずだ。
furniture_establish-10020201,簡易ドローンコンソール
furniture_establish-20020201,野戦ドローン制御端末を設置した。画質はあまり良くないが、自ら戦場の傍らの草むらに横たわるよりはずっとマシだ。
furniture_establish-10020202,簡易ドローンコンソール
furniture_establish-20020202,野戦ドローン制御端末を設置した。画像はあまり鮮明ではないが、これまで戦場そばの草むらに這いつくばっていたのよりはずっとマシ。
furniture_establish-10020203,簡易ドローンコンソール
furniture_establish-20020203,野戦ドローン制御端末を設置した。画像はあまり鮮明ではないが、これまで戦場そばの草むらに這いつくばっていたのよりはずっとマシ。
furniture_establish-10020204,簡易ドローンコンソール
furniture_establish-20020204,野戦ドローン制御端末を設置した。画像はあまり鮮明ではないが、これまで戦場そばの草むらに這いつくばっていたのよりはずっとマシ。
furniture_establish-10020205,簡易ドローンコンソール
furniture_establish-20020205,野戦ドローン制御端末を設置した。画像はあまり鮮明ではないが、これまで戦場そばの草むらに這いつくばっていたのよりはずっとマシ。
furniture_establish-10020206,プロのドローンコンソール
furniture_establish-20020206,大型設備が開放され、やっと作戦室らしくなってきた。2つの高解像度モニターでより効果的にドローンを制御し、戦況を記録することが可能となった。
furniture_establish-10020207,プロのドローンコンソール
furniture_establish-20020207,大型設備が開放され、やっと作戦データルームらしくなった。3つの高精細画面で、より効果的にドローンを制御し、戦況を記録することが可能だ。
furniture_establish-10020208,プロのドローンコンソール
furniture_establish-20020208,大型設備が開放され、やっと作戦データルームらしくなった。4つの高精細画面で、より効果的にドローンを制御し、戦況を記録することが可能だ。
furniture_establish-10020209,プロのドローンコンソール
furniture_establish-20020209,大型設備が開放され、やっと作戦データルームらしくなった。5つの高精細画面で、より効果的にドローンを制御し、戦況を記録することが可能だ。
furniture_establish-10020210,高度なドローンコンソール
furniture_establish-20020210,目下グリフィンで最も高級な制御設備。2機のドローンを同時に操作して戦闘を記録することが可能で、経験値の収集効率も申し分なし。
furniture_establish-10020300,埃を被った操作ステーション
furniture_establish-20020300,厚手の防水カバーの下に隠れているのは作業台のような机。戦術人形の極めて取り外しにくい、ハイレベルな戦闘記録装置の解析に役立つかもしれない。
furniture_establish-10020301,古めかしい操作ステーション
furniture_establish-20020301,戦前の人々は、これを用いて金属加工を行っていたらしい。現在は主に戦術人形の記録装置を取り出して解析するのに使われている。傷つけないように！
furniture_establish-10020302,古めかしい操作ステーション
furniture_establish-20020302,戦前の人々は、これを用いて金属加工をしていたらしい。今は主に戦術人形の記録装置を取り出して解析する際に使われている。傷つけないで！
furniture_establish-10020303,古めかしい操作ステーション
furniture_establish-20020303,戦前の人々は、これを用いて金属加工をしていたらしい。今は主に戦術人形の記録装置を取り出して解析する際に使われている。傷つけないで！
furniture_establish-10020304,古めかしい操作ステーション
furniture_establish-20020304,戦前の人々は、これを用いて金属加工をしていたらしい。今は主に戦術人形の記録装置を取り出して解析する際に使われている。傷つけないで！
furniture_establish-10020305,古めかしい操作ステーション
furniture_establish-20020305,戦前の人々は、これを用いて金属加工をしていたらしい。今は主に戦術人形の記録装置を取り出して解析する際に使われている。傷つけないで！
furniture_establish-10020306,自動化操作ステーション
furniture_establish-20020306,精密なロボットアームの助けにより、記録装置の解析がより簡単で効率的なものになり、戦術人形たちからも好評を得ている。
furniture_establish-10020307,自動化操作ステーション
furniture_establish-20020307,精密なロボットアームの助けがあれば、記録装置の解析がより簡単、効率的になり、戦術人形にも好評。
furniture_establish-10020308,自動化操作ステーション
furniture_establish-20020308,精密なロボットアームの助けがあれば、記録装置の解析がより簡単、効率的になり、戦術人形にも好評。
furniture_establish-10020309,自動化操作ステーション
furniture_establish-20020309,精密なロボットアームの助けがあれば、記録装置の解析がより簡単、効率的になり、戦術人形にも好評。
furniture_establish-10020310,高度な自動操作ステーション
furniture_establish-20020310,さらに効率が高められた自動作業台。戦闘経験値の転化率が向上し、オーバーヒートも防げるようになった。さすがは高級設備。
furniture_establish-10020500,埃を被ったコンピューター
furniture_establish-20020500,隅っこに隠れている小さな机だが、コンピューターを置くのに丁度よさそう。これに加えてデータサーバを構築すれば、作業効率が大幅にアップするはずだ。
furniture_establish-10020501,古いコンピューター
furniture_establish-20020501,外側が変色してるのは気にしないで。当時はそれこそ、多くの少年にシリコンバレー・ドリームを抱かせた夢のマシンで、48Kの大容量メモリにみんな夢中だったんだから。
furniture_establish-10020502,古いコンピューター
furniture_establish-20020502,筺体が変色してるのは気にしないで。当時はこれこそ、多くの少年にシリコンバレー・ドリームを焚きつけた夢のマシンで、49kの大容量メモリにうっとりしたものだった。
furniture_establish-10020503,古いコンピューター
furniture_establish-20020503,筺体が変色してるのは気にしないで。当時はこれこそ、多くの少年にシリコンバレー・ドリームを焚きつけた夢のマシンで、50kの大容量メモリにうっとりしたものだった。
furniture_establish-10020504,古いコンピューター
furniture_establish-20020504,筺体が変色してるのは気にしないで。当時はこれこそ、多くの少年にシリコンバレー・ドリームを焚きつけた夢のマシンで、51kの大容量メモリにうっとりしたものだった。
furniture_establish-10020505,古いコンピューター
furniture_establish-20020505,筺体が変色してるのは気にしないで。当時はこれこそ、多くの少年にシリコンバレー・ドリームを焚きつけた夢のマシンで、52kの大容量メモリにうっとりしたものだった。
furniture_establish-10020506,小型サーバ
furniture_establish-20020506,司令部からのお下がりだが、専用サーバの処理能力は十分だし、なによりシャットダウンの必要がなくてとても便利。
furniture_establish-10020507,小型サーバ
furniture_establish-20020507,司令部から淘汰された設備だが、専用サーバの処理能力は比類ないものだし、シャットダウンの必要もないので非常に便利。
furniture_establish-10020508,小型サーバ
furniture_establish-20020508,司令部から淘汰された設備だが、専用サーバの処理能力は比類ないものだし、シャットダウンの必要もないので非常に便利。
furniture_establish-10020509,小型サーバ
furniture_establish-20020509,司令部から淘汰された設備だが、専用サーバの処理能力は比類ないものだし、シャットダウンの必要もないので非常に便利。
furniture_establish-10020510,高度な大型サーバ
furniture_establish-20020510,背の高いキャビネットにたくさんのプロセッサが並び、LEDがチカチカしているのを見ているだけで大満足。バッテリーを必死に集めたかいがあった。
furniture_establish-10020400,埃を被った作業机
furniture_establish-20020400,防水カバーの下に隠れた大きな机。集めてきた戦闘記録をきれいに並べておくのに良さそう。
furniture_establish-10020401,散らかった作業机
furniture_establish-20020401,書類整理はどの時代の指揮官にとっても必要不可欠で面倒なお仕事だ。こんな時だけは、カリーナがいてくれてよかったとつくづく思う。
furniture_establish-10020402,散らかった作業机
furniture_establish-20020402,書類仕事はいつの時代の指揮官にとっても逃れられない苦役。このときばかりはカリーナがいてくれてよかったと、つくづく実感。
furniture_establish-10020403,散らかった作業机
furniture_establish-20020403,書類仕事はいつの時代の指揮官にとっても逃れられない苦役。このときばかりはカリーナがいてくれてよかったと、つくづく実感。
furniture_establish-10020404,散らかった作業机
furniture_establish-20020404,書類仕事はいつの時代の指揮官にとっても逃れられない苦役。このときばかりはカリーナがいてくれてよかったと、つくづく実感。
furniture_establish-10020405,散らかった作業机
furniture_establish-20020405,書類仕事はいつの時代の指揮官にとっても逃れられない苦役。このときばかりはカリーナがいてくれてよかったと、つくづく実感。
furniture_establish-10020406,大型作業机
furniture_establish-20020406,作業面積の拡大と整理方式の洗練は収納力の大幅アップにつながる。
furniture_establish-10020407,大型作業机
furniture_establish-20020407,作業面積の拡大、規範的な整理方式により、収納力が大幅にアップ。以前は書類管理といえば、深遠な技術ともいうべきものだった。
furniture_establish-10020408,大型作業机
furniture_establish-20020408,作業面積の拡大、規範的な整理方式により、収納力が大幅にアップ。以前は書類管理といえば、深遠な技術ともいうべきものだった。
furniture_establish-10020409,大型作業机
furniture_establish-20020409,作業面積の拡大、規範的な整理方式により、収納力が大幅にアップ。以前は書類管理といえば、深遠な技術ともいうべきものだった。
furniture_establish-10020410,ハードディスク陳列台
furniture_establish-20020410,紙の書類がいかにきっちり整理されていようと、ずらりと並んだハードディスクにはかなわないものだ。ただすごく電気を食うのが玉に瑕。
furniture_establish-10020600,埃を被ったテレックス
furniture_establish-20020600,防水カバーの下に姿をひそめる見慣れぬ機器。この時代のものじゃなさそうだけど、M1918に聞いたら分かるかな？
furniture_establish-10020601,古いテレックス
furniture_establish-20020601,前世紀のグローバル化の波の中で、テレックスは多国籍企業のオフィスの必需品であった。1回で紙1ロール分の情報を送ることができるなんて、本当に不思議。
furniture_establish-10020602,古いテレックス
furniture_establish-20020602,前世紀のグローバル化の波の中で、テレックスは多国籍企業のオフィスの必需品であった。1回で紙1ロール分の情報を送ることができるなんて、本当に不思議。
furniture_establish-10020603,古いテレックス
furniture_establish-20020603,前世紀のグローバル化の波の中で、テレックスは多国籍企業のオフィスの必需品であった。1回で紙1ロール分の情報を送ることができるなんて、本当に不思議。
furniture_establish-10020604,古いテレックス
furniture_establish-20020604,前世紀のグローバル化の波の中で、テレックスは多国籍企業のオフィスの必需品であった。1回で紙1ロール分の情報を送ることができるなんて、本当に不思議。
furniture_establish-10020605,古いテレックス
furniture_establish-20020605,前世紀のグローバル化の波の中で、テレックスは多国籍企業のオフィスの必需品であった。1回で紙1ロール分の情報を送ることができるなんて、本当に不思議。
furniture_establish-10020606,ネットワークプリンタ
furniture_establish-20020606,先進的なネットワーク技術のおかげで、今や作戦報告を一気にアウトプットできるように……ってあれ、また詰まった？またインク切れたの？
furniture_establish-10020607,ネットワークプリンタ
furniture_establish-20020607,先進的なネットワーク技術のおかげで、今は作戦報告を一気にアウトプットできます。あれ、また詰まった？インクは、もう切れたの？
furniture_establish-10020608,ネットワークプリンタ
furniture_establish-20020608,先進的なネットワーク技術のおかげで、今は作戦報告を一気にアウトプットできます。あれ、また詰まった？インクは、もう切れたの？
furniture_establish-10020609,ネットワークプリンタ
furniture_establish-20020609,先進的なネットワーク技術のおかげで、今は作戦報告を一気にアウトプットできます。あれ、また詰まった？インクは、もう切れたの？
furniture_establish-10020610,高度な自動書き込み機
furniture_establish-20020610,大容量メモリと高速デジタル書き込みを備えたトータル・ソリューション。すごすぎて、見てるだけでくらくらしてくる。
furniture_establish-10030001,妖精格納庫壁紙
furniture_establish-20030001,妖精格納庫デフォルト壁紙
furniture_establish-10030002,妖精格納庫フロア
furniture_establish-20030002,妖精格納庫デフォルトフロア
furniture_establish-10030003,妖精格納庫壁面装飾
furniture_establish-20030003,妖精格納庫壁面装飾
furniture_establish-10030004,妖精格納庫照明4
furniture_establish-20030004,
furniture_establish-10030005,妖精格納庫照明5
furniture_establish-20030005,
furniture_establish-10030006,妖精格納庫照明6
furniture_establish-20030006,
furniture_establish-10030007,妖精格納庫カーペット
furniture_establish-20030007,妖精格納庫カーペット
furniture_establish-10030100,荒れた谷
furniture_establish-20030100,妖精はいつも、自分たちは幻の生物で、森や幽谷の守護者なのだと言い張る。そして、AIたちがぺちゃくちゃしゃべり続けるのに耐えられなくなった指揮官が言った。「彼女たちに相応しい生活空間を用意しろ」。
furniture_establish-10030101,山間要塞
furniture_establish-20030101,苦労の末、指揮官が発泡スチロール製の谷間に中世の砦を建設。こうして一連の設備もレベルアップが可能になった（ラッカー塗装の際には、換気に注意してください）。
furniture_establish-10030102,山間要塞
furniture_establish-20030102,苦労の末、指揮官が発泡スチロール製の谷間に中世の砦を建設。こうして一連の設備もレベルアップが可能になった（ラッカー塗装の際には、換気に注意してください）。
furniture_establish-10030103,山間要塞
furniture_establish-20030103,苦労の末、指揮官が発泡スチロール製の谷間に中世の砦を建設。こうして一連の設備もレベルアップが可能になった（ラッカー塗装の際には、換気に注意してください）。
furniture_establish-10030104,山間要塞
furniture_establish-20030104,苦労の末、指揮官が発泡スチロール製の谷間に中世の砦を建設。こうして一連の設備もレベルアップが可能になった（ラッカー塗装の際には、換気に注意してください）。
furniture_establish-10030105,山間要塞
furniture_establish-20030105,苦労の末、指揮官が発泡スチロール製の谷間に中世の砦を建設。こうして一連の設備もレベルアップが可能になった（ラッカー塗装の際には、換気に注意してください）。
furniture_establish-10030106,妖精ホール
furniture_establish-20030106,妖精は自分たちの地位は常に上がっていくものと認識しており、自分たちの身分に相応しい華麗な住まいを用意しろと要求。この新古典主義の特色を備えた白いホールはそれにぴったり。
furniture_establish-10030107,妖精ホール
furniture_establish-20030107,妖精は自分たちの地位は常に上がっていくものと認識しており、自分たちの身分に相応しい華麗な住まいを用意しろと要求。この新古典主義の特色を備えた白いホールはそれにぴったり。
furniture_establish-10030108,妖精ホール
furniture_establish-20030108,妖精は自分たちの地位は常に上がっていくものと認識しており、自分たちの身分に相応しい華麗な住まいを用意しろと要求。この新古典主義の特色を備えた白いホールはそれにぴったり。
furniture_establish-10030109,妖精ホール
furniture_establish-20030109,妖精は自分たちの地位は常に上がっていくものと認識しており、自分たちの身分に相応しい華麗な住まいを用意しろと要求。この新古典主義の特色を備えた白いホールはそれにぴったり。
furniture_establish-10030110,妖精神殿
furniture_establish-20030110,白い尖塔と城壁が追加された最終形態。付属施設もすべて開放されて喜んでいた妖精たちは、今度は爵位の追加を取り沙汰している。封建君主制はまだまだなくならないようだ。
furniture_establish-10030200,埃を被った鉄道模型
furniture_establish-20030200,埃を被った帆布の下に鉄道模型のプラットホームが隠れていた。これは多くの指令を獲得できる施設のはず。鉄道模型とはずいぶん懐かしい。
