bingo_task_type-10000001,通常戦役勝利
bingo_task_type-20000032,戦役勝利時において、敵BOSSを累計{0}体倒す
bingo_task_type-10000033,装甲機械鉄血兵
bingo_task_type-20000033,戦役勝利時において、装甲機械鉄血兵を累計{0}体倒す
bingo_task_type-10000034,ノーマル機械鉄血兵
bingo_task_type-20000034,戦役勝利時において、ノーマル機械鉄血兵を累計{0}体倒す
bingo_task_type-10000035,ノーマル人形鉄血兵
bingo_task_type-20000035,戦役勝利時において、ノーマル人形鉄血兵を累計{0}体倒す
bingo_task_type-10000036,累計後方支援時間
bingo_task_type-20000036,後方支援を累計{0}時間行う(完了した場合に限る)
bingo_task_type-10000037,較正チケット消費
bingo_task_type-20000037,較正チケットを累計{0}枚消費する
bingo_task_type-10000038,模擬作戦
bingo_task_type-20000038,模擬作戦を累計{0}回行う
bingo_task_type-10000039,スキル訓練
bingo_task_type-20000039,スキル訓練を{0}回行う（人形、妖精を含む）
bingo_task_type-10000040,戦闘マスター
bingo_task_type-20000040,S評価で戦闘を{0}回クリアする
bingo_task_type-10000041,自律作戦
bingo_task_type-20000041,任意のステージで自律作戦を{0}回完了する
bingo_task_type-10000042,ロリポップ
bingo_task_type-20000042,ロリポップを累計{0}個獲得する（☆2、☆3家具を返却することで獲得可能）
bingo_task_type-10000043,アイスクリーム
bingo_task_type-20000043,アイスクリームを累計{0}個獲得する（☆4家具を返却することで獲得可能）
bingo_task_type-10000044,戦友挨拶
bingo_task_type-20000044,チャットを通じて戦友と{0}回交流する
bingo_task_type-10000045,いいねの使者
bingo_task_type-20000045,累計{0}回いいねを押す
bingo_task_type-10000046,戦友申請
bingo_task_type-20000046,戦友申請を{0}回行う
bingo_task_type-10000047,ギフト贈呈
bingo_task_type-20000047,ギフトを累計{0}個贈る
bingo_task_type-10000048,バッテリー消費
bingo_task_type-20000048,バッテリーを累計{0}消費する
bingo_task_type-10000049,コア獲得
bingo_task_type-20000049,コアを累計{0}個獲得する
bingo_task_type-10000050,防御演習
bingo_task_type-20000050,防御演習を{0}回行う
bingo_task_type-10000051,デイリーログイン
bingo_task_type-20000051,デイリーログイン
bingo_task_type-10000052,人形修復
bingo_task_type-20000052,人形修復を{0}回行う
bingo_task_type-10000053,人形レベルアップ
bingo_task_type-20000053,人形のLvを{0}回上昇させる
bingo_task_type-10000054,装備較正
bingo_task_type-20000054,装備較正を{0}回行う 
bingo_task_type-10000055,人形解体
bingo_task_type-20000055,人形を{0}体解体する
bingo_task_type-10000056,装備強化
bingo_task_type-20000056,装備強化を{0}回行う
bingo_task_type-10000057,コア消費
bingo_task_type-20000057,コアを累計{0}個消費する
bingo_task_type-10000058,初級訓練資料消費
bingo_task_type-20000058,初級訓練資料を{0}消費する
bingo_task_type-10000059,中級訓練資料消費
bingo_task_type-20000059,中級訓練資料を{0}消費する
bingo_task_type-10000060,上級訓練資料消費
bingo_task_type-20000060,上級訓練資料を{0}消費する
bingo_task_type-10000061,増幅カプセル消費
bingo_task_type-20000061,増幅カプセルを累計{0}個消費する
bingo_task_type-10000062,快速訓練契約
bingo_task_type-20000062,快速訓練契約を累計{0}枚消費する
bingo_task_type-10000063,千客万来
bingo_task_type-20000063,累計{0}回訪問される
bingo_task_type-10000064,お見送り！
bingo_task_type-20000064,累計{0}回見送る
bingo_task_type-10000065,シェア
bingo_task_type-20000065,宿舍を{0}回シェアする
bingo_task_type-10000066,友情ポイント
bingo_task_type-20000066,友情ポイントを累計{0}ポイント獲得する
bingo_task_type-10000067,作戦報告書作成
bingo_task_type-20000067,作戦報告書を累計{0}枚作成する
bingo_task_type-10000068,作戦報告書消費
bingo_task_type-20000068,作戦報告書を累計{0}枚消費する
bingo_task_type-10000069,友好の印
bingo_task_type-20000069,累計{0}回いいねされる
bingo_task_type-10000070,ランダム訪問
bingo_task_type-20000070,累計{0}回ランダム訪問を行う
bingo_task_type-10000071,IDWだにゃ
bingo_task_type-20000071,戦術人形「IDW」を累計{0}体獲得する
bingo_task_type-10000072,血統認証-人形
bingo_task_type-20000072,☆4人形を{0}体製造する
bingo_task_type-10000073,血統認証-装備
bingo_task_type-20000073,☆4装備を{0}個製造する
bingo_task_type-10000074,S評価勝利（通常3-6）
bingo_task_type-20000074,通常3-6の最終戦果報告で{0}回S評価を獲得する
bingo_task_type-10000075,S評価勝利（緊急4-4）
bingo_task_type-20000075,緊急4-4の最終戦果報告で{0}回S評価を獲得する
bingo_task_type-10000076,S評価勝利（夜戦3-4）
bingo_task_type-20000076,夜戦3-4の最終戦果報告で{0}回S評価を獲得する
bingo_task_type-10000077,支援部隊使用
bingo_task_type-20000077,戦友が自身の支援部隊を{0}回使用する
bingo_task_type-10000078,AP消費
bingo_task_type-20000078,APを累計{0}使用する
bingo_task_type-10000079,ダイヤ消費
bingo_task_type-20000079,ダイヤを{0}消費する
bingo_task_type-10000080,コイン購入
bingo_task_type-20000080,ショップでコインを{0}購入する
bingo_task_type-10000081,快速修復契約購入
bingo_task_type-20000081,ショップで快速修復契約を{0}回購入する
bingo_task_type-10000082,人形製造契約購入
bingo_task_type-20000082,ショップで人形製造契約を{0}回購入する
bingo_task_type-10000083,快速製造契約購入
bingo_task_type-20000083,ショップで快速製造契約を{0}回購入する
bingo_task_type-10000084,装備製造契約購入
bingo_task_type-20000084,ショップで装備製造契約を{0}回購入する
bingo_task_type-10000085,原始サンプル解析
bingo_task_type-20000085,原始サンプルを使って情報解析を{0}回行う
bingo_task_type-10000086,純正サンプル解析
bingo_task_type-20000086,純正サンプルを使って情報解析を{0}回行う
bingo_task_type-10000087,情報解析
bingo_task_type-20000087,情報解析を{0}回行う（原始サンプル、純正サンプル含め）
bingo_task_type-10000088,中枢データ
bingo_task_type-20000088,中枢データを{0}個手に入れる
bingo_task_type-10000089,血統認証
bingo_task_type-20000089,★4チップを{0}個手に入れる
bingo_task_type-10000090,血統認証
bingo_task_type-20000090,★5チップを{0}個手に入れる
bingo_task_type-10000091,重装部隊Lv上昇
bingo_task_type-20000091,重装部隊のLv{0}上昇する
bingo_task_type-10000092,重装部隊強化
bingo_task_type-20000092,増幅カプセル{0}個を重装部隊強化に使用する
bingo_task_type-10000093,重装部隊訓練
bingo_task_type-20000093,重装部隊訓練を{0}回行う（経験、スキル訓練含め）
bingo_task_type-10000094,重装部隊ランクアップ
bingo_task_type-20000094,重装部隊ランクアップを{0}回行う
bingo_task_type-10000095,重装部隊バージョンアップ
bingo_task_type-20000095,重装部隊バージョンアップを{0}回行う
bingo_task_type-10000096,チップ強化
bingo_task_type-20000096,チップ{0}個をチップ強化に使用する
bingo_task_type-10000097,AP購入
bingo_task_type-20000097,APを累計{0}回購入する
bingo_task_type-10000098,コイン購入
bingo_task_type-20000098,コインを累計{0}購入する
bingo_task_type-10000099,快速訓練契約購入
bingo_task_type-20000099,快速訓練契約を{0}枚購入する
bingo_task_type-10000100,ペット飼育
bingo_task_type-20000100,任意のペットを{0}匹飼育する
bingo_task_type-10000101,M1911
bingo_task_type-20000101,人形製造を通じて戦術人形「M1911」を{0}体獲得する
bingo_task_type-10000102,MP40
bingo_task_type-20000102,人形製造を通じて戦術人形「MP40」を{0}体獲得する
bingo_task_type-10000103,PPK
bingo_task_type-20000103,人形製造を通じて戦術人形「PPK」を{0}体獲得する
bingo_task_type-10000104,IDWだにゃ
bingo_task_type-20000104,人形製造を通じて戦術人形「IDW」を累計{0}体獲得する
bingo_task_type-10000105,較正チケット獲得
bingo_task_type-20000105,防御演習を通じて較正チケットを{0}枚獲得する
bingo_task_type-10000106,コイン消費
bingo_task_type-20000106,コインを累計{0}枚消費する
bingo_task_type-10000107,血統認証-人形
bingo_task_type-20000107,☆5人形を{0}体製造する
bingo_task_type-10000108,血統認証-装備
bingo_task_type-20000108,☆5装備を{0}個製造する
bingo_task_type-10000109,装備解体
bingo_task_type-20000109,装備を{0}個解体する
bingo_task_type-10000110,戦友バッテリー獲得
bingo_task_type-20000110,戦友の宿舍からバッテリーを累計{0}回受け取る
bingo_task_type-10000111,妖精較正
bingo_task_type-20000111,妖精較正を{0}回行う
bingo_task_type-10000112,妖精強化
bingo_task_type-20000112,妖精強化を{0}回行う
bingo_task_type-10000113,ダイヤ獲得
bingo_task_type-20000113,ダイヤを累計{0}獲得する
bingo_task_type-10000114,情報任務
bingo_task_type-20000114,情報任務を{0}回完了する
bingo_task_type-10000115,快速解析契約消費
bingo_task_type-20000115,快速解析契約を{0}個消費する
bingo_task_type-10000116,血統認証-BGM-71
bingo_task_type-20000116,GM-71の中枢データを{0}個獲得する
bingo_task_type-10000117,血統認証-2B14
bingo_task_type-20000117,2B14の中枢データを{0}個獲得する
bingo_task_type-10000118,血統認証-AGS-30
bingo_task_type-20000118,AGS-30の中枢データを{0}個獲得する
bingo_task_type-10000119,原始サンプル獲得
bingo_task_type-20000119,原始サンプルを{0}個獲得する
bingo_task_type-10000120,純正サンプル獲得
bingo_task_type-20000120,純正サンプルを{0}個獲得する
bingo_task_type-10000121,任意作戦報告書作成
bingo_task_type-20000121,任意作戦報告書{0}冊作成する（作戦報告書と特種作戦報告書含め）
bingo_task_type-10000122,探索を行う
bingo_task_type-20000122,探索を{0}回行う
