gift_item-10000001,马卡洛夫-南瓜熊熊
gift_item-20000106,可解锁人形换装
gift_item-30000106,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000301,柯尔特左轮-直达星星的愿望
gift_item-20000301,可解锁人形换装
gift_item-30000301,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000302,春田-圣善夜的祝福
gift_item-20000302,可解锁人形换装
gift_item-30000302,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000303,M14-圣诞巡游礼服
gift_item-20000303,可解锁人形换装
gift_item-30000303,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000304,M21-圣诞居家礼服
gift_item-20000304,可解锁人形换装
gift_item-30000304,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000305,SVD-冬日仙女
gift_item-20000305,可解锁人形换装
gift_item-30000305,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000306,WA2000-雪下赴约者
gift_item-20000306,可解锁人形换装
gift_item-30000306,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000307,NTW-20-圣诞鹿
gift_item-20000307,可解锁人形换装
gift_item-30000307,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000308,FAL-冬幕补给行动
gift_item-20000308,可解锁人形换装
gift_item-30000308,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000309,MG5-绯红守夜人
gift_item-20000309,可解锁人形换装
gift_item-30000309,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000310,索米-耳朵山的雪妖精
gift_item-20000310,可解锁人形换装
gift_item-30000310,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10100001,波板糖
gift_item-20100001,无
gift_item-30100001,在宿舍内在宿舍内赠送给对应人形，可以获得微量好感度。
gift_item-10100002,脆皮甜筒
gift_item-20100002,无
gift_item-30100002,在宿舍内在宿舍内赠送给对应人形，可以获得少量好感度。
gift_item-10100003,蛋奶草莓芝士
gift_item-20100003,无
gift_item-30100003,在宿舍内在宿舍内赠送给对应人形，可以获得1点好感度。
gift_item-10100004,无法回头的命运
gift_item-20100004,
gift_item-30100004,在宿舍内在宿舍内赠送给对应人形，可以获得3点好感度。
gift_item-10100005,Mulan Tea
gift_item-20100005,
gift_item-30100005,在宿舍内在宿舍内赠送给对应人形，可以获得3点好感度。
gift_item-10100006,幸福魔法
gift_item-20100006,
gift_item-30100006,在宿舍内在宿舍内赠送给对应人形，可以获得3点好感度。
gift_item-10000401,56-1式-爆竹红
gift_item-20000401,可解锁人形换装
gift_item-30000401,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000402,MP-446-向阳葵
gift_item-20000402,可解锁人形换装
gift_item-30000402,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000403,NZ75-金姬菊
gift_item-20000403,可解锁人形换装
gift_item-30000403,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000404,M99-仙客来
gift_item-20000404,可解锁人形换装
gift_item-30000404,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000405,95式-玉玲珑
gift_item-20000405,可解锁人形换装
gift_item-30000405,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000406,97式-牡丹魁
gift_item-20000406,可解锁人形换装
gift_item-30000406,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000407,59式-报春花
gift_item-20000407,可解锁人形换装
gift_item-30000407,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000501,AK-47-战争之王
gift_item-20000501,可解锁人形换装
gift_item-30000501,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000408,PTRD-浪漫任务
gift_item-20000408,可解锁人形换装
gift_item-30000408,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000409,UMP9-"我来晚了?"
gift_item-20000409,可解锁人形换装
gift_item-30000409,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000410,UMP45-"下不为例。"
gift_item-20000410,可解锁人形换装
gift_item-30000410,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000411,维尔德MkⅡ-英国恋人
gift_item-20000411,可解锁人形换装
gift_item-30000411,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000603,司登MkⅡ-被回应的心意
gift_item-20000603,可解锁人形换装
gift_item-30000603,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000502,SV-98-女服务生
gift_item-20000502,可解锁人形换装
gift_item-30000502,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000601,托卡列夫-两人的旅程
gift_item-20000601,可解锁人形换装
gift_item-30000601,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000602,PPsh-41-契约时刻
gift_item-20000602,可解锁人形换装
gift_item-30000602,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000604,李-恩菲尔德-毕生守护
gift_item-20000604,可解锁人形换装
gift_item-30000604,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000605,PK-与您同在
gift_item-20000605,可解锁人形换装
gift_item-30000605,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000606,P7-掌心约定
gift_item-20000606,可解锁人形换装
gift_item-30000606,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000607,FAL-最重要的日子
gift_item-20000607,可解锁人形换装
gift_item-30000607,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000701,ST AR-15-返校季
gift_item-20000701,可解锁人形换装
gift_item-30000701,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000702,M950A-王牌值日生
gift_item-20000702,可解锁人形换装
gift_item-30000702,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000703,MG4-生存社员
gift_item-20000703,可解锁人形换装
gift_item-30000703,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000704,6P62-战斗水手
gift_item-20000704,可解锁人形换装
gift_item-30000704,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10200001,作战报告书
gift_item-20200001,无
gift_item-30200001,“外表看起来令人怀念的磁盘，当年只能容纳1.4Mb数据，幸好内部容量经过改进，不然一份报告书的量要用铲车来装了。”
gift_item-10200002,光明的诗歌
gift_item-20200002,无
gift_item-30200002,在宿舍内赠送给对应人形，可以获得10000点经验值。
gift_item-10200003,打折啤酒
gift_item-20200003,无
gift_item-30200003,在宿舍内赠送给对应人形，可以获得10000点经验值。
gift_item-10200004,训练靶纸
gift_item-20200004,无
gift_item-30200004,在宿舍内赠送给对应人形，可以获得10000点经验值。
gift_item-10000801,蝎式-深红的星途
gift_item-20000801,可解锁人形换装
gift_item-30000801,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000802,春田-灯火下的女王
gift_item-20000802,可解锁人形换装
gift_item-30000802,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000803,莫辛-纳甘-月之海
gift_item-20000803,可解锁人形换装
gift_item-30000803,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000804,WA2000-舞会休止符
gift_item-20000804,可解锁人形换装
gift_item-30000804,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000805,HK416-星之茧
gift_item-20000805,可解锁人形换装
gift_item-30000805,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000806,M1918-绸缪夜曲
gift_item-20000806,可解锁人形换装
gift_item-30000806,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000807,SR-3MP-黑兔玛奇朵
gift_item-20000807,可解锁人形换装
gift_item-30000807,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000808,M950A-祭典强音！
gift_item-20000808,可解锁人形换装
gift_item-30000808,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000901,李-恩菲尔德-洋葱枪手
gift_item-20000901,可解锁人形换装
gift_item-30000901,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000902,MP40-拇指公主
gift_item-20000902,可解锁人形换装
gift_item-30000902,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000903,灰熊MkⅤ-变身！泰迪熊！
gift_item-20000903,可解锁人形换装
gift_item-30000903,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000904,内格夫-小流浪家
gift_item-20000904,可解锁人形换装
gift_item-30000904,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000905,G36-小小招待员
gift_item-20000905,可解锁人形换装
gift_item-30000905,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000503,诺爱尔-μ-12
gift_item-20000503,可解锁人形换装
gift_item-30000503,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000504,艾尔菲尔特-马格南婚礼
gift_item-20000504,可解锁人形换装
gift_item-30000504,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000505,艾尔菲尔特-人偶歼灭者
gift_item-20000505,可解锁人形换装
gift_item-30000505,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001101,NTW-20-骄阳任务
gift_item-20001101,可解锁人形换装
gift_item-30001101,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001102,95式-夏鸣蝉
gift_item-20001102,可解锁人形换装
gift_item-30001102,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001103,索米-仲夏夜的精灵
gift_item-20001103,可解锁人形换装
gift_item-30001103,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001104,G28-热带风暴
gift_item-20001104,可解锁人形换装
gift_item-30001104,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001105,M37-盛夏巡礼者
gift_item-20001105,可解锁人形换装
gift_item-30001105,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001106,M1加兰德-沙滩公主
gift_item-20001106,可解锁人形换装
gift_item-30001106,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001107,春田-睡醒的人鱼
gift_item-20001107,可解锁人形换装
gift_item-30001107,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001108,WA2000-魔鬼鱼行动
gift_item-20001108,可解锁人形换装
gift_item-30001108,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001109,Five-seveN-游轮女王
gift_item-20001109,可解锁人形换装
gift_item-30001109,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001201,PKP-花与水
gift_item-20001201,可解锁人形换装
gift_item-30001201,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001202,G36C-夏天·烟火·向阳之诗
gift_item-20001202,可解锁人形换装
gift_item-30001202,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001203,OTs-14-樱吹雪
gift_item-20001203,可解锁人形换装
gift_item-30001203,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001204,KLIN-三羽乌
gift_item-20001204,可解锁人形换装
gift_item-30001204,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001205,MP5-花未眠
gift_item-20001205,可解锁人形换装
gift_item-30001205,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001301,M249 SAW-北极狐
gift_item-20001301,可解锁人形换装
gift_item-30001301,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001302,9A-91-子弹咖啡馆
gift_item-20001302,可解锁人形换装
gift_item-30001302,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001303,G3-战地糕点师
gift_item-20001303,可解锁人形换装
gift_item-30001303,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001304,MG3-假日街景
gift_item-20001304,可解锁人形换装
gift_item-30001304,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001305,TAR-21-酒吧之夜
gift_item-20001305,可解锁人形换装
gift_item-30001305,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001401,维尔德MkⅡ-暗影之王
gift_item-20001401,可解锁人形换装
gift_item-30001401,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001402,79式-青丘狐
gift_item-20001402,可解锁人形换装
gift_item-30001402,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001403,IWS 2000-第七封印者
gift_item-20001403,可解锁人形换装
gift_item-30001403,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001404,P7-魔枪修女
gift_item-20001404,可解锁人形换装
gift_item-30001404,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001405,Spitfire-最后的爱丽丝
gift_item-20001405,可解锁人形换装
gift_item-30001405,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001406,FNC-偷走重要的糖果
gift_item-20001406,可解锁人形换装
gift_item-30001406,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001407,Super SASS-狼行者
gift_item-20001407,可解锁人形换装
gift_item-30001407,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000506,琪亚娜-琪亚娜的礼装
gift_item-20000506,可解锁人形换装
gift_item-30000506,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000507,布洛妮娅-布洛妮娅的装甲
gift_item-20000507,可解锁人形换装
gift_item-30000507,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000508,希儿-希儿的祭礼
gift_item-20000508,可解锁人形换装
gift_item-30000508,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001501,汤姆森-恶魔猎人
gift_item-20001501,可解锁人形换装
gift_item-30001501,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001502,竞争者-歌剧魅影
gift_item-20001502,可解锁人形换装
gift_item-30001502,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001503,PKP-淑女密令
gift_item-20001503,可解锁人形换装
gift_item-30001503,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001504,MG5-荒野猎人
gift_item-20001504,可解锁人形换装
gift_item-30001504,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001505,AEK-999-极道车神
gift_item-20001505,可解锁人形换装
gift_item-30001505,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001506,PzB39-爆裂骑手
gift_item-20001506,可解锁人形换装
gift_item-30001506,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001507,G36-“调酒师”
gift_item-20001507,可解锁人形换装
gift_item-30001507,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001608,OTs-44-森林里的小驯鹿
gift_item-20001608,可解锁人形换装
gift_item-30001608,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001601,RFB-RFB偷走圣诞节
gift_item-20001601,可解锁人形换装
gift_item-30001601,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001602,G11-我最美丽的礼物
gift_item-20001602,可解锁人形换装
gift_item-30001602,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001603,Zas M21-献上枪声的雪姑娘
gift_item-20001603,可解锁人形换装
gift_item-30001603,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001604,CZ75-凛冬采集者
gift_item-20001604,可解锁人形换装
gift_item-30001604,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001605,阿梅利-卖礼物的圣诞树
gift_item-20001605,可解锁人形换装
gift_item-30001605,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001606,M1918-如你所愿的圣诞
gift_item-20001606,可解锁人形换装
gift_item-30001606,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001701,M99-兔子班
gift_item-20001701,可解锁人形换装
gift_item-30001701,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001702,NZ75-ThanX！&Go2Hell！
gift_item-20001702,可解锁人形换装
gift_item-30001702,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001703,SPP-1-拥抱粉雪
gift_item-20001703,可解锁人形换装
gift_item-30001703,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001704,Super-Shorty-异乡的十字路口
gift_item-20001704,可解锁人形换装
gift_item-30001704,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001705,RMB-93-星之彼岸
gift_item-20001705,可解锁人形换装
gift_item-30001705,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001801,DSR-50-红牡丹
gift_item-20001801,可解锁人形换装
gift_item-30001801,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001802,S.A.T.8-梅花印
gift_item-20001802,可解锁人形换装
gift_item-30001802,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001803,ART556-莲花白
gift_item-20001803,可解锁人形换装
gift_item-30001803,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001804,JS05-玉帘草
gift_item-20001804,可解锁人形换装
gift_item-30001804,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001805,Mk23-蜂糖花
gift_item-20001805,可解锁人形换装
gift_item-30001805,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001806,M590-雪朝颜
gift_item-20001806,可解锁人形换装
gift_item-30001806,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001807,八一式马-白山茶
gift_item-20001807,可解锁人形换装
gift_item-30001807,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001808,LWMMG-黄星蓟
gift_item-20001808,可解锁人形换装
gift_item-30001808,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001809,汉阳造88式-东湖莲
gift_item-20001809,可解锁人形换装
gift_item-30001809,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001901,Vector-盲信者
gift_item-20001901,可解锁人形换装
gift_item-30001901,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001902,Five-seveN-被接纳的笑容
gift_item-20001902,可解锁人形换装
gift_item-30001902,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001903,MP5-小小的一步
gift_item-20001903,可解锁人形换装
gift_item-30001903,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001904,G36-纯白矢车菊
gift_item-20001904,可解锁人形换装
gift_item-30001904,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001905,56-1式-同心千千结
gift_item-20001905,可解锁人形换装
gift_item-30001905,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10001906,SV-98-命中红心！
gift_item-20001906,可解锁人形换装
gift_item-30001906,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002001,K2-远东公主
gift_item-20002001,可解锁人形换装
gift_item-30002001,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002002,K5-穹顶月光
gift_item-20002002,可解锁人形换装
gift_item-30002002,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002003,KLIN-凛冬将逝
gift_item-20002003,可解锁人形换装
gift_item-30002003,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002004,63式-玄黄之鸑鷟
gift_item-20002004,可解锁人形换装
gift_item-30002004,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000509,克莉尔-口袋城女王二世
gift_item-20000509,可解锁人形换装
gift_item-30000509,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000510,菲尔-口袋城女王三世
gift_item-20000510,可解锁人形换装
gift_item-30000510,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002101,DSR-50-最高出价
gift_item-20002101,可解锁人形换装
gift_item-30002101,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002102,灰熊MkⅤ-星夜舞会
gift_item-20002102,可解锁人形换装
gift_item-30002102,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002103,维尔德MkⅡ-夜幕危机
gift_item-20002103,可解锁人形换装
gift_item-30002103,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002104,Zas M21-白棋王后
gift_item-20002104,可解锁人形换装
gift_item-30002104,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002105,柯尔特左轮-奇迹女王
gift_item-20002105,可解锁人形换装
gift_item-30002105,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002106,UMP9-世界之歌
gift_item-20002106,可解锁人形换装
gift_item-30002106,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002107,UMP45-钻石之花
gift_item-20002107,可解锁人形换装
gift_item-30002107,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002108,IDW-箱中之猫
gift_item-20002108,可解锁人形换装
gift_item-30002108,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002109,EVO 3-白夜星语
gift_item-20002109,可解锁人形换装
gift_item-30002109,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002201,卡尔卡诺M1891-勇敢的小卡诺
gift_item-20002201,可解锁人形换装
gift_item-30002201,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002202,卡尔卡诺M91/38-匹诺曹小姐
gift_item-20002202,可解锁人形换装
gift_item-30002202,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002203,Five-seveN-芬芬历险记
gift_item-20002203,可解锁人形换装
gift_item-30002203,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002204,PP-19-青蛙小公主
gift_item-20002204,可解锁人形换装
gift_item-30002204,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002205,C-MS-飞鹅旅行记
gift_item-20002205,可解锁人形换装
gift_item-30002205,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002206,雷电-莉诺尔的乌鸦
gift_item-20002206,可解锁人形换装
gift_item-30002206,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002301,NTW-20-贵族体验馆
gift_item-20002301,可解锁人形换装
gift_item-30002301,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002302,竞争者-百花侍从
gift_item-20002302,可解锁人形换装
gift_item-30002302,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002303,M950A-家政试炼
gift_item-20002303,可解锁人形换装
gift_item-30002303,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002304,G28-啤酒牧场
gift_item-20002304,可解锁人形换装
gift_item-30002304,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002305,猎豹M1-今日合约
gift_item-20002305,可解锁人形换装
gift_item-30002305,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002401,G41-沙滩朋克2064
gift_item-20002401,可解锁人形换装
gift_item-30002401,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10002402,AK-12-冰沙时代
gift_item-20002402,可解锁人形换装
gift_item-30002402,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
