furniture_establish-10010001,救助站墙纸
furniture_establish-20010200,不知谁留下的旧猫窝，清洗一下应该就可以给猫咪休息用了。
furniture_establish-10010201,朴素的猫窝
furniture_establish-20010201,在精心准备好了猫窝后，指挥官悲伤的发现猫咪们更愿意睡在装弹药的纸箱里。“马上把纸箱都给我收走！”
furniture_establish-10010202,朴素的猫窝
furniture_establish-20010202,在精心准备好了猫窝后，指挥官悲伤的发现猫咪们更愿意睡在装弹药的纸箱里。“马上把纸箱都给我收走！”
furniture_establish-10010203,朴素的猫窝
furniture_establish-20010203,在精心准备好了猫窝后，指挥官悲伤的发现猫咪们更愿意睡在装弹药的纸箱里。“马上把纸箱都给我收走！”
furniture_establish-10010204,朴素的猫窝
furniture_establish-20010204,在精心准备好了猫窝后，指挥官悲伤的发现猫咪们更愿意睡在装弹药的纸箱里。“马上把纸箱都给我收走！”
furniture_establish-10010205,朴素的猫窝
furniture_establish-20010205,在精心准备好了猫窝后，指挥官悲伤的发现猫咪们更愿意睡在装弹药的纸箱里。“马上把纸箱都给我收走！”
furniture_establish-10010206,隔离猫爬架
furniture_establish-20010206,指挥官咬咬牙，用攒了好久的电池建造了立体猫爬架，还附带了玻璃隔墙，然而猫咪轻松地跳出隔墙后就再也没回来过。
furniture_establish-10010207,隔离猫爬架
furniture_establish-20010207,指挥官咬咬牙，用攒了好久的电池建造了立体猫爬架，还附带了玻璃隔墙，然而猫咪轻松地跳出隔墙后就再也没回来过。
furniture_establish-10010208,隔离猫爬架
furniture_establish-20010208,指挥官咬咬牙，用攒了好久的电池建造了立体猫爬架，还附带了玻璃隔墙，然而猫咪轻松地跳出隔墙后就再也没回来过。
furniture_establish-10010209,隔离猫爬架
furniture_establish-20010209,指挥官咬咬牙，用攒了好久的电池建造了立体猫爬架，还附带了玻璃隔墙，然而猫咪轻松地跳出隔墙后就再也没回来过。
furniture_establish-10010210,大型猫城堡
furniture_establish-20010210,在大型猫城堡也变成空城之后，指挥官已满足于抓住猫咪呆在里面的十几秒里拍照分享，“反正别人又不知道//c嘿嘿嘿...”
furniture_establish-10010300,尘封的狗窝
furniture_establish-20010300,不知谁留下的狗笼子，清洗一下应该可以让临时收留的小狗过夜。
furniture_establish-10010301,简单的狗窝
furniture_establish-20010301,配有恒温系统的简单狗窝，还有用来发泄小狗过剩精力的假骨头，记得每天遛狗哦指挥官。
furniture_establish-10010302,简单的狗窝
furniture_establish-20010302,配有恒温系统的简单狗窝，还有用来发泄小狗过剩精力的假骨头，记得每天遛狗哦指挥官。
furniture_establish-10010303,简单的狗窝
furniture_establish-20010303,配有恒温系统的简单狗窝，还有用来发泄小狗过剩精力的假骨头，记得每天遛狗哦指挥官。
furniture_establish-10010304,简单的狗窝
furniture_establish-20010304,配有恒温系统的简单狗窝，还有用来发泄小狗过剩精力的假骨头，记得每天遛狗哦指挥官。
furniture_establish-10010305,简单的狗窝
furniture_establish-20010305,配有恒温系统的简单狗窝，还有用来发泄小狗过剩精力的假骨头，记得每天遛狗哦指挥官。
furniture_establish-10010306,自动化狗窝
furniture_establish-20010306,升级了的狗窝可以每天定时自动开门让小狗出来玩耍，但把玩疯了的小狗抓回去则还是要指挥官出面。
furniture_establish-10010307,自动化狗窝
furniture_establish-20010307,升级了的狗窝可以每天定时自动开门让小狗出来玩耍，但把玩疯了的小狗抓回去则还是要指挥官出面。
furniture_establish-10010308,自动化狗窝
furniture_establish-20010308,升级了的狗窝可以每天定时自动开门让小狗出来玩耍，但把玩疯了的小狗抓回去则还是要指挥官出面。
furniture_establish-10010309,自动化狗窝
furniture_establish-20010309,升级了的狗窝可以每天定时自动开门让小狗出来玩耍，但把玩疯了的小狗抓回去则还是要指挥官出面。
furniture_establish-10010310,综合犬类维护站
furniture_establish-20010310,最高级的狗窝附带了犬类健康管理系统，从龋齿到误食巧克力都能及时发现，狗狗们表示自己没有了隐私。
furniture_establish-10010400,尘封的鸟架
furniture_establish-20010400,不知道谁留下的鸟架，也许除锈后可以试着养一些鸟类看看。
furniture_establish-10010401,简单的鸟架
furniture_establish-20010401,自从架起鸟架开始养鸟，指挥官经常对着鸽子自言自语，人形之间流传着关于指挥官好像退休老干部的流言蜚语。
furniture_establish-10010402,简单的鸟架
furniture_establish-20010402,自从架起鸟架开始养鸟，指挥官经常对着鸽子自言自语，人形之间流传着关于指挥官好像退休老干部的流言蜚语。
furniture_establish-10010403,简单的鸟架
furniture_establish-20010403,自从架起鸟架开始养鸟，指挥官经常对着鸽子自言自语，人形之间流传着关于指挥官好像退休老干部的流言蜚语。
furniture_establish-10010404,简单的鸟架
furniture_establish-20010404,自从架起鸟架开始养鸟，指挥官经常对着鸽子自言自语，人形之间流传着关于指挥官好像退休老干部的流言蜚语。
furniture_establish-10010405,简单的鸟架
furniture_establish-20010405,自从架起鸟架开始养鸟，指挥官经常对着鸽子自言自语，人形之间流传着关于指挥官好像退休老干部的流言蜚语。
furniture_establish-10010406,复合鸟笼
furniture_establish-20010406,升级后的鸟笼可以同时饲养多只鸟类，带来了全新的可能性，指挥官急切且兴奋地期待鸟类交配的表情也被偷拍发上了格里芬匿名留言板。
furniture_establish-10010407,复合鸟笼
furniture_establish-20010407,升级后的鸟笼可以同时饲养多只鸟类，带来了全新的可能性，指挥官急切且兴奋地期待鸟类交配的表情也被偷拍发上了格里芬匿名留言板。
furniture_establish-10010408,复合鸟笼
furniture_establish-20010408,升级后的鸟笼可以同时饲养多只鸟类，带来了全新的可能性，指挥官急切且兴奋地期待鸟类交配的表情也被偷拍发上了格里芬匿名留言板。
furniture_establish-10010409,复合鸟笼
furniture_establish-20010409,升级后的鸟笼可以同时饲养多只鸟类，带来了全新的可能性，指挥官急切且兴奋地期待鸟类交配的表情也被偷拍发上了格里芬匿名留言板。
furniture_establish-10010410,先进复合鸟笼
furniture_establish-20010410,最先进的自动化复合鸟笼，弧形屏幕除了展示鸟类体征数据外，更可以切换为模拟的大自然背景，让鸟类更渴望外出自由飞翔。
furniture_establish-10010500,尘封的多功能恒温箱
furniture_establish-20010500,不知道谁留下的玻璃缸，清洗一下应该可以养一些奇奇怪怪的小动物。
furniture_establish-10010501,简陋的多功能恒温箱
furniture_establish-20010501,内置了加热及保温设备，底部铺满了柔软的干草，很适合小动物在里面钻进钻出。
furniture_establish-10010502,简陋的多功能恒温箱
furniture_establish-20010502,内置了加热及保温设备，底部铺满了柔软的干草，很适合小动物在里面钻进钻出。
furniture_establish-10010503,简陋的多功能恒温箱
furniture_establish-20010503,内置了加热及保温设备，底部铺满了柔软的干草，很适合小动物在里面钻进钻出。
furniture_establish-10010504,简陋的多功能恒温箱
furniture_establish-20010504,内置了加热及保温设备，底部铺满了柔软的干草，很适合小动物在里面钻进钻出。
furniture_establish-10010505,简陋的多功能恒温箱
furniture_establish-20010505,内置了加热及保温设备，底部铺满了柔软的干草，很适合小动物在里面钻进钻出。
furniture_establish-10010506,多功能恒温游乐场
furniture_establish-20010506,基础的物质需求满足后，指挥官意识到小动物的精神建设的重要性，兴建了各种迷你游乐设施，寓教于乐。
furniture_establish-10010507,多功能恒温游乐场
furniture_establish-20010507,基础的物质需求满足后，指挥官意识到小动物的精神建设的重要性，兴建了各种迷你游乐设施，寓教于乐。
furniture_establish-10010508,多功能恒温游乐场
furniture_establish-20010508,基础的物质需求满足后，指挥官意识到小动物的精神建设的重要性，兴建了各种迷你游乐设施，寓教于乐。
furniture_establish-10010509,多功能恒温游乐场
furniture_establish-20010509,基础的物质需求满足后，指挥官意识到小动物的精神建设的重要性，兴建了各种迷你游乐设施，寓教于乐。
furniture_establish-10010510,全自动双层恒温乐园
furniture_establish-20010510,深谙大就是美哲学的指挥官，斥重金购买了高级的双层恒温箱，没有什么比看小动物在管道里爬上爬下更让人满足的事了。
furniture_establish-10020001,资料库墙纸
furniture_establish-20020001,资料库默认墙纸
furniture_establish-10020002,资料库地板
furniture_establish-20020002,资料库默认地板
furniture_establish-10020003,资料室电线1
furniture_establish-20020003,
furniture_establish-10020004,资料室电线2
furniture_establish-20020004,
furniture_establish-10020005,资料室灯1
furniture_establish-20020005,
furniture_establish-10020006,资料室灯2
furniture_establish-20020006,
furniture_establish-10020007,资料室灯3
furniture_establish-20020007,
furniture_establish-10020008,资料室灯4
furniture_establish-20020008,
furniture_establish-10020009,资料室灯5
furniture_establish-20020009,
furniture_establish-10020010,资料室灯6
furniture_establish-20020010,
furniture_establish-10020011,资料室灯7
furniture_establish-20020011,
furniture_establish-10020100,蒙尘的办公桌
furniture_establish-20020100,看起来很久没人使用过的桌子，上面蒙了一层薄薄的浮尘。修缮下这里，也许是个展开资料工作的好地方。
furniture_establish-10020101,朴素的办公桌
furniture_establish-20020101,不管用的是鹅毛笔还是针管笔，一份好的作战报告都需要一手好字来完成，格琳娜小姐，加油哦。
furniture_establish-10020102,朴素的办公桌
furniture_establish-20020102,不管用的是鹅毛笔还是针管笔，一份好的作战报告都需要一手好字来完成，格琳娜小姐，加油哦。
furniture_establish-10020103,朴素的办公桌
furniture_establish-20020103,不管用的是鹅毛笔还是针管笔，一份好的作战报告都需要一手好字来完成，格琳娜小姐，加油哦。
furniture_establish-10020104,朴素的办公桌
furniture_establish-20020104,不管用的是鹅毛笔还是针管笔，一份好的作战报告都需要一手好字来完成，格琳娜小姐，加油哦。
furniture_establish-10020105,朴素的办公桌
furniture_establish-20020105,不管用的是鹅毛笔还是针管笔，一份好的作战报告都需要一手好字来完成，格琳娜小姐，加油哦。
furniture_establish-10020106,摩登时代的办公桌
furniture_establish-20020106,奇怪的是现在提到摩登大家想到的不是现代，而是上世纪初叶的黄金时代，奏鸣着的打字机和曼哈顿拔地而起的摩天楼。
furniture_establish-10020107,摩登时代的办公桌
furniture_establish-20020107,奇怪的是现在提到摩登大家想到的不是现代，而是上世纪初叶的黄金时代，奏鸣着的打字机和曼哈顿拔地而起的摩天楼。
furniture_establish-10020108,摩登时代的办公桌
furniture_establish-20020108,奇怪的是现在提到摩登大家想到的不是现代，而是上世纪初叶的黄金时代，奏鸣着的打字机和曼哈顿拔地而起的摩天楼。
furniture_establish-10020109,摩登时代的办公桌
furniture_establish-20020109,奇怪的是现在提到摩登大家想到的不是现代，而是上世纪初叶的黄金时代，奏鸣着的打字机和曼哈顿拔地而起的摩天楼。
furniture_establish-10020110,数字时代的办公桌
furniture_establish-20020110,计算机的加入极大地提高了格琳娜小姐的工作效率，等等，没有提高？把她的网线拔掉！
furniture_establish-10020200,尘封的控制台
furniture_establish-20020200,似乎整理一下可以当做无人机的控制台，有了无人机记录作战的景象，应该可以收集到宝贵的作战经验吧。
furniture_establish-10020201,简易无人机控制台
furniture_establish-20020201,架起野战无人机控制终端了，虽然图像不是很清晰，但比之前亲自趴在战场旁边的草丛里舒服多了。
furniture_establish-10020202,简易无人机控制台
furniture_establish-20020202,架起野战无人机控制终端了，虽然图像不是很清晰，但比之前亲自趴在战场旁边的草丛里舒服多了。
furniture_establish-10020203,简易无人机控制台
furniture_establish-20020203,架起野战无人机控制终端了，虽然图像不是很清晰，但比之前亲自趴在战场旁边的草丛里舒服多了。
furniture_establish-10020204,简易无人机控制台
furniture_establish-20020204,架起野战无人机控制终端了，虽然图像不是很清晰，但比之前亲自趴在战场旁边的草丛里舒服多了。
furniture_establish-10020205,简易无人机控制台
furniture_establish-20020205,架起野战无人机控制终端了，虽然图像不是很清晰，但比之前亲自趴在战场旁边的草丛里舒服多了。
furniture_establish-10020206,专业无人机控制台
furniture_establish-20020206,解锁了大型设备后终于有点作战资料室的样子了，两个高清屏幕能更有效的控制无人机记录战场情况。
furniture_establish-10020207,专业无人机控制台
furniture_establish-20020207,解锁了大型设备后终于有点作战资料室的样子了，两个高清屏幕能更有效的控制无人机记录战场情况。
furniture_establish-10020208,专业无人机控制台
furniture_establish-20020208,解锁了大型设备后终于有点作战资料室的样子了，两个高清屏幕能更有效的控制无人机记录战场情况。
furniture_establish-10020209,专业无人机控制台
furniture_establish-20020209,解锁了大型设备后终于有点作战资料室的样子了，两个高清屏幕能更有效的控制无人机记录战场情况。
furniture_establish-10020210,先进无人机控制台
furniture_establish-20020210,格里芬目前最高级的控制设备，可以同时控制两架无人机进行战斗记录，对战场经验的收集无可匹敌。
furniture_establish-10020300,尘封的操作台
furniture_establish-20020300,厚厚的防雨布下面似乎是工作台一样的桌子，也许能帮忙解析战术少女那超级难拆下的高级战斗记录仪。
furniture_establish-10020301,古朴的操作台
furniture_establish-20020301,战前人们似乎用这个来做金属加工，现在主要用来帮忙把战术少女们的记录仪取出解析，不要弄疼她们哦。
furniture_establish-10020302,古朴的操作台
furniture_establish-20020302,战前人们似乎用这个来做金属加工，现在主要用来帮忙把战术少女们的记录仪取出解析，不要弄疼她们哦。
furniture_establish-10020303,古朴的操作台
furniture_establish-20020303,战前人们似乎用这个来做金属加工，现在主要用来帮忙把战术少女们的记录仪取出解析，不要弄疼她们哦。
furniture_establish-10020304,古朴的操作台
furniture_establish-20020304,战前人们似乎用这个来做金属加工，现在主要用来帮忙把战术少女们的记录仪取出解析，不要弄疼她们哦。
furniture_establish-10020305,古朴的操作台
furniture_establish-20020305,战前人们似乎用这个来做金属加工，现在主要用来帮忙把战术少女们的记录仪取出解析，不要弄疼她们哦。
furniture_establish-10020306,自动化操作站
furniture_establish-20020306,有了精密的机械臂的帮忙，记录仪的解析变得更加高效方便，也广受战术少女们好评。
furniture_establish-10020307,自动化操作站
furniture_establish-20020307,有了精密的机械臂的帮忙，记录仪的解析变得更加高效方便，也广受战术少女们好评。
furniture_establish-10020308,自动化操作站
furniture_establish-20020308,有了精密的机械臂的帮忙，记录仪的解析变得更加高效方便，也广受战术少女们好评。
furniture_establish-10020309,自动化操作站
furniture_establish-20020309,有了精密的机械臂的帮忙，记录仪的解析变得更加高效方便，也广受战术少女们好评。
furniture_establish-10020310,先进自动化操作站
furniture_establish-20020310,更高效率的自动化工作台，提高战斗经验的转化效率，还能防止设备过热，不愧是高端设备。
furniture_establish-10020500,尘封的计算机
furniture_establish-20020500,角落里有一个罩住的小桌子，看上去刚好可以摆台电脑，用电脑搭建起数据服务器，一定会大大提高工作效率吧。
furniture_establish-10020501,古老的计算机
furniture_establish-20020501,不要介意发黄的外壳啦，当年这可是点燃了多少少年硅谷梦的造梦机器，48k大内存让使用者如沐春风。
furniture_establish-10020502,古老的计算机
furniture_establish-20020502,不要介意发黄的外壳啦，当年这可是点燃了多少少年硅谷梦的造梦机器，48k大内存让使用者如沐春风。
furniture_establish-10020503,古老的计算机
furniture_establish-20020503,不要介意发黄的外壳啦，当年这可是点燃了多少少年硅谷梦的造梦机器，48k大内存让使用者如沐春风。
furniture_establish-10020504,古老的计算机
furniture_establish-20020504,不要介意发黄的外壳啦，当年这可是点燃了多少少年硅谷梦的造梦机器，48k大内存让使用者如沐春风。
furniture_establish-10020505,古老的计算机
furniture_establish-20020505,不要介意发黄的外壳啦，当年这可是点燃了多少少年硅谷梦的造梦机器，48k大内存让使用者如沐春风。
furniture_establish-10020506,小型服务器
furniture_establish-20020506,虽然是司令部淘汰下来的设备，专用服务器的处理能力也是无可匹敌的，还不需要关机，太方便了。
furniture_establish-10020507,小型服务器
furniture_establish-20020507,虽然是司令部淘汰下来的设备，专用服务器的处理能力也是无可匹敌的，还不需要关机，太方便了。
furniture_establish-10020508,小型服务器
furniture_establish-20020508,虽然是司令部淘汰下来的设备，专用服务器的处理能力也是无可匹敌的，还不需要关机，太方便了。
furniture_establish-10020509,小型服务器
furniture_establish-20020509,虽然是司令部淘汰下来的设备，专用服务器的处理能力也是无可匹敌的，还不需要关机，太方便了。
furniture_establish-10020510,先进大型服务器
furniture_establish-20020510,更高的机柜，更多的处理器，看着闪烁的led阵列内心十分满足，攒了这么久的电池果然没有白费。
furniture_establish-10020400,尘封的资料桌
furniture_establish-20020400,防雨布下隐约的看出大桌子的形状，也许可以在这里摆放整理收集好的战斗记录。
furniture_establish-10020401,凌乱的资料桌
furniture_establish-20020401,文案工作是任何时代的指挥官都无从逃避的苦役，只有这时候才能深深感到有格琳娜在的好。
furniture_establish-10020402,凌乱的资料桌
furniture_establish-20020402,文案工作是任何时代的指挥官都无从逃避的苦役，只有这时候才能深深感到有格琳娜在的好。
furniture_establish-10020403,凌乱的资料桌
furniture_establish-20020403,文案工作是任何时代的指挥官都无从逃避的苦役，只有这时候才能深深感到有格琳娜在的好。
furniture_establish-10020404,凌乱的资料桌
furniture_establish-20020404,文案工作是任何时代的指挥官都无从逃避的苦役，只有这时候才能深深感到有格琳娜在的好。
furniture_establish-10020405,凌乱的资料桌
furniture_establish-20020405,文案工作是任何时代的指挥官都无从逃避的苦役，只有这时候才能深深感到有格琳娜在的好。
furniture_establish-10020406,大型资料桌
furniture_establish-20020406,更大的工作面积，更规范的整理方式，带来强大的存储能力，在早前档案管理可是一门高深的艺术。
furniture_establish-10020407,大型资料桌
furniture_establish-20020407,更大的工作面积，更规范的整理方式，带来强大的存储能力，在早前档案管理可是一门高深的艺术。
furniture_establish-10020408,大型资料桌
furniture_establish-20020408,更大的工作面积，更规范的整理方式，带来强大的存储能力，在早前档案管理可是一门高深的艺术。
furniture_establish-10020409,大型资料桌
furniture_establish-20020409,更大的工作面积，更规范的整理方式，带来强大的存储能力，在早前档案管理可是一门高深的艺术。
furniture_establish-10020410,阵列硬盘资料桌
furniture_establish-20020410,不管多么优秀的纸质档案管理，在大规模阵列硬盘面前都相形见绌，唯一的问题是非常耗电。
furniture_establish-10020600,尘封的电传机
furniture_establish-20020600,防雨布下罩着一个陌生的机器，似乎不属于这个时代，也许应该问问M1918？
furniture_establish-10020601,古老的电传机
furniture_establish-20020601,早在上世纪的全球化浪潮里，电传机可是每个跨国企业办公室的必需品，能一次传输一卷纸带的信息量，非常科幻。
furniture_establish-10020602,古老的电传机
furniture_establish-20020602,早在上世纪的全球化浪潮里，电传机可是每个跨国企业办公室的必需品，能一次传输一卷纸带的信息量，非常科幻。
furniture_establish-10020603,古老的电传机
furniture_establish-20020603,早在上世纪的全球化浪潮里，电传机可是每个跨国企业办公室的必需品，能一次传输一卷纸带的信息量，非常科幻。
furniture_establish-10020604,古老的电传机
furniture_establish-20020604,早在上世纪的全球化浪潮里，电传机可是每个跨国企业办公室的必需品，能一次传输一卷纸带的信息量，非常科幻。
furniture_establish-10020605,古老的电传机
furniture_establish-20020605,早在上世纪的全球化浪潮里，电传机可是每个跨国企业办公室的必需品，能一次传输一卷纸带的信息量，非常科幻。
furniture_establish-10020606,联网打印机
furniture_establish-20020606,有了先进的联网技术加持，现在可以直接把作战报告一口气输出出来~ 咦，怎么又卡住了？墨盒又没墨了？
furniture_establish-10020607,联网打印机
furniture_establish-20020607,有了先进的联网技术加持，现在可以直接把作战报告一口气输出出来~ 咦，怎么又卡住了？墨盒又没墨了？
furniture_establish-10020608,联网打印机
furniture_establish-20020608,有了先进的联网技术加持，现在可以直接把作战报告一口气输出出来~ 咦，怎么又卡住了？墨盒又没墨了？
furniture_establish-10020609,联网打印机
furniture_establish-20020609,有了先进的联网技术加持，现在可以直接把作战报告一口气输出出来~ 咦，怎么又卡住了？墨盒又没墨了？
furniture_establish-10020610,先进自动化写入机
furniture_establish-20020610,具备大容量存储器和高速数字写入的整合解决方案，只是看着就眼花缭乱，太先进了。
furniture_establish-10020700,往事书架
furniture_establish-20020700,塞满了回忆的书架。
furniture_establish-10030001,妖精小屋墙纸
furniture_establish-20030001,妖精小屋默认墙纸
furniture_establish-10030002,妖精小屋地板
furniture_establish-20030002,妖精小屋默认地板
furniture_establish-10030003,妖精小屋墙面装饰
furniture_establish-20030003,妖精小屋墙面装饰
furniture_establish-10030004,妖精小屋灯4
furniture_establish-20030004,
furniture_establish-10030005,妖精小屋灯5
furniture_establish-20030005,
furniture_establish-10030006,妖精小屋灯6
furniture_establish-20030006,
furniture_establish-10030007,妖精小屋地毯
furniture_establish-20030007,妖精小屋地毯
furniture_establish-10030100,荒芜山谷
furniture_establish-20030100,妖精们总是坚称自己是真的幻想物种，森林与幽谷的守护者，受不了AI们喋喋不休的指挥官决定：给她们搭一个符合身份的生存环境。
furniture_establish-10030101,山间要塞
furniture_establish-20030101,经过一番辛劳，指挥官在塑料泡沫的山谷中搭起了一个中世纪城堡，这样一来配套设施也可以开始升级啦。（喷漆时注意通风哦）
furniture_establish-10030102,山间要塞
furniture_establish-20030102,经过一番辛劳，指挥官在塑料泡沫的山谷中搭起了一个中世纪城堡，这样一来配套设施也可以开始升级啦。（喷漆时注意通风哦）
furniture_establish-10030103,山间要塞
furniture_establish-20030103,经过一番辛劳，指挥官在塑料泡沫的山谷中搭起了一个中世纪城堡，这样一来配套设施也可以开始升级啦。（喷漆时注意通风哦）
furniture_establish-10030104,山间要塞
furniture_establish-20030104,经过一番辛劳，指挥官在塑料泡沫的山谷中搭起了一个中世纪城堡，这样一来配套设施也可以开始升级啦。（喷漆时注意通风哦）
furniture_establish-10030105,山间要塞
furniture_establish-20030105,经过一番辛劳，指挥官在塑料泡沫的山谷中搭起了一个中世纪城堡，这样一来配套设施也可以开始升级啦。（喷漆时注意通风哦）
furniture_establish-10030106,妖精大厅
furniture_establish-20030106,妖精们认为对于自己不断晋升的地位，需要一座更华丽更符合身份的居所来衬托，这座颇具新古典主义特色的白色大厅刚好合适。
furniture_establish-10030107,妖精大厅
furniture_establish-20030107,妖精们认为对于自己不断晋升的地位，需要一座更华丽更符合身份的居所来衬托，这座颇具新古典主义特色的白色大厅刚好合适。
furniture_establish-10030108,妖精大厅
furniture_establish-20030108,妖精们认为对于自己不断晋升的地位，需要一座更华丽更符合身份的居所来衬托，这座颇具新古典主义特色的白色大厅刚好合适。
furniture_establish-10030109,妖精大厅
furniture_establish-20030109,妖精们认为对于自己不断晋升的地位，需要一座更华丽更符合身份的居所来衬托，这座颇具新古典主义特色的白色大厅刚好合适。
furniture_establish-10030110,妖精圣殿
furniture_establish-20030110,增加了白色尖塔和外围城墙的终极形态，并解锁全部附属设施，高兴的妖精们已经在嚷嚷着增加爵位系统了，封建帝制还是很有市场。
furniture_establish-10030200,尘封的铁道模型
furniture_establish-20030200,蒙尘的帆布下面隐约透出一个铁道模型站台的形状，这应该就是如何获得更多指令的设施了，铁道模型真是让人怀念啊。
furniture_establish-10030201,乡间铁道模型
furniture_establish-20030201,一座普通的乡间小站，也许记录着少年少女那被时间淹没的小小执着，穿过隧道是不是就能找到当年所希冀的人生？
furniture_establish-10030202,乡间铁道模型
furniture_establish-20030202,一座普通的乡间小站，也许记录着少年少女那被时间淹没的小小执着，穿过隧道是不是就能找到当年所希冀的人生？
furniture_establish-10030203,乡间铁道模型
furniture_establish-20030203,一座普通的乡间小站，也许记录着少年少女那被时间淹没的小小执着，穿过隧道是不是就能找到当年所希冀的人生？
furniture_establish-10030204,乡间铁道模型
furniture_establish-20030204,一座普通的乡间小站，也许记录着少年少女那被时间淹没的小小执着，穿过隧道是不是就能找到当年所希冀的人生？
furniture_establish-10030205,乡间铁道模型
furniture_establish-20030205,一座普通的乡间小站，也许记录着少年少女那被时间淹没的小小执着，穿过隧道是不是就能找到当年所希冀的人生？
furniture_establish-10030206,铁道车站模型
furniture_establish-20030206,工业时代铁板搭建的车站取代了之前简朴的站台，装载邮件和乘客的列车也渐渐被满载原材料的货运列车所取代，这就是发展。
furniture_establish-10030207,铁道车站模型
furniture_establish-20030207,工业时代铁板搭建的车站取代了之前简朴的站台，装载邮件和乘客的列车也渐渐被满载原材料的货运列车所取代，这就是发展。
furniture_establish-10030208,铁道车站模型
furniture_establish-20030208,工业时代铁板搭建的车站取代了之前简朴的站台，装载邮件和乘客的列车也渐渐被满载原材料的货运列车所取代，这就是发展。
furniture_establish-10030209,铁道车站模型
furniture_establish-20030209,工业时代铁板搭建的车站取代了之前简朴的站台，装载邮件和乘客的列车也渐渐被满载原材料的货运列车所取代，这就是发展。
furniture_establish-10030210,国王铁道枢纽模型
furniture_establish-20030210,几次升级后终于建成了国王铁道车站模型，原型取材于战前某个帝国首都的重要车站，如今只能在模型里重现繁荣了。
furniture_establish-10030300,仓库模型地基
furniture_establish-20030300,以这里为基础建造一个仓库模型，可以用来储存总部运来的指令，你问我为什么模型仓库可以储存支援指令？我也很想知道...
furniture_establish-10030301,临时仓库模型
furniture_establish-20030301,一个临时的仓库搭起来了，用细铁丝和喷漆的塑料薄膜构成的结构非常脆弱，存取指令时要小心哦指挥官。
furniture_establish-10030302,临时仓库模型
furniture_establish-20030302,一个临时的仓库搭起来了，用细铁丝和喷漆的塑料薄膜构成的结构非常脆弱，存取指令时要小心哦指挥官。
furniture_establish-10030303,临时仓库模型
furniture_establish-20030303,一个临时的仓库搭起来了，用细铁丝和喷漆的塑料薄膜构成的结构非常脆弱，存取指令时要小心哦指挥官。
furniture_establish-10030304,临时仓库模型
furniture_establish-20030304,一个临时的仓库搭起来了，用细铁丝和喷漆的塑料薄膜构成的结构非常脆弱，存取指令时要小心哦指挥官。
furniture_establish-10030305,临时仓库模型
furniture_establish-20030305,一个临时的仓库搭起来了，用细铁丝和喷漆的塑料薄膜构成的结构非常脆弱，存取指令时要小心哦指挥官。
furniture_establish-10030306,工业仓库模型
furniture_establish-20030306,一座由红砖石铁皮搭起的仓库坚固多了，也能容纳更多指令。（这可不是三只小猪的故事哦）
furniture_establish-10030307,工业仓库模型
furniture_establish-20030307,一座由红砖石铁皮搭起的仓库坚固多了，也能容纳更多指令。（这可不是三只小猪的故事哦）
furniture_establish-10030308,工业仓库模型
furniture_establish-20030308,一座由红砖石铁皮搭起的仓库坚固多了，也能容纳更多指令。（这可不是三只小猪的故事哦）
furniture_establish-10030309,工业仓库模型
furniture_establish-20030309,一座由红砖石铁皮搭起的仓库坚固多了，也能容纳更多指令。（这可不是三只小猪的故事哦）
furniture_establish-10030310,先进仓库模型
