mission_targettrain-10170101,定制标靶
mission_targettrain-20172001,【靶机专训】通过【异构体】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10172101,02：暴雨歌者
mission_targettrain-20172101,【靶机专训】通过【异构体】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10172201,03：异构枪弹
mission_targettrain-20172201,【靶机专训】通过【异构体】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10172301,异构体
mission_targettrain-20172301,强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10172401,01：悖论·乱涌
mission_targettrain-20172401,【靶机专训】通过【镜像论】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10172501,02：悖论·潜蝎
mission_targettrain-20172501,【靶机专训】通过【镜像论】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
mission_targettrain-10172601,03：悖论·戾蜂
mission_targettrain-20172601,【靶机专训】通过【镜像论】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。
