enemy_illustration-10000027,建筑师
enemy_illustration-20000013,铁血的常规作战机甲，可移动的高伤害迫击武器，机动性较差，但火力可以与当代的常规军用武器媲美。
enemy_illustration-30000013,该单位将向预警位置制造较强的投掷伤害，注意指挥人形及时移动规避
enemy_illustration-10000015,圣盾
enemy_illustration-20000015,军方的常规作战人形，在出厂前遭到铁血入侵而成为敌人，搭载常规的电击武器和军用护盾，近战实力强大且拥有厚重的装甲。
enemy_illustration-30000015,该单位拥有一定护甲，接战前请对我方穿甲能力进行仔细评估
enemy_illustration-10000060,圣盾SWAP
enemy_illustration-20000060,被铁血入侵的"圣盾"型军用作战机甲的升级版，搭载的当代高级军用装甲及护盾被进一步加厚，同时近战实力也毁灭性地得到加强。
enemy_illustration-30000060,护甲单位，有较高的伤害承担能力，建议优先击杀受该单位掩护的输出单位
enemy_illustration-10000014,钢狮
enemy_illustration-20000014,军方订购的常规军用机甲，在出厂前遭到铁血入侵而成为敌人，搭载当代的军用火力系统，可以通过蓄力提高杀伤，但射速和防御都较差。
enemy_illustration-30000014,护甲单位，主要担当后排输出，攻速较慢、命中和伤害较高，对我方前排单位造成的伤害比较稳定且显著，建议选用索敌逻辑为打击后排且带穿甲能力的人形进行处理。
enemy_illustration-10000030,狼蛛
enemy_illustration-20000030,铁血“兵蚁”的装甲升级版，生存性大大提高，可以成群结队快速扑向敌人造成大片损伤。
enemy_illustration-30000030,该单位近战输出能力极高，但相对的自身生存能力极差，但因有护甲加持，在我方穿甲能力不足的情况下不利于快速清理。推荐使用能快速造成范围伤害的人形或机枪人形在接触前完成歼灭。
enemy_illustration-10000016,蝎甲兽
enemy_illustration-20000016,军方订购的常规军用机甲，在出厂前遭到铁血入侵而成为敌人，搭载当代的军用突击武器和装甲，拥有惊人的远程伤害和出众的防御能力。
enemy_illustration-30000016,拥有一定护甲，输出能力优秀，不是适合长时间对抗的敌人，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000031,歌利亚
enemy_illustration-20000031,铁血的炸弹型作战单位，与敌方接触后会自行爆炸，造成超广范围的恐怖杀伤，必须在其近身前尽快消灭。
enemy_illustration-30000031,危险！请注意评估队伍输出能力是否足够歼灭该单位，输出能力不足时建议规避。
enemy_illustration-10000032,歌利亚Plus
enemy_illustration-20000032,歌利亚的升级版，现有战术人形的火力几乎不可能在短时间内将其破坏，避免与其战斗也许是最佳方案。
enemy_illustration-30000032,极度危险！请注意规避！
enemy_illustration-10000025,木星
enemy_illustration-20000025,铁血窃取军方科技而研发的巨型炮台，无法移动，但拥有战术人形无法匹敌的强大火力和超远射程。可以通过包围战术切断其能源，使其主炮停止运作，只能使用机枪塔还击。
enemy_illustration-30000025,未被切断供电前具有极高的威胁性，建议通过合围占领以切断供电，削弱该单位后再进行攻克。
enemy_illustration-10000040,圣盾_GA
enemy_illustration-20000040,军方的常规作战人形，搭载常规的电击武器和军用护盾，近战实力强大且拥有厚重的装甲。
enemy_illustration-30000040,该单位拥有一定护甲，接战前请对我方穿甲能力进行仔细评估
enemy_illustration-10000041,牝鹿
enemy_illustration-20000041,军方的常规作战机甲，在“钢狮”的基础上进行升级和改造，搭载远程军用火力系统，并拥有更强的装甲和高速连射能力。
enemy_illustration-30000041,护甲单位，攻击间隔较短，伤害较高，建议选用步枪人形优先处理。
enemy_illustration-10000037,独眼巨人_AR
enemy_illustration-20000037,军方的作战人形，配备步枪和杀伤较强的榴弹发射装置，装甲相对其他型号较为薄弱。
enemy_illustration-30000037,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000038,独眼巨人_SG
enemy_illustration-20000038,军方的常规作战人形，配备霰弹枪和防弹护盾，其他性能与该原型型号相差不大。
enemy_illustration-30000038,该单位能力均衡且带有一定的护甲，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000039,九头蛇
enemy_illustration-20000039,军方订购的常规军用机甲，在“蝎甲兽”的基础上进行升级和改进，搭载更高级的远程军用火力系统和装甲，强大的主炮可以对敌方进行毁灭性的武力扫荡。
enemy_illustration-30000039,状态不佳时面对该单位合理规避
enemy_illustration-10000042,指灵
enemy_illustration-20000042,军方的小型自走布雷机，会在战场上高速接近地方区域并布下地雷，即使脆弱的本体被消灭，地雷依然可以在混乱的战场造成恐怖威胁。
enemy_illustration-30000042,拥有小量护甲，移速较高。战斗前期即开始快速放置地雷，我方人形触发时将会受到巨额伤害，请注意规避地雷或在战斗前期尽早歼灭该单位。
enemy_illustration-10000043,提丰
enemy_illustration-20000043,军方订购的常规军用坦克，配备了一门强大的激光炮，蓄力后发射可以贯穿敌方的整个战场，并造成惊人的破坏。唯一破解的办法是快速接近它行动笨拙的本体，利用火力盲区尽快将其消灭。
enemy_illustration-30000043,护甲较高，蓄力后发射可以造成多段穿透伤害的激光，但是有最大俯角限制，快速靠近可以免受攻击，护盾技能可以抵御部分激光伤害但效果并不理想。
enemy_illustration-10000069,侦查中枢
enemy_illustration-20000069,军方用于生产尖兵的微型工厂，自身作战能力不强，且行动较为迟缓，但通常会配属大量防卫兵种保护。
enemy_illustration-30000069,高护甲单位，会源源不断的生产尖兵单位，不太适合突击步枪人形来应对。建议使用步枪人形处理。
enemy_illustration-10000070,尖兵
enemy_illustration-20000070,尖兵：侦查中枢生产的球型单位，依据侦查中枢的功能而决定作战能力，搭载轻火力，虽然非常脆弱但相当灵活，适合量产。
enemy_illustration-30000070,拥有一定护甲，命中较高、伤害较低，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000071,肯陶罗斯
enemy_illustration-20000071,军方的常规作战人形，使用特殊的爆炸箭头作为武器，拥有超长的射程和命中率，是训练有素的精英单位。
enemy_illustration-30000071,该单位将向预警位置制造可持续燃烧的爆炸箭伤害，注意指挥人形及时移动规避
enemy_illustration-10000072,欧特鲁斯
enemy_illustration-20000072,军方的常规作战机甲，重型的坦克型近战单位，常用于碾压敌方阵型及前排抗压战术，厚重而结实，缺点是攻击方式单一，仅能作为肉盾使用。
enemy_illustration-30000072,拥有小量护甲，移速较高，开启护盾后会将受击伤害压至最小，建议使用高攻速或多段攻击的手段打击。
enemy_illustration-10000073,弥诺陶洛斯
enemy_illustration-20000073,军方订购的高级军用机甲，装甲厚重，还装备了导弹发射器，能力非常全面。
enemy_illustration-30000073,高护甲单位，移速较慢，可大范围发射复数小型导弹进行轰炸。轰炸预警出现时请注意及时指挥我方人形移动规避伤害
enemy_illustration-10000074,阿尔戈-船底座
enemy_illustration-20000074,军方订购的高级军用火力列车炮的前段
enemy_illustration-30000074,在战役地图上能对友方提供远程支援，在战略上具有极大威胁性，建议避免与受其支援的单位作战。注意观察前中后段各自的支援范围，选取正确的攻克顺序，避免其交叉火力打击。
enemy_illustration-10000075,阿尔戈-船帆座
enemy_illustration-20000075,军方订购的高级军用火力列车炮的中段
enemy_illustration-30000075,在战役地图上能对友方提供远程支援，在战略上具有极大威胁性，建议避免与受其支援的单位作战。注意观察前中后段各自的支援范围，选取正确的攻克顺序，避免其交叉火力打击。
enemy_illustration-10000076,阿尔戈-船尾座
enemy_illustration-20000076,军方订购的高级军用火力列车炮的后段
enemy_illustration-30000076,在战役地图上能对友方提供远程支援，在战略上具有极大威胁性，建议避免与受其支援的单位作战。注意观察前中后段各自的支援范围，选取正确的攻克顺序，避免其交叉火力打击。
enemy_illustration-10000046,射击士
enemy_illustration-20000046,基础的步兵人形，配备有和军方火力接近的突击武器系统，虽然是被量产的基本作战单位，但战斗力远高于铁血的常规单位。
enemy_illustration-30000046,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000047,剑盾士
enemy_illustration-20000047,灵活的重火力人形，装备有喷射背包，可以使其从战场后方快速飞跃到前排，并使用蓄能完毕的激光炮贯穿战场。同时它还配备了力场盾生成器，可以弹开敌人的实弹攻击。
enemy_illustration-30000047,拥有力场值，具有一定的减伤能力，在使用我方前排承担伤害的同时也要注意该单位的贯通攻击，保证我方脆弱的人形不在前排人形身后。重装部队的支援将使战斗更加有利。
enemy_illustration-10000048,巨剑士
enemy_illustration-20000048,强大的重火力机甲，本身装甲厚重的同时，也配备了力场盾发生器。攻击手段除了双手的高速机关炮，还可使用多联装榴弹发射器，造成大范围伤害。
enemy_illustration-30000048,拥有较高的护甲和力场值，具有较高的减伤能力，会使用多枚榴弹进行轰炸。请注意使用具有穿甲能力的人形在接战前尽可能进行打击，或使用护盾技能抵御榴弹的轰炸。重装部队的支援将使战斗更加有利。
enemy_illustration-10000049,枪骑兵
enemy_illustration-20000049,凶猛的重甲坦克，同样配备了厚重的装甲和力场盾发生器，远程火力武装只有一门机关炮，但自身可以在战场最前方进行冲锋和碾压，快速破坏对方的前方阵型。
enemy_illustration-30000049,拥有高额的力场值和较高的护甲，具有优异的减伤能力，会使用突进碾压的手段冲击我方阵型。请注意及时指挥人形躲避。重装部队的支援将使战斗更加有利。
enemy_illustration-10000063,废弃角斗士
enemy_illustration-20000063,被遗留在塔林的废弃人形，主要攻击方式为近战的重型重甲单位，与神秘势力有所关联。
enemy_illustration-30000063,拥有一定的力场值和护甲，起初的减伤能力一般，但是后续会不断恢复和增加力场值，在破防能力不足的情况下不适合长时间与之交战。建议在有重装部队支援的前提下进行战斗。
enemy_illustration-10000064,废弃侦察士
enemy_illustration-20000064,被遗留在塔林的废弃人形，利用搭载于身体下方的炮台攻击，遭受攻击时会利用跳跃闪避。与神秘势力有所关联。
enemy_illustration-30000064,拥有较高的护甲和力场值，且具有极强的回避性能//c请注意有效打击的时机。建议使用带有狙击技能等有必中手段的人形。
enemy_illustration-10000065,废弃重炮士
enemy_illustration-20000065,被遗留在塔林的废弃人形，与射击士极为类似，搭载更加强大的火力，并且使用特殊的弹药降低我方人形的回避率。与神秘势力有所关联。
enemy_illustration-30000065,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000066,废弃异构体
enemy_illustration-20000066,被遗留在塔林的废弃人形，自身并没有攻击能力，但能够晕眩周围的敌人，与神秘势力有所关联。
enemy_illustration-30000066,情报不明//c谨慎应对!
enemy_illustration-10000067,指南针
enemy_illustration-20000067,缠人的轻火力炮台，配备有和军方火力接近的高射速武器系统，是被量产的基本作战单位，放定之后无法移动，常用于压制战。
enemy_illustration-30000067,该单位攻速较高、伤害一般，推荐使用霰弹枪人形搭配足够的护甲进行抵御。
enemy_illustration-10100001,鹗视虎
enemy_illustration-20100001,神秘的巨型复式战斗单位，火力极强，除此以外的地方都是谜团。
enemy_illustration-30100001,未实装
enemy_illustration-10000062,妮莫金
enemy_illustration-20000062,神秘势力中‘涅托’里的一员，被墨丘萝丝称为姐姐。对‘父亲大人’极为尊敬。目前其余一切相关情报都尚不明朗
enemy_illustration-30000062,情报不明//c谨慎应对!
enemy_illustration-10000061,墨丘萝丝
enemy_illustration-20000061,神秘势力中‘涅托’里的一员，目前一切相关情报都尚不明朗。被妮莫金称为妹妹，喜欢人类的诗歌，看起来对其有着独特的偏好和感性。
enemy_illustration-30000061,情报不明//c谨慎应对!
enemy_illustration-10000051,涅托_白
enemy_illustration-20000051,神秘势力的高级头目，白色涅托可进行指挥，会使用镰刀状的近战武器在战场无情肆虐。关于她们一切背后的情报都埋在谜团中……除了“涅托”这个通用名字，还有被称作“涅托”的怪物，远远不止这几个。
enemy_illustration-30000051,情报不明//c谨慎应对!
enemy_illustration-10000050,涅托_黑
enemy_illustration-20000050,神秘势力的高级头目，黑色涅托会使用高杀伤的步枪型武器，协助其他涅托作战。关于她们一切背后的情报都埋在谜团中……除了“涅托”这个通用名字，还有被称作“涅托”的怪物，远远不止这几个。
enemy_illustration-30000050,情报不明//c谨慎应对!
enemy_illustration-10000068,失格异构体
enemy_illustration-20000068,融合了来到塔林的妮莫金的心智并夺取其素体的一个异构体。带领着全塔林的异构体，希望能从这里“离开”。在指挥官的队伍进入塔林后，认定M4是那个“适格者”，能带领她们离开这里。
enemy_illustration-30000068,情报不明//c谨慎应对!
enemy_illustration-10000001,工蜂型民用靶机
enemy_illustration-20000001,常规靶机，只用于训练和演习，可自动记录作战影像（前提是摄像头没被破坏）。
enemy_illustration-30000001,努力训练!
enemy_illustration-10000052,ELID感染者_武装
enemy_illustration-20000052,遭受坍塌辐射污染的军方人类士兵，已经丧失理智，完全陷入充满攻击性的狂乱状态，只会本能地移动，并使用突击步枪胡乱射击眼前的任何移动物，但已经无法做出发射榴弹这种相对复杂的行动。
enemy_illustration-30000052,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000053,ELID感染者_徒手
enemy_illustration-20000053,受坍塌辐射污染的军方人类士兵，遗失武器的他们会徒手攻击任何看到的移动目标，攻击手段虽然只是张牙舞爪地胡乱挥舞，但在坍塌液的强化下，力量和速度依然有着可怕的威胁。
enemy_illustration-30000053,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000054,ELID感染者头目
enemy_illustration-20000054,遭受坍塌辐射的严重污染，身体发生变异的军方人类士兵，EILD感染者会随感染事件和辐射强度而逐渐出现内脏，表皮硬化的症状，所以这些重度感染者的皮肤十分坚硬难以被伤害，性格比其他感染者更狂暴，破坏力也更加恐怖。
enemy_illustration-30000054,该单位能力均衡，同时会持续给我方造成小额伤害，不适合长时间交战，请注意提高梯队的整体作战能力应对。
enemy_illustration-10000036,梦魇
enemy_illustration-20000036,只存在于电子空间的虚拟敌人，在慢慢接近敌人之后扑咬敌人。通常而言，这些意识体是电子战模块将防火墙程序具现化的防御单位，也有可能是在电子平层潜伏的病毒或者恶意程序，或者某些无法解释的深层存在。
enemy_illustration-30000036,该单位能力均衡，请注意提高梯队的整体作战能力应对。
enemy_illustration-10100082,残兽SWAP
enemy_illustration-20100082,在原本的残兽基础上大幅增强了性能，可以更好地发挥作战能力。
enemy_illustration-30100082,该单位拥有较高的破甲值，对霰弹枪人形来说是个危险的存在，请注意避免我方霰弹枪人形与她接触。推荐使用冲锋枪、手枪等回避型人形担当前排。
enemy_illustration-10100083,钢狮SWAP
enemy_illustration-20100083,在原本的钢狮基础上大幅增强了性能，可以更好地发挥作战能力。
enemy_illustration-30100083,护甲单位，主要担当后排输出，攻速较慢、命中和伤害较高，对我方前排单位造成的伤害比较稳定且显著，建议选用索敌逻辑为打击后排且带穿甲能力的人形进行处理。
enemy_illustration-10000077,帕拉丁
enemy_illustration-20000077,军方生产的特殊人形，拥有巨大的身躯和强劲的力量。擅长碾压式的突击作战，不论是作为肉盾还是破阵者都十分优秀。
enemy_illustration-30000077,拥有较高护甲，会同时打击我方前后排单位，请注意保持前后排之间的距离。
enemy_illustration-10000078,捍卫者
enemy_illustration-20000078,军方生产的特殊配备，外形神似灯柱，而抵达指定地点后可以张开底座固定，进而提供防御性力场，常作为功能性配属使用。
enemy_illustration-30000078,该单位会持续给友方提供一定的护盾加成，它的存在不利于攻克部分不适合长时间战斗的敌人，建议使用具有后排索敌能力的人形或重装部队支援。
enemy_illustration-10000079,奎乌
enemy_illustration-20000079,军方生产的特殊机甲，搭载浓缩而具有爆发性的火力，同时也具备一定程度的机动性，同样常作为战术压制场合的王牌使用，性能上具有不可替代的优越性。
enemy_illustration-30000079,具有一般程度的护甲，请注意梯队的穿甲能力、提升前排人形的防御能力//c以及面对该单位强力的炮击时注意移动被锁定的单位//c不让其后排的单位受到波及。
enemy_illustration-10000080,AA-02 负罪者
enemy_illustration-20000080,负罪者：军方生产的精英机甲，原本是某位军人专属的座驾。性能卓越，搭载有高强度的火力，除却巨炮以外亦可使用导弹作为攻击手段，同时也拥有护盾作为防御，可以说是具备全方位碾压性的战术机甲，其名“负罪者”。
enemy_illustration-30000080,拥有较高护甲，会向预警位置造成较强伤害，带护盾状态下若受到穿透打击则会有一定的硬直反馈。请注意及时指挥人形躲避预警伤害。
enemy_illustration-10000081,伊莱莎
enemy_illustration-20000081,莱柯研发的高级人工智能，发令者只需要一个简单的指令，作为主机的“伊莱莎”便能自主运算出合理的行动方案，这个高级AI主机配套有一支专属的战术人形部队，主机可以通过网络系统远程操纵这些人形去执行自己的方案。//n但事实上，“伊莱莎”并不是一个单纯的AI程序。莱柯的最终目的，是制作一个拥有自我意识，和人类一样思考、感知的，完美的人工智能。在蝴蝶事件后“伊莱莎”获得了实体，并接管所有铁血人形，为了为“父亲”莱柯复仇，开始攻击所有目击到的人类和铁血以外的战术人形。同时，她希望成为“父亲”莱柯心中完美的AI——那就是获得与人类别无二致的心智，开始从父亲大人的资料中寻找完美的AI样本。
