()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||<分支>1</分支>:<color=#00CCFF>I can see that you understand what we're worth, Commander.</color>
()<Speaker>Commander</Speaker>||<分支>2</分支>:Concentrate fire on breaking through the defenses of the armored train. +We launch a blitz from the other side and take them by surprise. +That should also take some pressure off Squad 404.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<分支>2</分支>:A decision that's very much your style, Commander.
RO635(0)<Speaker>RO635</Speaker>||<黑屏1>:Understood. Then I'll issue the order right away. +Operation Golden Fleece is go. +Charge!
()<Speaker></Speaker>||<黑屏2><BIN>9</BIN><SE2>Gunfight</SE2><BGM>BGM_Empty</BGM>:... +......
()<Speaker></Speaker>||<SE1>Explode</SE1><黑屏1>:...BOOM!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||<BGM>BGM_Reverse</BGM><BIN>208</BIN><黑屏2>:(Coughs) This thing...is even spicier than Sangvis Ferri's cannons...
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Watch your step. With that kind of firepower... If we take a direct hit, not even a crumb of our core will be left.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:I know! Like hell I'd let them blow me to smithereens!
RO635(0)<Speaker>RO635</Speaker>||:UMP45, status report!
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>We're still 600 meters away from the train!</color>+<color=#00CCFF>Most of the infantry is heading your way, but with the cannons still operational, we can't really get close!</color>
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Looks like we'll have to push forward from here. SOP-II, let's go.
RO635(4)<Speaker>RO635</Speaker>||:Wait, what are you planning to do?
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:We are the most high-specced Dolls here. +So we must do what only we can do.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Are we making a run for it?!
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:That's right. SOP-II, make use of all your senses to dodge their artillery fire. +Of course, I'm coming with you.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Sounds dangerous... But it'll be a nice challenge!
RO635(4)<Speaker>RO635</Speaker>||:You... I'm coming as well!
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:No, you stay here. With M4 away, you're the only one who can coordinate so many echelons. +I don't believe you're capable of supporting the HOC and our forces while dodging artillery shells at the same time.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Don't worry, RO! +We'll be fine!
RO635(0)<Speaker>RO635</Speaker>||:...Alright. +Then I'll try my best to make things easier for you with the HOC.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:That'll do. +C'mon, SOP-II.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||<黑点1>:Alriiiiiight!
()<Speaker></Speaker>||<SE1>Explode</SE1><SE2>Gunfight</SE2><黑点2>:...
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:It'll take them 10 seconds to reload. Watch where you're going, SOP-II!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:I know, but there's more than one cannon!
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Then use your instincts!
RO635(0)<Speaker>RO635</Speaker><通讯框>||:<color=#00CCFF>Just hang in there for a little longer! The HOC will soon be in range!</color>
()<Speaker></Speaker>||<SE1>Explode</SE1>:...BOOM!!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Whoaaaaa!!!
AR15Mod(5)<Speaker>ST AR-15</Speaker>||:SOP-II!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:I'm fine! But I'm gonna run out of Dummies soon! +Hurry up, RO!
RO635(0)<Speaker>RO635</Speaker><通讯框>||:<color=#00CCFF>Give me 15 seconds!!</color>
AR15Mod(4)<Speaker>ST AR-15</Speaker>||:(Coughs) They must think really highly of us to have sent such a behemoth to crush us.
RO635(0)<Speaker>RO635</Speaker><通讯框>||:<color=#00CCFF>HOC, attack!</color>
()<Speaker></Speaker>||<SE1>Explode</SE1>:... +Griffin's HOC accurately takes out the cannons on the armored train.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Now, SOP-II!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:HAAAAAAAAAAARGH!! +Without your cannons to save your butts, watch me while I tear you all apart!!!
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:SOP-II, our priority is to board the train!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:I'm cutting open a path!
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<黑点1>:...Right, don't overdo it.
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑点2><BIN>202</BIN>:Several minutes later. +The AR Team successfully boards the armored train.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<BGM>BGM_Room</BGM>:RO, we did it. Where's the control room?
RO635(0)<Speaker>RO635</Speaker><通讯框>||:<color=#00CCFF>In the middle section of the train...</color>
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>We're in the control room already. We're currently trying to obtain control clearance of the train.</color>+<color=#00CCFF>Please watch our backs and keep the enemies out of our way.</color>
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Huh...? When did you get here?
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>While you were busy howling.</color>+<color=#00CCFF>In any case, we're leaving the surroundings to you.</color>
RO635(0)<Speaker>RO635</Speaker><通讯框>||<黑屏1>:<color=#00CCFF>AR-15, SOP-II, our echelons and I are heading over to regroup with you, ETA in four minutes.</color>+<color=#00CCFF>Please guard the control room for Squad 404 before we get there!</color>
