()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(2)||:我只是提出了一种可能性，而每次你总是不愿意好好回答我的问题。
AN94(0);AR15Mod(4)<Speaker>AR15</Speaker>||:哼……+如果我相信真有神，那么我的神就是帕斯卡。+你觉得我会对这样的……让我有着求生不能求死不得的命运的“神”，怀抱着“信仰”的情绪吗？
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(2)||:对人形来说，一切都是设计好的，神即是创造者，创造者的命令是绝对的，就像人类不能去质疑自己的神一样。
AN94(0);AR15Mod(2)<Speaker>AR15</Speaker>||:真是足够无趣的回答。
AN94(3)<Speaker>AN94</Speaker>;AR15Mod(2)||:但是，和人类时常被枷锁束缚的命运不同，除了神的命令外，我们是无拘无束的。+因为如此，所以我们才能被称为“忤逆”。+神的选择无法逃避，但我可以做出除此之外属于我自己的选择。+而我的选择就是，无论AK12对我有如何的期望，我都会如她所愿。
AN94(3);AR15Mod(2)<Speaker>AR15</Speaker>||:……即使求死不能？
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:和你不一样，对我们来说并没有什么死亡的概念。+我们存在的目的，就是为了执行任务和执着于某人。
AN94(0);AR15Mod(4)<Speaker>AR15</Speaker>||<BGM>BGM_Empty</BGM>:……真是够了。+当我没有说过这个话题吧。
AN94(4)<Speaker>AN94</Speaker>;AR15Mod(4)||:我惹你不高兴了吗？
AN94(4);AR15Mod(4)<Speaker>AR15</Speaker>||:没有。
AN94(4)<Speaker>AN94</Speaker>;AR15Mod(4)||:…………+看来我惹你不高兴了。
AN94(4);AR15Mod(4)<Speaker>AR15</Speaker>||:…………+我不是很明白为什么安洁要安排我们组队。+看来我们不是聊天的好搭档，既然如此，就要把注意力都集中在如何执行任务上吧。
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(4)||<BGM>BGM_Victory</BGM>:是的，任务的优先度是最高的。+你的三块动能板已经都充电完成了，素体校准器确认灯亮起后就可以开始行动了。
AN94(0);AR15Mod(4)<Speaker>AR15</Speaker>||:收到。+我会负责郊外，你负责城区，分开行动。+“如果看到了那些白色的家伙出现，先不要贸然交战。”
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:“标记它们的位置即可，最优先的目标是观察它们是否和‘节点’有关。”
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>＝:信息核对无误。还有五秒。3,2,1——出发！
()<Speaker></Speaker>||<黑屏2><BIN>84</BIN><BGM>BGM_Wake</BGM>:……
()<Speaker></Speaker>||:城市街头。繁华的商业街中心，AN94慢慢地往前走着。
AN94(0)<通讯框>||:<color=#00CCFF>呼叫AR15，收到请回答。</color>
AN94(0)<通讯框>;AR15Mod(0)<Speaker>AR15</Speaker><通讯框>||:<color=#00CCFF>收到，我正在计划进入信号密集区域，你这边情况如何了。</color>
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:<color=#00CCFF>按照计划在进行静默扫描。</color>+<color=#00CCFF>除了你所在的区域，新增的可疑信号一共有43处，其中有18个可以确定是白色势力单位的波长，剩余的无法精准定位，需要加大扫描力度么。</color>
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:<color=#00CCFF>不需要，安洁说过那些杂鱼敌人会有人去料理的，我们不能冒暴露的风险。</color>+<color=#00CCFF>专注去寻找和“节点”有关的线索就行，得尽快筛选出高价值目标。</color>
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||<BGM>BGM_Empty</BGM>:<color=#00CCFF>明白，我正在对已经确认的单位进行监听，暂时没有更多信息。</color>+<color=#00CCFF>不过……奇怪的是，我还发现了疑似铁血的波长信号。</color>
AN94(0);AR15Mod(5)<Speaker>AR15</Speaker>||<震屏><BGM>BGM_Sneak</BGM>:<color=#00CCFF>铁血？</color>+<color=#00CCFF>铁血怎么会出现在这里！</color>
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(5)||:<color=#00CCFF>是疑似铁血。只是出现了一瞬间，我还以为是自己看错了……不过相似度很高，基本可以判定这座城市存在铁血人形。</color>
AN94(0);AR15Mod(5)<Speaker>AR15</Speaker>||:<color=#00CCFF>……为什么铁血要来这座城市……</color>+<color=#00CCFF>那样的话，她也会来这里么……</color>
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(5)||:<color=#00CCFF>AR15……我们此行的首要目标并不是铁血的人形。</color>+<color=#00CCFF>以完成任务为第一目标比较好。</color>
AN94(0);AR15Mod(5)<Speaker>AR15</Speaker>||:<color=#00CCFF>可是……</color>
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:<color=#00CCFF>……你说得对，时间已经不多了。</color>+<color=#00CCFF>先标记信号源吧，剩下的等完成任务之后再说。</color>
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:<color=#00CCFF>好的，已完成标记。</color>
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||<黑屏1>:<color=#00CCFF>先不要去管这件事了。</color>+<color=#00CCFF>然后……</color>+<color=#00CCFF>……我到达目标区域了。</color>+<color=#00CCFF>这里是……军营？</color>
()<Speaker></Speaker>||<BIN>161</BIN><BGM>BGM_Brain</BGM><黑屏2>:……+站岗的士兵正在左右张望，就在他回头的那一瞬间，一个黑影悄然无声地越过了围墙。
AR15Mod(0)<Speaker>AR15</Speaker>||:<color=#00CCFF>AN94，能听到么。</color>
AN94(0)<Speaker>AN94</Speaker><通讯框>;AR15Mod(0)||:<color=#00CCFF>收到，情况如何？</color>
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:<color=#00CCFF>我已经进入了驻军基地，就如所料这里的信号特征非常明显……掩盖信号的方式太过于业余，我都有些担心这里会不会是个陷阱。</color>
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:<color=#00CCFF>那要先离开么？</color>
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:<color=#00CCFF>这又不是第一次明知是陷阱还往里跳的情况了，更何况我们不能就这么空手而归。</color>+<color=#00CCFF>帮我建立信息黑域，我需要和安洁联系。</color>
AN94(0)<Speaker>AN94</Speaker>;AR15Mod(0)||:<color=#00CCFF>你一定要使用无线电么？不管怎么加密，这种老旧的信号模式都很容易被截获，你的齐纳协议并非不可以解锁……</color>
AN94(0);AR15Mod(0)<Speaker>AR15</Speaker>||:<color=#00CCFF>我不想再听到那个声音了。可以不要再闲聊了么？</color>
AN94(4)<Speaker>AN94</Speaker>;AR15Mod(0)||<BGM>BGM_Empty</BGM>:<color=#00CCFF>如你所愿。</color>+<color=#00CCFF>信息黑域正在建立，维持时间60秒。</color>+<color=#00CCFF>呼叫安洁，收到请回答。</color>
NPC-AngeStreet(0)<Speaker>安洁莉卡</Speaker><通讯框>;AR15Mod(0)||<BGM>BGM_Room</BGM>:<color=#00CCFF>收到。有什么进展么？</color>
NPC-AngeStreet(0);AR15Mod(0)<Speaker>AR15</Speaker>||:<color=#00CCFF>这里是AR15。</color>+<color=#00CCFF>我正在调查第一个白色信号聚集区，这里是驻军营地，但是范围不大。</color>+<color=#00CCFF>军事区域和“节点”的关联可能性很大，所以我就先潜入进行侦查了。</color>+<color=#00CCFF>这边的信号大致可以确认位置，需要进行破坏活动么？</color>
NPC-AngeStreet(0)<Speaker>安洁莉卡</Speaker>;AR15Mod(0)||:<color=#00CCFF>先不要轻举妄动。</color>+<color=#00CCFF>铲除渗透目标会由别人来做，把你们收集到的定位信息发送给我就行了。</color>+<color=#00CCFF>接下来对整个营地进行监视，我的直觉告诉我会有大鱼在这边出现。</color>
NPC-AngeStreet(0);AR15Mod(0)<Speaker>AR15</Speaker>||:<color=#00CCFF>我不明白。</color>+<color=#00CCFF>“节点”到底有多重要？</color>+<color=#00CCFF>即使这里潜在的敌人可能会引起这座城市人类的伤亡也没关系吗？</color>
NPC-AngeStreet(0)<Speaker>安洁莉卡</Speaker>;AR15Mod(0)||:<color=#00CCFF>我给你们的任务是寻找和“节点”有关的线索，而不是保护平民。</color>+<color=#00CCFF>你已经不是安全承包商的雇员了，AR15。</color>
NPC-AngeStreet(0);AR15Mod(3)<Speaker>AR15</Speaker><Shake>||:<color=#00CCFF>……我明白了。</color>+<color=#00CCFF>除了这个营地外，AN94也发现了一些别的白色信号聚集区，甚至在城市里还出现了铁血的信号。</color>
NPC-AngeStreet(0)<Speaker>安洁莉卡</Speaker>;AR15Mod(3)||:<color=#00CCFF>是么……。</color>+<color=#00CCFF>94，你筛查到的信号的具体数量是？</color>
AN94(0)<Speaker>AN94</Speaker><通讯框>;AR15Mod(3)||:<color=#00CCFF>52个，相比30分钟前又增加了9个信号源。</color>
NPC-AngeStreet(0)<Speaker>安洁莉卡</Speaker><通讯框>;AR15Mod(3)||:<color=#00CCFF>这么多的垃圾能一口气钻进来还不被察觉，这一点都不合常理。</color>+<color=#00CCFF>即使这里有他们的“洗礼者”在，要同时掩盖如此之多的存在也是非常困难的。</color>
NPC-AngeStreet(0);AR15Mod(0)<Speaker>AR15</Speaker>||:<color=#00CCFF>根据我的调查，它们根本就没有去做掩盖的工作。</color>
NPC-AngeStreet(0)<Speaker>安洁莉卡</Speaker>;AR15Mod(0)||:<color=#00CCFF>那么就是……免疫系统出现了问题。</color>+<color=#00CCFF>在驻军营地里会有白色信号已经是个合理的答案了。</color>
NPC-AngeStreet(0);AR15Mod(0)<Speaker>AR15</Speaker>||:<color=#00CCFF>就算白色势力神通广大，总不至于能让这里的军方听它们的指挥吧……</color>+<color=#00CCFF>据我了解，这个国家一直保持着绝对的中立。</color>
NPC-AngeStreet(0)<Speaker>安洁莉卡</Speaker>;AR15Mod(0)||:<color=#00CCFF>我也认为军队听从白色势力的指挥是不可能的。</color>+<color=#00CCFF>能够在危险的局面里维持中立，严格选拔的士兵和高超的政治手腕不可缺一。</color>+<color=#00CCFF>但是叶子的枯萎总是在根茎腐朽之后。</color>
NPC-AngeStreet(0);AR15Mod(4)<Speaker>AR15</Speaker>||:<color=#00CCFF>内部已经有人被策反了么……</color>+<color=#00CCFF>我明白了。</color>
AN94(5)<Speaker>AN94</Speaker><通讯框>;AR15Mod(4)||:<color=#00CCFF>信息黑域的时间快到了。</color>
NPC-AngeStreet(0)<Speaker>安洁莉卡</Speaker><通讯框>;AR15Mod(4)||:<color=#00CCFF>继续监视，直到有新的情报。期待你们的好消息。</color>
AR15Mod(4)<Speaker>AR15</Speaker>||<BGM>BGM_Empty</BGM><闪屏><duration>25</duration></闪屏>:安洁切断了通讯。
AR15Mod(0)<Speaker>AR15</Speaker>||:<color=#00CCFF>诶……真是麻烦的任务，AN94，我会在这个营地里做隐蔽观察，我需要你到营地的另一个出口做监视。</color>
AN94(3)<Speaker>AN94</Speaker><通讯框>;AR15Mod(0)||<BGM>BGM_Wake</BGM>:<color=#00CCFF>喵……</color>
AN94(3);AR15Mod(2)<Speaker>AR15</Speaker>||:<color=#00CCFF>喵？</color>
AN94(5)<Speaker>AN94</Speaker>;AR15Mod(2)||<黑屏1>:<color=#00CCFF>啊没事，我看到你发送的位置了，半个小时后到达，完毕。</color>
()<Speaker></Speaker>||<黑点2><BIN>166</BIN>:AN94关闭了通讯。+柔软的触感从腿上传来，公园中游荡的小猫在试图跳上AN94的大腿。+94弯腰将小猫托到了自己的腿上，轻轻摸了摸小猫的软毛。
NPC-Mercurows(0)<Speaker>？？？</Speaker>||<BGM>BGM_Empty</BGM>:真是可爱的生物，不是么？
AN94(0)<Speaker>AN94</Speaker>;NPC-Mercurows(0)||<BGM>BGM_Danger</BGM>:？？
AN94(0);NPC-Mercurows(0)<Speaker>？？？</Speaker>||:可爱又黏人，在这个时候谁又能意识到猫咪其实是种可怕的掠食动物呢？
AN94(0)<Speaker>AN94</Speaker>;NPC-Mercurows(0)||:你是？
AN94(0);NPC-Mercurows(0)<Speaker>？？？</Speaker>||:抱歉抱歉，我是这边的居民，经常会来喂猫而已，请不要在意我。
AN94(0);NPC-Mercurows(0)<Speaker></Speaker>||:少女将猫粮撒向地上，坐在AN94腿上的小猫立即跳了过去。
AN94(0);NPC-Mercurows(0)<Speaker>？？？</Speaker>||:那么，我差不多也该走了。
NPC-Mercurows(0)<Speaker></Speaker>||:AN94站起身来，准备离开。+在与少女擦身而过的瞬间，少女说道。
NPC-Mercurows(0)<Speaker>？？？</Speaker>||:你是否也是那样呢？可爱又黏人的掠食动物？
AN94(2)<Speaker>AN94</Speaker>||<震屏>:！！
()<Speaker></Speaker>||<黑屏1>:AN94惊讶地回过头去，而少女已经不见了踪影。+而在刚才的地上，既没有猫粮，也没有猫咪。
