()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
NPC-Havel(0)<Speaker>指挥官</Speaker>||:……<c>是新的工作？<c>“那些人”是谁？<c>是关于安洁的事吗？
NPC-Havel(0)<Speaker>哈维尔</Speaker>||<分支>1</分支>:是的，我们将面对新的局势，新的敌人，还有新的工作。+指挥官，我们需要共同面对，相信我，你和整个格里芬才有出路。
NPC-Havel(0)<Speaker>哈维尔</Speaker>||<分支>2</分支>:安全局的人，安洁的上司，你知道我接下来要说什么吧？
NPC-Havel(0)<Speaker>哈维尔</Speaker>||<分支>3</分支>:你的直觉很准，不愧是克鲁格都看重的王牌。
NPC-Havel(0)<Speaker>哈维尔</Speaker>||:直白点说吧，国家安全局的人想见你。+通常来说，如果一个人被安全局的人约见，那一定不会是什么好事。+不过现在你面对的……可能更糟糕。+你知道为什么吗，亲爱的指挥官？
NPC-Havel(0)<Speaker></Speaker>||:哈维尔没有等我回答，就敲开了门。
NPC-Havel(0)<Speaker>哈维尔</Speaker>||<黑屏1>:因为要见你的人是安全局的局长。
()||<BIN>8</BIN><黑屏2><BGM>BGM_Empty</BGM>:门开了，我们走了进去，然后看到了那个人……
NPC-Zielinski(0)<Speaker></Speaker>||<BGM>BGM_Truth</BGM>:国家安全局局长，泽林斯基。
NPC-Zielinski(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||:泽林斯基先生！看，这就是那位指挥官，格里芬和IOP公司共同的希望！
NPC-Zielinski(0);NPC-Havel(0)<Speaker></Speaker>||:……泽林斯基用一秒打量完我的全身，那种眼神不比那些涅托好到哪去。
NPC-Zielinski(0)<Speaker>泽林斯基</Speaker>;NPC-Havel(0)||:格里芬的指挥官，我想哈维尔已经介绍过我了，免去寒暄，让我们直接来谈正题。+我们在搜集情报时，发现我们的一名特工——暂时称她为“安洁”吧——她的终端有向格里芬的终端发送了大量数据的记录，据调查，这次传输行为是安洁本人发出的。+而我们推测这次数据传输中包含了大量高度机密，你知道这意味着什么吗？
NPC-Zielinski(0)<Speaker>指挥官</Speaker>;NPC-Havel(0)||:……<c>当时她和我都迫不得已。<c>我不知道，也不在乎那些东西具体是什么。
NPC-Zielinski(0)<Speaker>泽林斯基</Speaker>;NPC-Havel(0)||:这都并不重要，重要的是，这意味着我有权现在就将你枪决，无论从法律还是技术上，这对我都不是个问题。
NPC-Zielinski(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||:啊……泽林斯基，但是你不会这么做的，对不对？+放轻松，指挥官，他在这个职位上干太久了，没什么幽默感，还老喜欢危言耸听。
NPC-Zielinski(0)<Speaker>泽林斯基</Speaker>;NPC-Havel(0)||:这不是危言耸听，指挥官，我的工作里遇到过无数次这种选择，我都毫不犹豫地执行下去。+你之所以现在还活着，是因为我们对你的观察。+你在刚才的行动大难不死，而且保守了秘密，这一切我都知道了。+你展现了你的勇气、头脑还有意志，你对我们确实有不小的价值……应当为我们的国家，和更高级的事业去服务。
NPC-Zielinski(0)<Speaker>指挥官</Speaker>;NPC-Havel(0)||:……<c>比国家更高级的事业？<c>我没得选，对吗？<c>我不在乎，只要我还能留在格里芬。
NPC-Zielinski(0)<Speaker>泽林斯基</Speaker>;NPC-Havel(0)||<分支>1</分支>:你也能看就会明白的，你和我，都将会成为历史的奠基者。
NPC-Zielinski(0)<Speaker>泽林斯基</Speaker>;NPC-Havel(0)||<分支>2</分支>:你可以选择拒绝，我们会抹消掉一切，当这里什么都没发生过。+当然，连同你获救这件事一起……
NPC-Zielinski(0)<Speaker>泽林斯基</Speaker>;NPC-Havel(0)||<分支>3</分支>:你的确会留在格里芬，你的工作不会变，改变的只是你的一部分客户。
NPC-Zielinski(0);NPC-Havel(0)<Speaker>哈维尔</Speaker>||:我想……泽林斯基，让我们直接说正题吧。
NPC-Zielinski(0)<Speaker>泽林斯基</Speaker>;NPC-Havel(0)||<黑屏1>:我将委托你新的工作，以国家安全局的名义，当然，这是个保密工作，我们也会提供对应的酬劳和你所需要的情报。+如果你能肩负得起我们的期望，也许格里芬“恐怖主义集团”的身份也不是不可以被抹去。相信你也会担心为了保护你们而坐牢的某人的安危吧。+……嗯，你的眼神告诉你，你已经接受我的委托了。+那么指挥官，我来告诉你你的第一份工作是什么吧。
()||<BIN>9</BIN><黑屏2>:也许我知道他要说什么……
泽林斯基()<Speaker>泽林斯基</Speaker>||<黑屏1>:国家安全局的二级特工，代号“安洁莉娅”，现在背叛了我们，她违抗命令携带了重要情报和安全局的人形，然后完全失踪了。+这是红色安全威胁案件，你知道新的工作是什么。+调查她，找到她，证明你对我们还是有用的，然后我们会决定你接下来做什么……+当然，不只是这些，指挥官，我知道你已经看过那些机密情报了，+OGAS、主脑、还有军方的计划，工作远远还没有结束。+指挥官，你将面对的是全新的机会，也可能……
()||:……我知道，也可能是更深一层的地狱。+……十分钟后，我走出房间。
()||<BIN>97</BIN><黑屏1>:原本谈话会持续更久，但哈维尔说我需要休息……+是的，我现在真的需要休息。+但有些东西是无法被消除的……+我编了很多故事，但有些真相我永远不会知道，除非……+……我亲手挖掘到它。
