()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:…………20分钟后，M16在工厂内连接终端。
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:根据我的研究，【伞】病毒的设计初衷，就是为了改写人形的心智云图，使其受铁血的控制。+其中对云图的破坏，如果完成后是不可逆的。+简单说来……这第二根晶体管，里面的剂量，足够让你迅速变成一个铁血人形。+你的人格，你的记忆，你现在拥有的一切……都会全部消失。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:而你要我在彻底变成铁血之前，把这里的数据传出去。
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:………………+我说过，从任务开始，你就已经无法回头了……+M16，之后的你，就算还存在于世上，那也不是现在的你了……
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:…………+注射之后，我还有多少时间。
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:20分钟。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:所以……这就是我最后的20分钟了吗……
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:M16A1，我是做好了准备，才决定这个行动的。+那么，你准备好了么？
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:你肯定清楚我的回答是什么，帕斯卡……+不过最后确认一下，这个储存器里的东西，你确定能帮助M4恢复心智么？
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:至少……这一定是最后一块拼图。
M16(0)<Speaker>M16A1</Speaker>||<黑屏1>:是吗……+那接下来的事情……就变得简单多了。+那么现在，我们开始吧？
