()||<BIN>34</BIN><BGM>BGM_Frontline</BGM>:FN调查组行动结束之后……
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>34</BIN>:FAL……出事了，工厂内的设施不知被谁激活了。+控制台上零散的铁血被重新激活了起来……数量还在不断增加！
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>34</BIN>:……呿、被埋伏的，反而是我们吗？+那个通讯模块，一开始就是个陷阱……
FAL(0);BOSS-4(0)<Speaker>干扰者</Speaker><通讯框>||<BIN>34</BIN>:看来你们也明白过来了呢。
FAL(0)<Speaker>FAL</Speaker>;BOSS-4(0)<通讯框>||<BIN>34</BIN>:哼……这并不意外，干扰者。+只不过……你的剧本，还留着什么伏笔呢？
FAL(0);BOSS-4(0)<Speaker>干扰者</Speaker><通讯框>||<BIN>34</BIN>:不，我也只是个观众而已，变成这样的展开，也给了我不少乐趣呢。+只是不给点诱饵的话，猎物是不会上钩的。+这里就是最后的狩猎场了，期待你们最后的演出了……
FAL(0)<Speaker></Speaker>||<BIN>34</BIN>:通讯中断……
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:……看着吧，干扰者。+我要让你知道……你选错戏剧的演员了。
FN57(0)<Speaker>FN-57</Speaker>||<BIN>34</BIN>:FAL！“兔子”来了！
GG_elfeldt_505(0)<Speaker>艾尔菲尔特</Speaker>||<BIN>34</BIN>:人偶……歼灭……人偶……
BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:已经……进攻到这里了吗！
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:……诺爱尔小姐，不管是你也好我们也好。+为了活着回去，现在……就拼尽全力吧。
FAL(0);BB_Noel(2)<Speaker>诺爱尔</Speaker>||<BIN>34</BIN>:……嗯！+我们大家，一定能回去的！
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN><黑点1>:上吧，各位……+这就是……最后的“猎兔行动”了！
()||<BIN>10</BIN><黑点2>:
