furniture_classes-10000001,Halloween
furniture_classes-30000037,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000038,Late Night Kitchen
furniture_classes-20000038,A set of furniture themed after a kitchen. T-Dolls will come in groups to busy themselves here//c and leave behind their own cozy stories...sometimes.
furniture_classes-30000038,You can gain additional Comfort by placing 8 pieces of this set in the same dormitory.
furniture_classes-10000039,Halloween Town
furniture_classes-20000039,Furniture set inspired by Halloween. Investigate everything so that you can escape from this dreaded place. If not... Well//c it won't be that big of a deal if you can get used to living here.
furniture_classes-30000039,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000040,Garden Tea Party
furniture_classes-20000040,Furniture set modeled after a flower house in the wild. "I hope that when you are loved someday//c you will first fall in love with that nameless flower!"
furniture_classes-30000040,You can gain additional Comfort by placing 8 pieces of this set in the same dormitory.
furniture_classes-10000041,King's Tailor
furniture_classes-20000041,Furniture set modeled after an agent tailor shop. Accepting a mission and then completing it gracefully. Maintaining world peace is as simple as that.
furniture_classes-30000041,You can gain additional Comfort by placing 8 pieces of this set in the same dormitory.
furniture_classes-10000042,Top Jet
furniture_classes-20000042,Furniture set inspired by aircrafts. We've tried to conquer the sky//c and we've tried to conquer each other within the sky. This is a record of our aerial history.
furniture_classes-30000042,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000043,Payday
furniture_classes-20000043,Furniture set modeled after a bank vault. These are just decorations//c so even penniless T-Dolls can do whatever they like here. However//c don't stay too long or you'll start to think they're real.
furniture_classes-30000043,You can gain additional Comfort by placing 8 pieces of this set in the same dormitory.
furniture_classes-10000044,Christmas Cottage
furniture_classes-20000044,Furniture set modeled after a Christmas cottage. Enjoy the warmth of this holiday and the joy of your companions in this small cottage filled with ethnic charm.
furniture_classes-30000044,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000045,Pirate's Legacy
furniture_classes-20000045,Furniture set modeled after a pirate ship cabin. This used to be a part of some people's lives several hundred years ago. They drifted through life//c enjoyed it//c and struggled to live or died; exactly the same as the people now.
furniture_classes-30000045,You can gain additional Comfort by placing 8 pieces of this set in the same dormitory.
furniture_classes-10000046,Pixel Forest
furniture_classes-20000046,Furniture set depicting a pixel forest. A grand adventure is about to start! Even if in the eyes of others that this is a game for children...isn't being a child the most enviable of all?
furniture_classes-30000046,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000047,Biker's Diary
furniture_classes-20000047,Furniture set modeled after a bicycle and motorcycle shop. Everyone has thought of travelling to a faraway place at least once in their life. However//c in addition to dreams//c you need the ability to make it happen.
furniture_classes-30000047,You can gain additional Comfort by placing 8 pieces of this set in the same dormitory.
furniture_classes-10000048,Hometown Reminiscence
furniture_classes-20000048,Furniture set themed after a snowy New Year. There once was a group of people who lived only for the New Year greetings//c so enjoy your life while you're still young.
furniture_classes-30000048,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000049,Echelon Collection
furniture_classes-20000049,A furniture set of an otaku collection. Whether you enjoy collecting male hobby merchandise or moe merchandise//c this is your unique hobby and the most valuable aspect of your life.
furniture_classes-30000049,You can gain additional Comfort by placing 8 pieces of this set in the same dormitory.
furniture_classes-10000050,Wedding Scenery
furniture_classes-20000050,A furniture set based on a wedding photo shoot. As you can see//c this is just a stage set. Photos//c ceremony//c and a married life... Are any of these real?
furniture_classes-30000050,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000052,Swimming Fish//c Flying Geese
furniture_classes-20000052,A furniture set themed after a traditional garden. Enjoy life in a serene//c picturesque courtyard//c especially since nights like these don't come cheap.
furniture_classes-30000052,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000053,Convention Craze
furniture_classes-20000053,A furniture set based on an anime convention. What would the world look like if Dolls were introduced 50 years earlier? Collect everything to find out.
furniture_classes-30000053,You can gain additional Comfort by placing 8 pieces of this set in the same dormitory.
furniture_classes-10000054,Saturday Night Fever
furniture_classes-20000054,A furniture set based on the anniversary party. Celebrations are not bound to tonight of all nights//c but can we ascertain where we'll end up tomorrow night?
furniture_classes-30000054,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000055,Star of Amusement Park
furniture_classes-20000055,A furniture set based on an amusement park. Simple pleasures can be acquired through cheap popcorn and a thrilling roller coaster//c provided you are already having fun in the first place.
furniture_classes-30000055,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000056,Southern Sea Pavilion
furniture_classes-20000056,A furniture set based on a hotel in Southeast Asia. Perhaps you may wish to wake up in a hotel like this and enjoy an inconvenient but comfortable morning.
furniture_classes-30000056,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000057,Takeoff to Happiness
furniture_classes-20000057,A furniture set based on an airport. Experience the time before your flight arrives//c because in the next moment we'll be very far away - physically.
furniture_classes-30000057,You can gain additional Comfort by placing 8 pieces of this set in the same dormitory.
furniture_classes-10000058,Beach Tycoon
furniture_classes-20000058,Furniture with the theme of recreation on the beach. The sea certainly is beautiful//c but humans still feel the need to make changes to it. Recreation is like seasoning; it confounds people as to what they truly need.
furniture_classes-30000058,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000059,Music Festival
furniture_classes-20000059,A rock-n'-roll themed furniture set. This could just be an indoor show - civilized and phony. Heavy metal singers with grainy voices aren't welcome here.
furniture_classes-30000059,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000060,Haunted Castle
furniture_classes-20000060,A castle-themed furniture set. Just spend the night. Hope you'll like it here and decide to stay//c otherwise...you'll be staying here//c whether you like it or not.
furniture_classes-30000060,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000061,Burger of Bliss
furniture_classes-20000061,A furniture set with the theme of a burger shop that supplies a relaxing atmosphere and ample calories. Both symbolize bliss in this day and age.
furniture_classes-30000061,You can gain additional Comfort by placing 8 pieces of this set in the same dormitory.
furniture_classes-10000062,Operation Idol
furniture_classes-20000062,A furniture set with the theme of an idol encounter. Give everyone handshake tickets and a dream-come-true//c then rake in the cash!
furniture_classes-30000062,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000063,Night at the Candy Museum
furniture_classes-20000063,A furniture set with the theme of a candy museum. Christmas is the festival of sweets and presents. You'd better enjoy it//c because we have nothing else to do tonight.
furniture_classes-30000063,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000064,New Year Shrine
furniture_classes-20000064,A furniture set with the theme of a shrine on New Year's Day. Come visit as the bells ring for a brand new year. Care to hear some word of advice from a deity drowning in a cacophony of wishes?
furniture_classes-30000064,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000065,Chinatown
furniture_classes-20000065,A furniture set inspired by Chinatown. Pioneering Dolls in this brave new world//c come and share the hardship and glory of adventures!
furniture_classes-30000065,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000066,Chocolatier 
furniture_classes-20000066,A furniture set inspired by a handmade chocolate house. "Welcome! Be a part of the house! I mean//c uh...not literally//c just...enjoy it//c" says the owner.
furniture_classes-30000066,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000067,Fairy Market
furniture_classes-20000067,A furniture set inspired by the fairy market of old. Under the veiled moonlight tonight//c adventurers gather and share their own beliefs. Prepare for your next adventure!
furniture_classes-30000067,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000068,Classical Concert Hall
furniture_classes-20000068,A furniture set with a classical concert theme. Even though all kinds of unexpected things can happen in our lives, we will always have music. Savor this art form that transcends language, right here, right now!
furniture_classes-30000068,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000069,Jill's Apartment
furniture_classes-20000069,A furniture set themed around a certain girl's apartment. Perhaps this world is messy//c but as long as we have a box of our own//c we can have a small moment of peace. Once you fill this room with all kinds of things//c that's when it becomes your home.
furniture_classes-30000069,You can gain additional Comfort by placing 8 pieces of this set in the same dormitory.
furniture_classes-10000070,Pixel Cafe
furniture_classes-20000070,This is a cyberpunk bar-themed furniture set. Piling this mess of elements together will result in a bizarre chemical reaction. Perhaps it'll intoxicate you//c just like real alcohol.
furniture_classes-30000070,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000071,Assembled World
furniture_classes-20000071,A furniture set inspired by a certain brand of plastic bricks. Leave your worldly troubles behind and let your imagination run wild in this uniquely decorated room! Such an opportunity doesn't come by very often after all//c don't you think?
furniture_classes-30000071,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000072,Grey Custom Order
furniture_classes-20000072,Special products circulated in a clandestine market. Every single piece is immaculately designed and especially customized according to the client's needs.//nEnjoy a world that isn't black-and-white - everything here exists to please you.
furniture_classes-30000072,Collect more war trophies to gain additional Comfort.
furniture_classes-10000073,Aquarium
furniture_classes-20000073,A furniture set with an aquarium theme. Aquaria//c along with planetaria//c probably make the best dating venues//c but remember//c blurting out things like "ew//c gross" or "that looks delicious" won't make a good impression.
furniture_classes-30000073,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000074,Hyakki Yagyou
furniture_classes-20000074,A furniture set inspired by a shrine during the Night Parade of a Hundred Demons. This is the perfect time and location for a test of courage. Don't miss this great opportunity to chill out in the scorching summer.
furniture_classes-30000074,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000075,Rooftop Delinquency
furniture_classes-20000075,A furniture set modeled after a hangout for young delinquents. Growing up doesn't make you perfect. You're only perfect in memory.
furniture_classes-30000075,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000076,Nightmare in Room 1408
furniture_classes-20000076,A furniture set inspired by the contents of a journal that belonged to an adventurer who disappeared on Halloween. Hopefully somebody would manage to follow the clues and track down this brave soul who it amidst great danger - even if all that can be tracked down is a body part or something.
furniture_classes-30000076,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000077,
furniture_classes-20000077,
furniture_classes-30000077,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000078,S.F. X'mas Eve
furniture_classes-20000078,A furniture set with the theme of Christmas celebrated by Sangvis Dolls. The decor is recreated from the video recordings stored in a dinergate. Do they also pray for heavenly peace on this silent//c snowy night?
furniture_classes-30000078,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000079,Sleepless City
furniture_classes-20000079,A furniture set inspired by a city at night. Rivers and buildings may not understand the concept of New Year//c but as always//c they're keeping watch over everyone and gazing at their happy faces.
furniture_classes-30000079,Collecting the whole set will unlock an unexpected effect in the dorm.
furniture_classes-10000080,Snowy Yard
furniture_classes-20000080,A furniture set with a snowy yard theme. Enjoy this unusual peace and quiet before the noise-absorbant snow melts away.
furniture_classes-30000080,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000081,Collector's Memento
furniture_classes-20000081,
furniture_classes-30000081,
furniture_classes-10000082,Cathedral Lost
furniture_classes-20000082,A furniture set with the theme of an abandoned cathedral hidden deep within the peaceful woods. Though it has been years since a wedding took place here//c some people still visit every now and then to write their sorrows into the journals left behind by the priest...and pay tribute to the past...
furniture_classes-30000082,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000083,Midnight Revelry
furniture_classes-20000083,A furniture set with the theme of a pajamas party among girls. Rumor has it//c the girls at Griffin often change into their PJs and spend some quality time together at night on the weekend. Perhaps it is the only time when they get to experience another side of life.
furniture_classes-30000083,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000084,
furniture_classes-20000084,
furniture_classes-30000084,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000085,
furniture_classes-20000085,
furniture_classes-30000085,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000086,
furniture_classes-20000086,
furniture_classes-30000086,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000087,
furniture_classes-20000087,
furniture_classes-30000087,
furniture_classes-10000600,
furniture_classes-20000600,
furniture_classes-30000600,
furniture_classes-10000088,Classic Township
furniture_classes-20000088,A furniture set inspired by a certain medieval township. The only difference between the code of chivalry and a Doll�s fundamental programming is that humans can break their own rules//c while Dolls can�t.
furniture_classes-30000088,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
furniture_classes-10000089,
furniture_classes-20000089,
furniture_classes-30000089,You can gain additional Comfort by placing 8 pieces of this set in the same dormitory.
furniture_classes-10000090,
furniture_classes-20000090,
furniture_classes-30000090,An unexpected phenomenon will happen in this dormitory if you collect all the pieces.
