()<Speaker>﻿</Speaker>||<BIN>47</BIN><BGM>BGM_Danger</BGM><SE1>Battlefield</SE1>:…………時を同じくして、「プリンセス･マリオン」留置所内部。+反撃作戦開始より1時間後の、4階医務室にて。　
VZ61(1)<Speaker>スコーピオン</Speaker>||<黑屏1>:今はとりあえず言われた通りにしよ！//n撤退するよ！
()||<BIN>46</BIN><黑屏2>:…………5分後、宿舎ホールにて。
M16(3)<Speaker>M16A1</Speaker>||<SE1>Battlefield</SE1><BGM>BGM_Sneak</BGM>:M4、スコーピオンたちで最後だ。//nこれで2階から4階までの人形は全員揃った。+このリストにある人形たちは傷がひどい、おそらく戦闘はもう無理だ。
M4A1(0)<Speaker>M4A1</Speaker>||:分かりました。//n手当て可能な人形たちを付けておきます。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:1階と地下室の人形はどうするの？
FNFNC(0)<Speaker>FF FNC</Speaker>||:そりゃあ、突撃して助け出すしかないでしょ！
FN49(0)<Speaker>FF FN49</Speaker>||:けど……通信が完全に遮断されているのですよ。//n後先考えずに突っ込むのは危険すぎます……
NEGEV(0)<Speaker>ネゲヴ</Speaker>||:ちょっと待ちなさいよ、私たちには指揮がとれる者がついているんだから。
FNFNC(0)<Speaker>FF FNC</Speaker>||<SE1>Battlefield</SE1>:指揮がとれる者？//nでも指揮官はいないし……
FN49(0)<Speaker>FF FN49</Speaker>||:うぅ……指揮官……私たちのこと、見捨てちゃったのでしょうか……
VZ61(1)<Speaker>スコーピオン</Speaker>||:ちょっと、変なこと言わないでよ！
M4A1(3)<Speaker>M4A1</Speaker>||:みんな、ちょっと聞いて。
M4A1(0)<Speaker>M4A1</Speaker>||:みんな気付いてる？//n鉄血の攻勢が1時間前より弱まってきているわ……+きっと、指揮官が外で敵を片付けてくれているのよ……私たちのためにね。+指揮官はちゃんと助けに来てくれているわ。//nそして、今も私たちのために外で戦っている……+あとは私たちが残りの敵を片付けさえすれば、それで助かるはずだわ。
VZ61(1)<Speaker>スコーピオン</Speaker>||:でも、どうやって下に行くの？//nちゃんとした自律プログラムもないのに……
M4A1(0)<Speaker>M4A1</Speaker>||:プログラムはいらないわ。//n私が指揮を取るから。+私は16LABに作り出された特殊な人形で、高性能な指揮モジュールを搭載しているの。+だから、必要となれば指揮官に代わって命令を下すこともできるし、通信ができなくても口頭で命令を下せるわ。
FN49(0)<Speaker>FF FN49</Speaker>||:じゃ……つまり……今はあなたが私たちの指揮官ってことですか？
FNFNC(0)<Speaker>FF FNC</Speaker>||:でも……前に一回あなたと会ったことがあったけど、なんだか怪しげだったよ……？+それにスコーピオンだって、AR小隊に騙されたんでしょ？+彼女たちのせいで鉄血に捕まったとか……なんとかって……
VZ61(1)<Speaker>スコーピオン</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:…………+違う、そうじゃないんだ……
VZ61()<Speaker>スコーピオン</Speaker>||<黑屏2><黑屏1><平移><BIN>20</BIN>:あのとき、あたしもほかの小隊も、本来の指揮官に置き去りにされていたんだよ……+鉄血のエージェントが大規模な部隊を率いてやって来て、とても太刀打ちできる状態じゃなかったの……+もしM4の指揮がなかったら、あたしたちはとっくに鉄血にやられていたわ。
VZ61(1)<Speaker>スコーピオン</Speaker>||<黑屏2><BIN>46</BIN><BGM>BGM_Frontline</BGM>:だから私は彼女を信じる。//n少なくとも、彼女の力は確かだよ！
FN49(0)<Speaker>FF FN49</Speaker>||:わ、私も隠れているぐらいなら、打って出るべきだと思います！
FNFNC(0)<Speaker>FF FNC</Speaker>||:う……みんながそう言うのなら……+M4、私たちをここから脱出させてくれるのよね？
M4A1(0)<Speaker>M4A1</Speaker>||:……ええ。+臨時指揮官の責務を力の限り果たし、みんなを勝利に導いてみせるわ。
M16(0)<Speaker>M16A1</Speaker>||:力の限りじゃなく、必ずやり遂げるんだ。+絶対に、全員でここを生きて出るぞ！
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏1>:…………+じゃあみんな、これからは私の指示に従って！+みんなでここを脱出するわよ！
M4A1()<Speaker>M4A1</Speaker>||<黑屏2><BIN>9</BIN>:くよくよなんてしてられないわ……+生き抜かなきゃ……私の力で、仲間とともに生き抜くのよ！
