()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
AN94(3);AR15Mod(2)<Speaker>AR-15</Speaker>||:……たとえ、死を選べと言われても？
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(0)||:あなたとは違って、私たちに「死」という概念はない。+任務の執行と何者かに対する執着が、私たちの存在意義。
AN94(0);AR15Mod(4)<Speaker>AR-15</Speaker>||<BGM>BGM_Empty</BGM>:……もういいわ。+この話は無かったことにしましょ。
AN94(4)<Speaker>AN-94</Speaker>;AR15Mod(4)||:気にさわった？
AN94(4);AR15Mod(4)<Speaker>AR-15</Speaker>||:別に。
AN94(4)<Speaker>AN-94</Speaker>;AR15Mod(4)||:……+どうやら、気にさわったようだ。
AN94(4);AR15Mod(4)<Speaker>AR-15</Speaker>||:……+なぜアンジェは私たちを組ませたりしたの？会話が弾むわけがないのに。+もうお喋りはやめて、任務に集中しましょ。
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(4)||<BGM>BGM_Victory</BGM>:確かに、今は任務のことが最優先ね。+エネルギーパネル充電完了、素体校正器のランプが点灯すれば行動可能だ。
AN94(0);AR15Mod(4)<Speaker>AR-15</Speaker>||:了解。+郊外は私が、あなたは市街地を。別行動でいくわよ。+「もし白の奴らに遭遇しても、むやみに交戦してはならない。」
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(0)||:「位置をマークするだけでいい、//n我々の目的は奴らと『ノード』との関係を探ること。」
AN94(0);AR15Mod(0)<Speaker>AR-15</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>＝:異論はないわね。残り5秒。３・２・１―――行動開始！
()<Speaker></Speaker>||<黑屏2><BIN>84</BIN><BGM>BGM_Wake</BGM>:……
()<Speaker></Speaker>||:都心部。にぎやかな商店街をゆっくりと進むAN-94。
AN94(0)<通讯框>||:<color=#00CCFF>AR-15、応答せよ。</color>
AN94(0)<通讯框>;AR15Mod(0)<Speaker>AR-15</Speaker><通讯框>||:<color=#00CCFF>こちらAR-15、これより信号の密集エリアへと突入予定。そちらの状況は？</color>
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(0)||:<color=#00CCFF>計画通りサイレントスキャンを実行中。</color>+<color=#00CCFF>そちらのエリアを除き、新たに出現した身元不明の信号は延べ43箇所。そのうちの18箇所は白い勢力の波長と一致、残りについては断定不可、重点的にスキャンを行う必要は？</color>
AN94(0);AR15Mod(0)<Speaker>AR-15</Speaker>||:<color=#00CCFF>ないわ。アンジェによれば、雑魚は別部隊が対処するそうだから。こちらの存在を知られるわけにもいかないし。</color>+<color=#00CCFF>「ノード」の手掛かりに集中して。早いところ攻略価値のあるターゲットをみつけないと。</color>
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(0)||<BGM>BGM_Empty</BGM>:<color=#00CCFF>了解。断定したターゲットを傍受開始。今のところ新たな情報はなし。</color>+<color=#00CCFF>だけど……妙な点がひとつ。鉄血に酷似した信号を発見した。</color>
AN94(0);AR15Mod(5)<Speaker>AR-15</Speaker>||<震屏><BGM>BGM_Sneak</BGM>:<color=#00CCFF>鉄血ですって？</color>+<color=#00CCFF>どうして鉄血がこんなところに！？</color>
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(5)||:<color=#00CCFF>断定はできない、信号は一瞬だった。見間違いかと思ったけど……あまりにも似すぎている。十中八九、ここに鉄血人形がいるとみて間違いない。</color>
AN94(0);AR15Mod(5)<Speaker>AR-15</Speaker>||:<color=#00CCFF>……鉄血がなぜ、この街に……</color>+<color=#00CCFF>まさか、アイツが……</color>
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(5)||:<color=#00CCFF>AR-15……私たちの今回の目標は鉄血じゃない。</color>+<color=#00CCFF>任務を最優先に考えるべきだ。</color>
AN94(0);AR15Mod(5)<Speaker>AR-15</Speaker>||:<color=#00CCFF>でも……</color>
AN94(0);AR15Mod(0)<Speaker>AR-15</Speaker>||:<color=#00CCFF>……確かにそうね。時間もあまり残されていないし。</color>+<color=#00CCFF>信号源をマークしておいて、この任務を終えてから考えるわ。</color>
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(0)||:<color=#00CCFF>了解、マーク完了。</color>
AN94(0);AR15Mod(0)<Speaker>AR-15</Speaker>||<黑屏1>:<color=#00CCFF>鉄血のことは、今は忘れましょ。</color>+<color=#00CCFF>それから……</color>+<color=#00CCFF>……目標エリアに到達したわ。</color>+<color=#00CCFF>ここは……軍の駐屯地？</color>
()<Speaker></Speaker>||<BIN>161</BIN><BGM>BGM_Brain</BGM><黑屏2>:……+見張りの兵士が周囲を見渡している。//n兵士が視線をそらしたその瞬間、ひとつの黒い影が、//n音もなく外壁を飛び越えていった。
AR15Mod(0)<Speaker>AR-15</Speaker>||:<color=#00CCFF>AN-94、聞こえる？</color>
AN94(0)<Speaker>AN-94</Speaker><通讯框>;AR15Mod(0)||:<color=#00CCFF>こちらAN-94、状況は？</color>
AN94(0);AR15Mod(0)<Speaker>AR-15</Speaker>||:<color=#00CCFF>駐屯地に入ったわ。ここの信号、かなりあからさまね……隠し方もいい加減だし、もしかすると罠かもしれない。</color>
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(0)||:<color=#00CCFF>一旦撤退を？</color>
AN94(0);AR15Mod(0)<Speaker>AR-15</Speaker>||:<color=#00CCFF>まさか。こういう状況は初めてってわけじゃないわ。それに、手ぶらで帰るわけにもいかないでしょ。</color>+<color=#00CCFF>情報封鎖エリアを展開してちょうだい、アンジェと話したいの。</color>
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(0)||:<color=#00CCFF>無線を使う気？旧式の信号は容易くジャックされる。あなたのツェナープロトコルをアンロックすれば……</color>
AN94(0);AR15Mod(0)<Speaker>AR-15</Speaker>||:<color=#00CCFF>あの声はもう二度と聞きたくないの。無駄な会話はよしましょ。</color>
AN94(4)<Speaker>AN-94</Speaker>;AR15Mod(0)||<BGM>BGM_Empty</BGM>:<color=#00CCFF>仰せのままに。</color>+<color=#00CCFF>封鎖領域を展開中、維持可能時間は約60秒。</color>+<color=#00CCFF>アンジェリア、応答せよ。</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker><通讯框>;AR15Mod(0)||<BGM>BGM_Room</BGM>:<color=#00CCFF>こちらアンジェリア。進捗は？</color>
NPC-AngeStreet(0);AR15Mod(0)<Speaker>AR-15</Speaker>||:<color=#00CCFF>こちらAR-15。</color>+<color=#00CCFF>第一の信号密集エリアを調査中、ターゲットは駐屯地、規模はそれほど大きくないわ。</color>+<color=#00CCFF>軍事施設が「ノード」に関連してる可能性は十分あるでしょ、だから潜入してみたの。</color>+<color=#00CCFF>信号の位置は特定可能よ、破壊しておきましょうか？</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker>;AR15Mod(0)||:<color=#00CCFF>軽率な行動は避けるべきね。</color>+<color=#00CCFF>ターゲットの殲滅は別部隊の担当よ、あなたたちは位置情報を報告するだけでいいの。</color>+<color=#00CCFF>偵察範囲を駐屯地全体に広げてちょうだい。大物が釣れそうだと、私の直感が告げてるわ。</color>
NPC-AngeStreet(0);AR15Mod(0)<Speaker>AR-15</Speaker>||:<color=#00CCFF>放っておけってこと？</color>+<color=#00CCFF>わからない、「ノード」ってそんなに大事なの？</color>+<color=#00CCFF>目の前の敵が街を破滅に追い込むかもしれないのよ。それでもかまわないと？</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker>;AR15Mod(0)||:<color=#00CCFF>あなたたちの仕事は「ノード」の手がかりを追うことであって、民間人の保護じゃない。</color>+<color=#00CCFF>民間事業気分でいられちゃ困るわね、AR-15。</color>
NPC-AngeStreet(0);AR15Mod(3)<Speaker>AR-15</Speaker><Shake>||:<color=#00CCFF>……わかったわ。</color>+<color=#00CCFF>この駐屯地のほかにも、白い信号の密集エリアをAN-94がみつけてる。それと、鉄血の痕跡もね。</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker>;AR15Mod(3)||:<color=#00CCFF>そう……</color>+<color=#00CCFF>94、信号の数は？</color>
AN94(0)<Speaker>AN-94</Speaker><通讯框>;AR15Mod(3)||:<color=#00CCFF>52です。30分前より9つ増加。</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker><通讯框>;AR15Mod(3)||:<color=#00CCFF>これだけのゴミが一気に入り込んだとは思えない。</color>+<color=#00CCFF>奴らの「洗礼者」がこの街にいたとしても、ここまでの数を隠し通すのは無理だわ。</color>
NPC-AngeStreet(0);AR15Mod(0)<Speaker>AR-15</Speaker>||:<color=#00CCFF>みたところ、隠す気なんてさらさら無いみたいだけど。</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker>;AR15Mod(0)||:<color=#00CCFF>となれば……免疫システムのエラーね。</color>+<color=#00CCFF>白い信号が軍の駐屯地に出現したのにも合点がいくわ。</color>
NPC-AngeStreet(0);AR15Mod(0)<Speaker>AR-15</Speaker>||:<color=#00CCFF>白い勢力がどうあれ、軍が言うことをきくわけないわ。</color>+<color=#00CCFF>この国、中立の立場をけして曲げたりしないもの。</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker>;AR15Mod(0)||:<color=#00CCFF>確かにね。</color>+<color=#00CCFF>中立を保つには、優秀な兵士と政治家が必要不可欠だから。</color>+<color=#00CCFF>だけど往々にして、葉が朽ちるのは根が腐りきってからなのよ。</color>
NPC-AngeStreet(0);AR15Mod(4)<Speaker>AR-15</Speaker>||:<color=#00CCFF>内通者がいたということね……</color>+<color=#00CCFF>わかったわ。</color>
AN94(5)<Speaker>AN-94</Speaker><通讯框>;AR15Mod(4)||:<color=#00CCFF>情報封鎖領域、終了間近です。</color>
NPC-AngeStreet(0)<Speaker>アンジェリア</Speaker><通讯框>;AR15Mod(4)||:<color=#00CCFF>新たな情報を得るまで監視を続けて。良いニュースを期待しているわ。</color>
AR15Mod(4)<Speaker>AR-15</Speaker>||<BGM>BGM_Empty</BGM><闪屏><duration>25</duration></闪屏>:アンジェは通信を切った。
AR15Mod(0)<Speaker>AR-15</Speaker>||:<color=#00CCFF>ああもう……面倒ね。AN-94、私はここで偵察を続けるわ。もう一方の出口の監視を頼める？</color>
AN94(3)<Speaker>AN-94</Speaker><通讯框>;AR15Mod(0)||<BGM>BGM_Wake</BGM>:<color=#00CCFF>ニャー……</color>
AN94(3);AR15Mod(2)<Speaker>AR-15</Speaker>||:<color=#00CCFF>にゃあ？</color>
AN94(5)<Speaker>AN-94</Speaker>;AR15Mod(2)||<黑屏1>:<color=#00CCFF>気にしないで。位置情報を確認、30分後に到着する、通信終了。</color>
()<Speaker></Speaker>||<黑点2><BIN>166</BIN>:AN-94は通信を切った。+足もとから、何やらぬくい感触が伝わってくる。//n見れば小さな野良猫が、AN-94の膝に飛び乗ろうとしていた。+AN-94はその場にしゃがみ込むと、子猫を抱きかかえ、//n柔らかな毛並みを優しく撫でた。
NPC-Mercurows(0)<Speaker>？？？</Speaker>||<BGM>BGM_Empty</BGM>:なんとも可愛らしい生き物、そう思わないかしら？
AN94(0)<Speaker>AN-94</Speaker>;NPC-Mercurows(0)||<BGM>BGM_Danger</BGM>:？？
AN94(0);NPC-Mercurows(0)<Speaker>？？？</Speaker>||:こんなにも可愛くて人懐っこい生き物が、//n実は恐ろしい捕食者だなんて、誰が信じるでしょう？
AN94(0)<Speaker>AN-94</Speaker>;NPC-Mercurows(0)||:あなたは？
AN94(0);NPC-Mercurows(0)<Speaker>？？？</Speaker>||:ああ、失礼。わたくし、このあたりに住んでおりますの。//n猫に餌をあげに来ただけですので、どうぞお気になさらず。
AN94(0);NPC-Mercurows(0)<Speaker></Speaker>||:そう言うと、少女はキャットフードを地面にまいた。//nAN-94の膝にいた子猫が、すぐさま飛び降りる。
AN94(0);NPC-Mercurows(0)<Speaker>？？？</Speaker>||:それでは、失礼させていただきますわ。
NPC-Mercurows(0)<Speaker></Speaker>||:AN-94が立ち上がり、その場を立ち去ろうとする。+二人がすれ違う瞬間、少女は囁いた。
NPC-Mercurows(0)<Speaker>？？？</Speaker>||:あなたもそうなのかしら？可愛い捕食者さん？
AN94(2)<Speaker>AN-94</Speaker>||<震屏>:！！
()<Speaker></Speaker>||<黑屏1>:驚いてふり向くAN-94。//nだが、少女の影はすでに無かった。+視線を戻すと、まかれたはずのキャットフードと子猫の姿は、//n跡形もなく消えていた。
